A,B,G,Y
Ladak,None,A,2.17
Ladak,09-01,A,1.58
Ladak,09-20,A,2.29
Ladak,10-07,A,2.23
Ladak,None,B,1.88
Ladak,09-01,B,1.26
Ladak,09-20,B,1.6
Ladak,10-07,B,2.01
Ladak,None,C,1.62
Ladak,09-01,C,1.22
Ladak,09-20,C,1.67
Ladak,10-07,C,1.82
Ladak,None,D,2.34
Ladak,09-01,D,1.59
Ladak,09-20,D,1.91
Ladak,10-07,D,2.1
Ladak,None,E,1.58
Ladak,09-01,E,1.25
Ladak,09-20,E,1.39
Ladak,10-07,E,1.66
Ladak,None,F,1.66
Ladak,09-01,F,0.94
Ladak,09-20,F,1.12
Ladak,10-07,F,1.1
Cossack,None,A,2.33
Cossack,09-01,A,1.38
Cossack,09-20,A,1.86
Cossack,10-07,A,2.27
Cossack,None,B,2.01
Cossack,09-01,B,1.3
Cossack,09-20,B,1.7
Cossack,10-07,B,1.81
Cossack,None,C,1.7
Cossack,09-01,C,1.85
Cossack,09-20,C,1.81
Cossack,10-07,C,2.01
Cossack,None,D,1.78
Cossack,09-01,D,1.09
Cossack,09-20,D,1.54
Cossack,10-07,D,1.4
Cossack,None,E,1.42
Cossack,09-01,E,1.13
Cossack,09-20,E,1.67
Cossack,10-07,E,1.31
Cossack,None,F,1.35
Cossack,09-01,F,1.06
Cossack,09-20,F,0.88
Cossack,10-07,F,1.06
Ranger,None,A,1.75
Ranger,09-01,A,1.52
Ranger,09-20,A,1.55
Ranger,10-07,A,1.56
Ranger,None,B,1.95
Ranger,09-01,B,1.47
Ranger,09-20,B,1.61
Ranger,10-07,B,1.72
Ranger,None,C,2.13
Ranger,09-01,C,1.8
Ranger,09-20,C,1.82
Ranger,10-07,C,1.99
Ranger,None,D,1.78
Ranger,09-01,D,1.37
Ranger,09-20,D,1.56
Ranger,10-07,D,1.55
Ranger,None,E,1.31
Ranger,09-01,E,1.01
Ranger,09-20,E,1.23
Ranger,10-07,E,1.51
Ranger,None,F,1.3
Ranger,09-01,F,1.31
Ranger,09-20,F,1.13
Ranger,10-07,F,1.33
