A,B,C,Y,G,H
A,a,1,-0.23319389,A:a,A:1
A,a,2,-0.05657035,A:a,A:2
A,a,3,0.21107097,A:a,A:3
A,a,4,0.34642257,A:a,A:4
A,a,5,0.59387918,A:a,A:5
A,b,1,-0.09871597,A:b,A:1
A,b,2,0.13190507,A:b,A:2
A,b,3,0.28292076,A:b,A:3
A,b,4,0.59387918,A:b,A:4
A,b,5,0.58834207,A:b,A:5
A,c,1,-0.0661398,A:c,A:1
A,c,2,0.14323417,A:c,A:2
A,c,3,0.37569295,A:c,A:3
A,c,4,0.5670169,A:c,A:4
A,c,5,0.67549225,A:c,A:5
A,d,1,0.06391333,A:d,A:1
A,d,2,0.26773443,A:d,A:2
A,d,3,0.47747564,A:d,A:3
A,d,4,0.64027369,A:d,A:4
A,d,5,0.58053824,A:d,A:5
A,e,1,-0.19601488,A:e,A:1
A,e,2,-0.0429075,A:e,A:2
A,e,3,0.15357909,A:e,A:3
A,e,4,0.43696378,A:e,A:4
A,e,5,0.5080217,A:e,A:5
A,f,1,-0.07688104,A:f,A:1
A,f,2,0.12927234,A:f,A:2
A,f,3,0.36116485,A:f,A:3
A,f,4,0.5630385,A:f,A:4
A,f,5,0.62165118,A:f,A:5
B,a,1,-0.13238919,B:a,B:1
B,a,2,0.09984533,B:a,B:2
B,a,3,0.23507212,B:a,B:3
B,a,4,0.43437645,B:a,B:4
B,a,5,0.48180867,B:a,B:5
B,b,1,-0.10536052,B:b,B:1
B,b,2,0.09075436,B:b,B:2
B,b,3,0.27459683,B:b,B:3
B,b,4,0.47000363,B:b,B:4
B,b,5,0.55732746,B:b,B:5
B,c,1,-0.03149067,B:c,B:1
B,c,2,0.15100287,B:c,B:2
B,c,3,0.37569295,B:c,B:3
B,c,4,0.49225424,B:c,B:4
B,c,5,0.5229518,B:c,B:5
B,d,1,-0.01409892,B:d,B:1
B,d,2,0.19309663,B:d,B:2
B,d,3,0.39204209,B:d,B:3
B,d,4,0.5229518,B:d,B:4
B,d,5,0.55503388,B:d,B:5
B,e,1,-0.216913,B:e,B:1
B,e,2,-0.04499737,B:e,B:2
B,e,3,0.18979357,B:e,B:3
B,e,4,0.39608795,B:e,B:4
B,e,5,0.54754321,B:e,B:5
B,f,1,-0.14156356,B:f,B:1
B,f,2,0.09984533,B:f,B:2
B,f,3,0.34074879,B:f,B:3
B,f,4,0.4916428,B:f,B:4
B,f,5,0.60922195,B:f,B:5
