Id,G,A,Y,U,Trt
1.0,1,0,1.03,338.0,0.0
2.0,1,10,1.54,477.0,10.0
3.0,1,20,1.82,444.0,20.0
4.0,1,30,1.86,370.0,30.0
5.0,2,0,1.31,403.0,0.0
6.0,2,10,2.16,451.0,10.0
7.0,2,20,2.13,450.0,20.0
8.0,2,30,2.23,393.0,30.0
9.0,3,0,1.59,394.0,0.0
10.0,3,10,2.53,499.0,10.0
11.0,3,20,2.33,482.0,20.0
12.0,3,30,1.8,317.0,30.0
13.0,4,0,2.09,499.0,0.0
14.0,4,10,2.2,411.0,10.0
15.0,4,20,2.21,391.0,20.0
16.0,4,30,2.82,396.0,30.0
17.0,5,0,1.66,371.0,0.0
18.0,5,10,2.3,418.0,10.0
19.0,5,20,2.65,486.0,20.0
20.0,5,30,2.18,333.0,30.0
21.0,6,0,1.42,395.0,0.0
22.0,6,10,1.93,325.0,10.0
23.0,6,20,1.58,316.0,20.0
24.0,6,30,1.49,311.0,30.0
25.0,7,0,1.41,414.0,0.0
26.0,7,10,1.65,313.0,10.0
27.0,7,20,1.08,309.0,20.0
28.0,7,30,1.34,323.0,30.0
29.0,8,0,0.18,315.0,0.0
30.0,8,10,0.64,376.0,10.0
31.0,8,20,0.76,308.0,20.0
32.0,8,30,0.7,439.0,30.0
