schoolNR,pupilNR,IQ_verb,IQ_perf,sex,Minority,repeatgr,aritPRET,classNR,aritPOST,langPRET,langPOST,ses,denomina,schoolSES,satiprin,natitest,meetings,currmeet,mixedgra,percmino,aritdiff,homework,classsiz,groupsiz,IQ_ver_cen,avg_IQ_ver_cen,grpSiz_cen
1,17001,15.0,12.33333,0,N,0,14.0,180.0,24.0,36.0,46.0,23.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,3.165937909925667,-1.5140620900743331,5.8994315697420205
1,17002,14.5,10.0,0,Y,0,12.0,180.0,19.0,36.0,45.0,10.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,2.665937909925667,-1.5140620900743331,5.8994315697420205
1,17003,9.5,11.0,0,N,0,10.0,180.0,24.0,33.0,33.0,15.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-2.334062090074333,-1.5140620900743331,5.8994315697420205
1,17004,11.0,10.0,0,N,0,13.0,180.0,26.0,29.0,46.0,23.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-0.8340620900743332,-1.5140620900743331,5.8994315697420205
1,17005,8.0,6.66667,0,N,0,8.0,180.0,9.0,19.0,20.0,10.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-3.834062090074333,-1.5140620900743331,5.8994315697420205
1,17006,9.5,9.0,0,Y,0,8.0,180.0,13.0,22.0,30.0,10.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-2.334062090074333,-1.5140620900743331,5.8994315697420205
1,17007,9.5,10.33333,0,Y,0,7.0,180.0,13.0,20.0,30.0,23.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-2.334062090074333,-1.5140620900743331,5.8994315697420205
1,17008,13.0,14.33333,0,N,0,17.0,180.0,30.0,44.0,57.0,10.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,1.1659379099256668,-1.5140620900743331,5.8994315697420205
1,17009,9.5,8.66667,0,Y,1,10.0,180.0,23.0,34.0,36.0,13.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-2.334062090074333,-1.5140620900743331,5.8994315697420205
1,17010,11.0,15.0,0,Y,0,14.0,180.0,22.0,31.0,36.0,15.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-0.8340620900743332,-1.5140620900743331,5.8994315697420205
1,17011,5.5,9.0,1,Y,0,11.0,180.0,19.0,18.0,29.0,10.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-6.334062090074333,-1.5140620900743331,5.8994315697420205
1,17012,14.0,9.33333,0,N,0,10.0,180.0,23.0,36.0,40.0,18.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,2.165937909925667,-1.5140620900743331,5.8994315697420205
1,17013,9.0,9.0,0,Y,0,10.0,180.0,18.0,31.0,41.0,15.0,1,11.0,3.42857,0,1.7,1.83333,0,60.0,12.0,2.33333,29.0,29.0,-2.834062090074333,-1.5140620900743331,5.8994315697420205
