G,H,Y,U,V,W
1,12,0.0,-1,-1.0,1.0
1,3,0.0,1,1.0,1.0
1,6,0.0,1,-1.0,-1.0
1,9,0.0,-1,-1.0,1.0
1,11,0.0,-1,1.0,-1.0
1,10,0.55,-1,-1.0,1.0
1,5,1.0,-1,1.0,-1.0
1,7,0.0,1,-1.0,-1.0
1,2,-0.8,1,1.0,1.0
1,1,0.0,1,1.0,1.0
1,8,0.0,1,-1.0,-1.0
1,4,1.1400000000000001,-1,1.0,-1.0
2,12,0.0,1,-1.0,-1.0
2,3,0.0,-1,1.0,-1.0
2,9,0.0,1,-1.0,-1.0
2,11,0.0,1,1.0,1.0
2,6,0.0,-1,-1.0,1.0
2,2,0.0,-1,1.0,-1.0
2,8,-0.39,-1,-1.0,1.0
2,5,-0.01,1,1.0,1.0
2,4,0.0,1,1.0,1.0
2,7,0.0,-1,-1.0,1.0
2,1,1.0,-1,1.0,-1.0
2,10,0.049999999999999996,1,-1.0,-1.0
3,12,0.0,-1,1.0,-1.0
3,7,0.0,1,1.0,1.0
3,1,0.0,1,-1.0,-1.0
3,6,0.15,1,1.0,1.0
3,2,0.0,1,-1.0,-1.0
3,3,0.0,1,-1.0,-1.0
3,9,-0.009999999999999995,-1,1.0,-1.0
3,10,0.0,-1,1.0,-1.0
3,4,0.009999999999999981,-1,-1.0,1.0
3,5,0.0,-1,-1.0,1.0
3,11,0.41,-1,-1.0,1.0
3,8,0.03,1,1.0,1.0
4,1,0.020000000000000004,-1,-1.0,1.0
4,9,0.0,1,1.0,1.0
4,6,-0.35999999999999993,-1,1.0,-1.0
4,11,0.019999999999999997,1,-1.0,-1.0
4,10,0.0,1,1.0,1.0
4,12,0.0,1,1.0,1.0
4,3,0.0,-1,-1.0,1.0
4,5,0.78,1,-1.0,-1.0
4,7,0.0,-1,1.0,-1.0
4,2,0.0,-1,-1.0,1.0
4,8,-0.07,-1,1.0,-1.0
4,4,0.0,1,-1.0,-1.0
5,2,0.0,1,1.0,1.0
5,12,0.0,-1,-1.0,1.0
5,8,-0.019999999999999997,1,-1.0,-1.0
5,7,-0.09,1,-1.0,-1.0
5,5,0.0,-1,1.0,-1.0
5,9,1.0,-1,-1.0,1.0
5,4,0.0,-1,1.0,-1.0
5,10,0.06,-1,-1.0,1.0
5,11,1.0,-1,1.0,-1.0
5,3,0.0,1,1.0,1.0
5,1,0.03,1,1.0,1.0
5,6,-0.02,1,-1.0,-1.0
6,9,0.0,1,-1.0,-1.0
6,10,0.0,1,-1.0,-1.0
6,5,0.0,1,1.0,1.0
6,11,0.0,1,1.0,1.0
6,2,0.0,-1,1.0,-1.0
6,12,0.0,1,-1.0,-1.0
6,7,0.0,-1,-1.0,1.0
6,3,0.0,-1,1.0,-1.0
6,1,0.0,-1,1.0,-1.0
6,8,0.0,-1,-1.0,1.0
6,4,0.0,1,1.0,1.0
6,6,0.0,-1,-1.0,1.0
7,11,0.0,-1,-1.0,1.0
7,2,0.05,1,-1.0,-1.0
7,12,0.24,-1,1.0,-1.0
7,4,0.0,-1,-1.0,1.0
7,3,0.0,1,-1.0,-1.0
7,5,-0.51,-1,-1.0,1.0
7,8,-0.010000000000000002,1,1.0,1.0
7,7,0.1,1,1.0,1.0
7,6,0.06999999999999995,1,1.0,1.0
7,1,0.0,1,-1.0,-1.0
7,10,0.0,-1,1.0,-1.0
7,9,0.16,-1,1.0,-1.0
8,6,0.0,-1,1.0,-1.0
8,8,0.009999999999999995,-1,1.0,-1.0
8,12,-0.12000000000000001,1,1.0,1.0
8,2,0.010000000000000009,-1,-1.0,1.0
8,11,-0.49,1,-1.0,-1.0
8,10,0.020000000000000018,1,1.0,1.0
8,4,-0.020000000000000018,1,-1.0,-1.0
8,1,-0.28,-1,-1.0,1.0
8,9,0.0,1,1.0,1.0
8,7,0.09,-1,1.0,-1.0
8,3,0.0,-1,-1.0,1.0
8,5,0.0,1,-1.0,-1.0
9,8,0.26,1,-1.0,-1.0
9,10,0.0,-1,-1.0,1.0
9,11,0.41,-1,1.0,-1.0
9,5,0.0,-1,1.0,-1.0
9,1,0.01,1,1.0,1.0
9,3,0.0,1,1.0,1.0
9,9,0.0,-1,-1.0,1.0
9,7,0.0,1,-1.0,-1.0
9,12,0.0,-1,-1.0,1.0
9,6,0.0,1,-1.0,-1.0
9,2,0.0,1,1.0,1.0
9,4,0.0,-1,1.0,-1.0
10,7,0.0,-1,-1.0,1.0
10,3,0.0,-1,1.0,-1.0
10,12,0.01,1,-1.0,-1.0
10,1,0.0,-1,1.0,-1.0
10,8,0.05,-1,-1.0,1.0
10,11,0.0,1,1.0,1.0
10,9,0.0,1,-1.0,-1.0
10,6,0.0,-1,-1.0,1.0
10,5,0.0,1,1.0,1.0
10,2,0.07,-1,1.0,-1.0
10,10,0.0,1,-1.0,-1.0
10,4,0.11,1,1.0,1.0
11,12,0.13,-1,1.0,-1.0
11,6,0.0,1,1.0,1.0
11,1,0.0,1,-1.0,-1.0
11,5,0.0,-1,-1.0,1.0
11,8,0.0,1,1.0,1.0
11,10,0.0,-1,1.0,-1.0
11,3,0.0,1,-1.0,-1.0
11,7,0.0,1,1.0,1.0
11,9,0.0,-1,1.0,-1.0
11,2,0.0,1,-1.0,-1.0
11,4,0.0,-1,-1.0,1.0
11,11,0.0,-1,-1.0,1.0
12,9,0.0,1,1.0,1.0
12,4,-0.11,1,-1.0,-1.0
12,8,0.23,-1,1.0,-1.0
12,1,0.0,-1,-1.0,1.0
12,11,0.03,1,-1.0,-1.0
12,7,1.42,-1,1.0,-1.0
12,5,0.0,1,-1.0,-1.0
12,2,0.010000000000000009,-1,-1.0,1.0
12,3,0.0,-1,-1.0,1.0
12,10,0.0,1,1.0,1.0
12,12,0.0,1,1.0,1.0
12,6,0.15000000000000002,-1,1.0,-1.0
13,8,-0.05,1,-1.0,-1.0
13,12,0.0,-1,-1.0,1.0
13,4,0.0,-1,1.0,-1.0
13,5,-0.009999999999999995,-1,1.0,-1.0
13,9,-0.16,-1,-1.0,1.0
13,11,0.0,-1,1.0,-1.0
13,2,-0.020000000000000018,1,1.0,1.0
13,6,1.0,1,-1.0,-1.0
13,7,-0.020000000000000018,1,-1.0,-1.0
13,3,1.0,1,1.0,1.0
13,10,0.010000000000000009,-1,-1.0,1.0
13,1,0.0,1,1.0,1.0
14,1,0.0,-1,1.0,-1.0
14,6,0.0,-1,-1.0,1.0
14,8,0.0,-1,-1.0,1.0
14,12,0.0,1,-1.0,-1.0
14,3,0.0,-1,1.0,-1.0
14,4,-0.15,1,1.0,1.0
14,7,0.0,-1,-1.0,1.0
14,5,0.0,1,1.0,1.0
14,11,0.02,1,1.0,1.0
14,9,0.0,1,-1.0,-1.0
14,10,0.0,1,-1.0,-1.0
14,2,0.12,-1,1.0,-1.0
15,2,0.0,1,-1.0,-1.0
15,5,0.0,-1,-1.0,1.0
15,12,0.0,-1,1.0,-1.0
15,11,0.0,-1,-1.0,1.0
15,4,0.0,-1,-1.0,1.0
15,10,0.0,-1,1.0,-1.0
15,3,0.0,1,-1.0,-1.0
15,6,0.0,1,1.0,1.0
15,7,-0.13,1,1.0,1.0
15,8,0.0,1,1.0,1.0
15,1,0.0,1,-1.0,-1.0
15,9,0.0,-1,1.0,-1.0
16,4,1.19,1,-1.0,-1.0
16,11,0.05,1,-1.0,-1.0
16,9,0.0,1,1.0,1.0
16,8,-0.08,-1,1.0,-1.0
16,6,0.6699999999999999,-1,1.0,-1.0
16,1,0.91,-1,-1.0,1.0
16,3,0.02,-1,-1.0,1.0
16,10,-0.07,1,1.0,1.0
16,5,1.0,1,-1.0,-1.0
16,2,0.04,-1,-1.0,1.0
16,7,-0.27999999999999997,-1,1.0,-1.0
16,12,-0.01,1,1.0,1.0
17,11,0.47,-1,1.0,-1.0
17,5,-1.0,-1,1.0,-1.0
17,3,0.0,1,1.0,1.0
17,6,-0.020000000000000018,1,-1.0,-1.0
17,7,0.0,1,-1.0,-1.0
17,2,1.0,1,1.0,1.0
17,12,0.0,-1,-1.0,1.0
17,1,2.0,1,1.0,1.0
17,10,0.0,-1,-1.0,1.0
17,9,0.29,-1,-1.0,1.0
17,8,0.0,1,-1.0,-1.0
17,4,0.0,-1,1.0,-1.0
18,12,0.0,1,-1.0,-1.0
18,7,0.0,-1,-1.0,1.0
18,1,0.0,-1,1.0,-1.0
18,2,0.0,-1,1.0,-1.0
18,6,0.02,-1,-1.0,1.0
18,11,0.44,1,1.0,1.0
18,10,0.0,1,-1.0,-1.0
18,4,0.0,1,1.0,1.0
18,8,0.1,-1,-1.0,1.0
18,9,0.15,1,-1.0,-1.0
18,3,0.0,-1,1.0,-1.0
18,5,0.0,1,1.0,1.0
19,6,0.0,1,1.0,1.0
19,4,0.0,-1,-1.0,1.0
19,11,0.0,-1,-1.0,1.0
19,2,1.0,1,-1.0,-1.0
19,1,0.0,1,-1.0,-1.0
19,12,0.0,-1,1.0,-1.0
19,9,0.0,-1,1.0,-1.0
19,10,0.0,-1,1.0,-1.0
19,3,0.0,1,-1.0,-1.0
19,5,-0.44999999999999996,-1,-1.0,1.0
19,8,0.0,1,1.0,1.0
19,7,0.0,1,1.0,1.0
20,6,1.0,-1,1.0,-1.0
20,3,1.0,-1,-1.0,1.0
20,8,0.99,-1,1.0,-1.0
20,7,0.0,-1,1.0,-1.0
20,9,0.0,1,1.0,1.0
20,12,1.0,1,1.0,1.0
20,1,0.08999999999999997,-1,-1.0,1.0
20,11,0.08000000000000002,1,-1.0,-1.0
20,10,0.0,1,1.0,1.0
20,5,-0.02,1,-1.0,-1.0
20,2,0.27,-1,-1.0,1.0
20,4,0.0,1,-1.0,-1.0
21,3,0.01,1,1.0,1.0
21,11,-0.019999999999999997,-1,1.0,-1.0
21,5,-1.0,-1,1.0,-1.0
21,7,0.0,1,-1.0,-1.0
21,2,0.01,1,1.0,1.0
21,4,0.0,-1,1.0,-1.0
21,1,0.0,1,1.0,1.0
21,12,0.0,-1,-1.0,1.0
21,6,0.0,1,-1.0,-1.0
21,10,0.0,-1,-1.0,1.0
21,8,0.0,1,-1.0,-1.0
21,9,-0.01,-1,-1.0,1.0
22,4,0.0,1,1.0,1.0
22,6,0.0,-1,-1.0,1.0
22,2,0.0,-1,1.0,-1.0
22,7,0.0,-1,-1.0,1.0
22,10,0.0,1,-1.0,-1.0
22,3,0.0,-1,1.0,-1.0
22,12,0.0,1,-1.0,-1.0
22,9,0.0,1,-1.0,-1.0
22,5,0.0,1,1.0,1.0
22,8,0.0,-1,-1.0,1.0
22,11,0.0,1,1.0,1.0
22,1,0.0,-1,1.0,-1.0
23,1,0.0,1,-1.0,-1.0
23,2,0.009999999999999981,1,-1.0,-1.0
23,7,0.0,1,1.0,1.0
23,10,0.0,-1,1.0,-1.0
23,5,0.0,-1,-1.0,1.0
23,4,0.0,-1,-1.0,1.0
23,6,0.0,1,1.0,1.0
23,8,0.0,1,1.0,1.0
23,3,0.0,1,-1.0,-1.0
23,9,0.0,-1,1.0,-1.0
23,12,0.0,-1,1.0,-1.0
23,11,0.0,-1,-1.0,1.0
24,10,0.0,1,1.0,1.0
24,4,0.0,1,-1.0,-1.0
24,6,0.0,-1,1.0,-1.0
