rep,A,B,Y,G
1,A,175,42,1:A
1,A,185,46,1:A
1,A,195,47,1:A
1,A,205,39,1:A
1,A,215,53,1:A
1,A,225,42,1:A
1,B,175,39,1:B
1,B,185,46,1:B
1,B,195,51,1:B
1,B,205,49,1:B
1,B,215,55,1:B
1,B,225,42,1:B
1,C,175,46,1:C
1,C,185,44,1:C
1,C,195,45,1:C
1,C,205,46,1:C
1,C,215,48,1:C
1,C,225,63,1:C
2,A,175,47,2:A
2,A,185,29,2:A
2,A,195,35,2:A
2,A,205,47,2:A
2,A,215,57,2:A
2,A,225,45,2:A
2,B,175,35,2:B
2,B,185,46,2:B
2,B,195,47,2:B
2,B,205,39,2:B
2,B,215,52,2:B
2,B,225,61,2:B
2,C,175,43,2:C
2,C,185,43,2:C
2,C,195,43,2:C
2,C,205,46,2:C
2,C,215,47,2:C
2,C,225,58,2:C
3,A,175,32,3:A
3,A,185,32,3:A
3,A,195,37,3:A
3,A,205,43,3:A
3,A,215,45,3:A
3,A,225,45,3:A
3,B,175,34,3:B
3,B,185,30,3:B
3,B,195,42,3:B
3,B,205,35,3:B
3,B,215,42,3:B
3,B,225,35,3:B
3,C,175,33,3:C
3,C,185,24,3:C
3,C,195,40,3:C
3,C,205,37,3:C
3,C,215,41,3:C
3,C,225,38,3:C
4,A,175,26,4:A
4,A,185,32,4:A
4,A,195,35,4:A
4,A,205,24,4:A
4,A,215,39,4:A
4,A,225,26,4:A
4,B,175,25,4:B
4,B,185,26,4:B
4,B,195,28,4:B
4,B,205,46,4:B
4,B,215,37,4:B
4,B,225,37,4:B
4,C,175,38,4:C
4,C,185,41,4:C
4,C,195,38,4:C
4,C,205,30,4:C
4,C,215,36,4:C
4,C,225,35,4:C
5,A,175,28,5:A
5,A,185,30,5:A
5,A,195,31,5:A
5,A,205,37,5:A
5,A,215,41,5:A
5,A,225,47,5:A
5,B,175,31,5:B
5,B,185,30,5:B
5,B,195,29,5:B
5,B,205,35,5:B
5,B,215,40,5:B
5,B,225,36,5:B
5,C,175,21,5:C
5,C,185,25,5:C
5,C,195,31,5:C
5,C,205,35,5:C
5,C,215,33,5:C
5,C,225,23,5:C
6,A,175,24,6:A
6,A,185,22,6:A
6,A,195,22,6:A
6,A,205,29,6:A
6,A,215,35,6:A
6,A,225,26,6:A
6,B,175,24,6:B
6,B,185,29,6:B
6,B,195,29,6:B
6,B,205,29,6:B
6,B,215,24,6:B
6,B,225,35,6:B
