h,i,s,p
1,2.0,14.0,1
1,3.0,12.0,2
1,4.0,9.0,3
1,0.0,5.0,4
2,3.0,22.0,1
2,1.0,18.0,2
2,1.0,21.0,3
3,8.0,22.0,1
3,2.0,16.0,2
3,0.0,16.0,3
3,2.0,20.0,4
4,2.0,10.0,1
4,0.0,10.0,2
4,2.0,9.0,3
4,0.0,6.0,4
5,5.0,18.0,1
5,0.0,25.0,2
5,0.0,24.0,3
5,1.0,4.0,4
6,3.0,17.0,1
6,0.0,17.0,2
6,0.0,18.0,3
6,1.0,20.0,4
7,8.0,16.0,1
7,1.0,10.0,2
7,3.0,9.0,3
7,0.0,5.0,4
8,12.0,34.0,1
9,2.0,9.0,1
9,0.0,6.0,2
9,0.0,8.0,3
9,0.0,6.0,4
10,1.0,22.0,1
10,1.0,22.0,2
10,0.0,18.0,3
10,2.0,22.0,4
11,0.0,25.0,1
11,5.0,27.0,2
11,3.0,22.0,3
11,1.0,22.0,4
12,2.0,10.0,1
12,1.0,8.0,2
12,0.0,6.0,3
12,0.0,5.0,4
13,1.0,21.0,1
13,2.0,24.0,2
13,0.0,19.0,3
13,0.0,23.0,4
14,11.0,19.0,1
14,0.0,2.0,2
14,0.0,3.0,3
14,0.0,2.0,4
15,1.0,19.0,1
15,1.0,15.0,2
15,1.0,15.0,3
15,0.0,15.0,4
