H,G,student,Y,gender,age,gcsescore,U
1,1,1,4.0,F,3.0,6.625,0.3393157114303298
1,1,2,10.0,F,-3.0,7.625,1.3393157114303298
1,1,3,10.0,F,-4.0,7.25,0.9643157114303298
1,1,4,10.0,F,-2.0,7.5,1.2143157114303298
1,1,5,8.0,F,-1.0,6.444,0.15831571143032974
1,1,6,10.0,F,4.0,7.75,1.4643157114303298
1,1,7,6.0,F,1.0,6.75,0.4643157114303298
1,1,8,8.0,F,4.0,6.909,0.6233157114303296
1,1,9,4.0,F,3.0,6.375,0.08931571143032979
1,1,10,10.0,F,0.0,7.75,1.4643157114303298
1,1,11,10.0,F,-1.0,7.857,1.57131571143033
1,1,12,8.0,F,1.0,7.333,1.04731571143033
1,1,13,10.0,F,1.0,7.75,1.4643157114303298
1,2,14,10.0,M,0.0,7.7,1.41431571143033
1,2,15,10.0,M,-4.0,6.3,0.014315711430329614
1,2,16,10.0,M,5.0,7.3,1.0143157114303296
1,2,17,8.0,M,-3.0,6.636,0.3503157114303299
1,2,18,10.0,M,4.0,7.272,0.98631571143033
1,2,19,10.0,M,0.0,7.2,0.91431571143033
1,2,20,4.0,M,-3.0,6.454,0.16831571143032953
1,2,21,6.0,M,4.0,6.818,0.5323157114303294
1,2,22,10.0,M,-5.0,7.3,1.0143157114303296
1,2,23,2.0,M,-1.0,6.2,-0.08568428856967003
1,2,24,10.0,M,-2.0,7.111,0.8253157114303296
1,2,25,10.0,M,2.0,6.8,0.5143157114303296
1,2,26,8.0,M,-4.0,6.5,0.2143157114303298
1,2,27,10.0,M,-5.0,6.727,0.4413157114303301
1,2,28,6.0,M,-6.0,7.0,0.7143157114303298
1,2,29,10.0,M,-2.0,7.7,1.41431571143033
1,2,30,10.0,M,3.0,7.3,1.0143157114303296
1,2,31,8.0,M,3.0,6.4,0.11431571143033015
1,2,32,10.0,M,2.0,6.833,0.54731571143033
1,2,33,10.0,M,2.0,7.363,1.0773157114303302
1,2,34,4.0,M,5.0,6.6,0.31431571143032944
1,2,35,10.0,M,-1.0,7.6,1.3143157114303294
1,2,36,10.0,M,-2.0,7.555,1.2693157114303295
1,2,37,10.0,M,0.0,7.7,1.41431571143033
1,2,38,10.0,M,-5.0,7.7,1.41431571143033
1,2,39,8.0,M,-5.0,6.0,-0.2856842885696702
