G,Y,A,U,B
AA,N,3+,18.44,Y
AA,N,0,-5.56,Y
AA,N,2,1.44,Y
AA,N,3+,8.44,Y
AA,N,0,-13.56,Y
AA,N,0,-11.56,Y
AA,N,3+,18.44,Y
AA,N,3+,-3.56,Y
AA,N,1,-5.56,Y
AA,N,3+,1.44,Y
AA,Y,0,-11.56,Y
AA,N,0,-2.56,Y
AA,N,1,-4.56,Y
AA,N,3+,5.44,Y
AA,N,3+,-0.56,Y
AA,Y,3+,4.44,Y
AA,N,0,-5.56,Y
AA,Y,3+,-0.56,Y
AA,Y,1,-6.56,Y
AA,N,2,-3.56,Y
AA,N,0,-4.56,Y
AA,N,0,-9.56,Y
AA,N,3+,2.44,Y
AA,Y,2,2.44,Y
AA,Y,1,-4.56,Y
AA,N,3+,14.44,Y
AA,Y,0,-6.56,Y
AA,Y,1,-3.56,Y
AA,Y,1,-5.56,Y
AA,Y,1,-1.56,Y
AA,N,2,-6.56,Y
AA,Y,2,-2.56,Y
AA,N,2,-7.56,Y
AA,N,0,9.44,Y
AA,N,3+,8.44,Y
AA,N,3+,14.44,Y
AA,Y,3+,8.44,Y
AA,N,3+,6.44,Y
AA,N,2,-3.56,Y
AA,Y,3+,-5.56,Y
AA,N,3+,14.44,Y
AA,N,3+,2.44,Y
AA,N,1,-10.56,Y
AA,N,3+,5.44,Y
AA,Y,1,-7.56,Y
AA,Y,2,-4.56,Y
AA,Y,3+,-1.56,Y
AA,N,1,-11.56,Y
AA,Y,3+,1.44,Y
AA,Y,2,11.44,Y
AA,N,0,-12.56,Y
AA,Y,2,-2.56,Y
AA,N,0,-3.56,Y
AA,Y,0,-4.56,Y
AA,Y,2,-7.56,Y
AA,Y,1,8.44,Y
AA,Y,2,-5.56,Y
AA,N,3+,7.44,Y
AA,N,1,-6.56,Y
AA,N,0,-11.56,Y
AA,N,3+,15.44,Y
AA,N,2,-4.56,Y
AA,N,2,-3.56,Y
AA,N,3+,11.44,N
AA,N,3+,-4.56,N
AA,N,3+,10.44,N
AA,N,3+,4.44,N
AA,N,3+,-3.56,N
AA,N,0,-12.56,N
AA,N,2,-7.56,N
AA,N,0,-13.56,N
AA,N,3+,3.44,N
AA,N,2,19.44,N
AA,N,2,-7.56,N
AA,N,2,1.44,N
AA,N,0,-4.56,N
AA,N,0,-7.56,N
AA,N,3+,-1.56,N
AA,N,3+,2.44,N
AA,N,3+,8.44,N
AA,N,3+,8.44,N
AA,N,0,-9.56,N
AA,Y,3+,8.44,N
AA,N,3+,7.44,N
AA,N,3+,5.44,N
AA,Y,3+,2.44,N
AA,N,0,-4.56,N
AA,N,3+,0.44,N
AA,N,3+,11.44,N
AA,Y,3+,-3.56,N
AA,N,0,5.44,N
AA,N,3+,-1.56,N
AA,N,2,-7.56,N
AA,Y,3+,5.44,N
AA,N,1,6.44,N
AA,Y,3+,0.44,N
AA,Y,3+,10.44,N
AA,Y,3+,7.44,N
AA,N,1,-11.56,N
AA,N,2,10.44,N
AA,N,3+,2.44,N
AA,N,2,-3.56,N
AA,N,3+,0.44,N
AA,N,3+,16.44,N
AA,N,1,4.44,N
AA,N,3+,12.44,N
AA,N,3+,8.44,N
AA,N,3+,18.44,N
AA,N,0,-13.56,N
AA,N,1,-11.56,N
AA,N,0,-2.56,N
AA,N,0,-5.56,N
AA,N,2,3.44,N
AA,N,0,-1.56,N
AA,N,3+,3.44,N
AA,N,3+,-1.56,N
AA,N,2,11.44,N
AB,N,3+,-1.56,N
AB,N,2,-5.56,N
AB,N,0,-13.56,N
AB,Y,2,-5.56,N
AB,N,3+,19.44,N
AB,Y,3+,1.44,N
AB,Y,1,-2.56,N
AB,Y,2,6.44,N
AB,N,2,-5.56,N
AB,Y,3+,7.44,N
AB,N,3+,1.44,N
AB,N,2,0.44,N
AB,N,0,-11.56,N
AB,N,3+,10.44,N
AB,N,0,-7.56,N
AB,Y,2,-2.56,N
AB,N,0,-13.56,N
AB,Y,2,-2.56,N
AB,N,2,1.44,N
AB,N,1,-11.56,N
AC,Y,3+,-3.56,Y
AC,Y,0,-8.56,Y
AD,Y,1,-6.56,Y
AD,Y,3+,2.44,Y
AD,Y,2,-1.56,Y
AD,N,0,-3.56,Y
AD,Y,3+,4.44,Y
AD,Y,2,7.44,Y
AD,Y,3+,7.44,Y
AD,Y,3+,-0.56,Y
AD,Y,1,-10.56,Y
AD,Y,1,-3.56,Y
AD,Y,3+,2.44,Y
AD,N,2,-2.56,N
AD,Y,1,-4.56,N
AD,N,0,-4.56,N
AD,N,3+,14.44,N
AD,N,3+,16.44,N
AD,N,3+,6.44,N
AD,N,3+,-1.56,N
AD,Y,1,1.44,N
AD,N,3+,2.44,N
AD,N,3+,13.44,N
AD,N,3+,16.44,N
AD,Y,3+,-0.56,N
AD,Y,3+,8.44,N
AD,Y,3+,2.44,N
AD,N,0,-10.56,N
AD,N,2,-1.56,N
AD,N,1,-11.56,N
AD,N,2,-9.56,N
AD,N,0,-7.56,N
AE,N,0,-13.56,Y
AE,Y,3+,2.44,Y
AE,N,1,-4.56,N
AE,N,3+,3.44,N
AE,N,0,-13.56,N
AE,Y,2,-4.56,N
AE,N,0,-11.56,N
AE,Y,0,-11.56,N
AE,Y,1,-6.56,N
AE,N,3+,13.44,N
AE,Y,0,-11.56,N
AE,N,0,-10.56,N
AE,N,0,-10.56,N
AE,N,3+,16.44,N
AE,N,0,-3.56,N
AE,N,3+,-2.56,N
AE,N,3+,16.44,N
AE,Y,3+,7.44,N
AE,N,0,-10.56,N
AE,N,3+,0.44,N
AE,Y,3+,6.44,N
AE,N,3+,2.44,N
AE,N,0,-9.56,N
AE,Y,2,-8.56,N
AE,Y,3+,14.44,N
AE,Y,3+,1.44,N
AE,Y,2,-4.56,N
AE,N,3+,-4.56,N
AE,N,2,-7.56,N
AE,Y,2,-5.56,N
AE,Y,0,-8.56,N
AE,N,0,-12.56,N
AE,N,3+,-1.56,N
AE,N,3+,-1.56,N
AE,N,3+,18.44,N
AE,N,2,17.44,N
AE,Y,3+,-0.56,N
AE,N,3+,11.44,N
AE,N,3+,13.44,N
AF,Y,0,-0.56,Y
AF,Y,1,-4.56,Y
AF,Y,3+,-0.56,Y
AF,N,2,11.44,Y
AF,Y,0,-4.56,Y
AF,N,3+,7.44,Y
AF,Y,3+,4.44,Y
AF,N,2,-5.56,N
AF,N,3+,13.44,N
AF,Y,0,-12.56,N
AF,N,3+,12.44,N
AF,N,3+,-5.56,N
AF,N,3+,8.44,N
AF,N,0,-11.56,N
AF,Y,1,-0.56,N
AF,N,1,-7.56,N
AF,N,1,6.44,N
AF,Y,3+,4.44,N
AF,Y,2,-5.56,N
AF,Y,2,-0.56,N
AF,N,0,-6.56,N
AF,N,2,0.44,N
AF,N,3+,13.44,N
AF,N,3+,11.44,N
AF,N,0,1.44,N
AF,Y,1,-5.56,N
AF,N,0,-6.56,N
AF,Y,2,-4.56,N
AF,N,2,-2.56,N
AF,Y,3+,13.44,N
AF,N,0,-9.56,N
AF,N,0,-11.56,N
AF,N,0,-8.56,N
AF,N,0,-9.56,N
AF,N,3+,-2.56,N
AF,N,0,-10.56,N
AF,N,3+,18.44,N
AF,Y,1,-7.56,N
AF,N,1,-4.56,N
AF,N,1,-9.56,N
AF,Y,3+,-0.56,N
AF,N,0,-8.56,N
AF,N,1,8.44,N
AF,N,1,-5.56,N
AF,N,2,5.44,N
AF,N,0,-12.56,N
AF,N,3+,16.44,N
AF,N,3+,8.44,N
AF,N,3+,8.44,N
AF,N,1,-4.56,N
AF,N,0,-6.56,N
AF,N,2,-2.56,N
AF,N,3+,18.44,N
AF,N,2,18.44,N
AF,N,3+,-0.56,N
AF,N,3+,8.44,N
AF,N,3+,-8.56,N
AF,N,3+,-5.56,N
AF,Y,2,0.44,N
AF,Y,3+,2.44,N
AF,N,1,-7.56,N
AF,Y,3+,-2.56,N
AF,N,3+,15.44,N
AF,Y,3+,10.44,N
AF,N,0,-7.56,N
AG,N,3+,1.44,N
AG,N,1,-8.56,N
AG,N,1,-7.56,N
AG,N,0,-13.56,N
