Y,U,I,H,G
-1,0,2,10001,10001:2
1,0,33,20054,20054:33
-11,0,74,20011,20011:74
3,0,95,20042,20042:95
0,0,55,20022,20022:55
5,0,23,10038,10038:23
-3,0,21,10010,10010:21
-2,0,137,10006,10006:137
-4,0,41,10065,10065:41
0,0,55,20024,20024:55
-4,0,99,10018,10018:99
-4,0,2,10045,10045:2
2,0,81,10113,10113:81
-3,0,37,10120,10120:37
-6,0,139,10006,10006:139
0,0,131,10095,10095:131
0,0,81,20011,20011:81
0,0,55,20056,20056:55
0,0,95,10024,10024:95
-1,0,41,10067,10067:41
-3,0,105,20081,20081:105
1,0,33,10051,10051:33
0,0,2,20087,20087:2
-1,0,101,10018,10018:101
-1,0,63,10091,10091:63
2,0,83,10113,10113:83
0,0,55,20084,20084:55
-12,0,23,20029,20029:23
15,0,23,10084,10084:23
2,0,115,10030,10030:115
0,0,83,20011,20011:83
-11,0,99,20042,20042:99
2,0,45,10125,10125:45
2,0,121,10105,10105:121
-2,0,63,10058,10058:63
-2,0,45,10065,10065:45
0,0,137,10028,10028:137
-7,0,135,20004,20004:135
-6,0,41,10120,10120:41
0,0,101,10088,10088:101
6,0,85,20011,20011:85
2,0,99,10024,10024:99
-1,0,45,10067,10067:45
0,0,101,20042,20042:101
-2,0,37,10051,10051:37
-4,0,121,20078,20078:121
0,0,131,20075,20075:131
4,0,81,10091,10091:81
0,0,33,10038,10038:33
1,0,10,10045,10045:10
0,0,105,20042,20042:105
-5,0,115,10109,10109:115
2,0,135,20008,20008:135
-2,0,10,10001,10001:10
0,0,63,20022,20022:63
0,0,101,10024,10024:101
0,0,10,10104,10104:10
6,0,135,10120,10120:135
-11,0,37,10075,10075:37
0,0,67,10058,10058:67
-1,0,121,10030,10030:121
6,0,85,10091,10091:85
11,0,53,10065,10065:53
0,0,105,10024,10024:105
1,0,45,10120,10120:45
0,0,63,20056,20056:63
1,0,95,10113,10113:95
0,0,109,20042,20042:109
1,0,41,10051,10051:41
-2,0,113,10018,10018:113
4,0,69,10058,10058:69
-1,0,37,10100,10100:37
1,0,135,20075,20075:135
1,0,37,10040,10040:37
-2,0,55,10065,10065:55
4,0,37,20002,20002:37
3,0,81,10084,10084:81
-2,0,14,10001,10001:14
12,0,85,10020,10020:85
2,0,45,20054,20054:45
0,0,109,10024,10024:109
-2,0,41,10075,10075:41
-1,0,71,10058,10058:71
0,0,137,20075,20075:137
0,0,21,10045,10045:21
2,0,99,10060,10060:99
