H,G,Y,U,V,W,X
CA,1949,6.278521424165844,7.205635176410364,-1.0700248318161971,0.10795714150509236,1.0664333903038745
CA,1950,6.401917196727186,7.288927694521257,-1.0106014113453965,0.1501426584297194,1.0767074532800598
CA,1951,6.505784060128229,7.382746449738912,-1.0023934309275668,0.4007875185570534,1.1291414937029325
CA,1952,6.478509642208569,7.400009517162692,-0.9969586349416099,0.44916296337388373,1.1226542831483477
CA,1953,6.411818267709897,7.419979923661835,-0.8915981192837836,0.46624658036802336,1.211047717997898
CA,1954,6.452048954437226,7.447751280047908,-0.6951491832306184,0.47561286801024616,1.1924061679544706
CA,1955,6.499787040655854,7.483806687665835,-0.7011793522572096,0.49286529838899784,1.2386640441158663
CA,1956,6.516193076042964,7.537962659768208,-0.6292338548162925,0.5636078092049601,1.2638442013633264
CA,1957,6.464588303689961,7.5822291942764615,-0.4620354595965587,0.9711576333149952,1.3686394258811698
CA,1958,6.519147287940395,7.617759576608505,-0.4049652330665133,0.9711576333149952,1.3817842056420047
CA,1959,6.570882962339584,7.679713639966372,-0.40947312950570314,0.9738046380747618,1.3979758658937285
DC,1949,6.74993119378857,7.3796321526095525,-1.3432348716594436,-0.3915622029391729,1.0306902721826512
DC,1950,6.920671504248683,7.480428306074208,-1.3205066205818874,-0.4124897230451288,1.0567480845694108
DC,1951,7.077498053569231,7.6093665379542115,-1.324258970200438,-0.390084006069862,1.1006102913307827
DC,1952,6.98100574072173,7.560601162768557,-1.3205066205818874,-0.31608154697347896,1.0902440389975931
DC,1953,6.911747300251674,7.526178913346146,-1.248273063222516,-0.12443007837817703,1.1102114245114616
DC,1954,6.950814768442584,7.532623618788788,-1.1776554960085626,0.4054651081081644,1.1259031489040134
DC,1955,6.9726062513017535,7.565793282428515,-1.1457038962019601,0.4081282255276481,1.155937355287379
DC,1956,6.967909201801884,7.576097340623111,-1.1332037334377287,0.46875284734408296,1.1786549963416462
DC,1957,7.02108396428914,7.642524134232902,-1.0613165039244128,0.8024499154503955,1.2143190963800803
DC,1958,7.086737934510577,7.670428522190693,-1.0216512475319814,0.7419373447293773,1.2404011609394874
DC,1959,7.0630481633881725,7.681099001536359,-0.8722738464573808,0.8510052651755257,1.3156036204971213
FL,1949,6.0112671744041615,6.931471805599453,-1.0384583658483626,-0.09541018480465818,0.8389776287714849
FL,1950,6.07073772800249,6.914730892718563,-1.0729445419195318,-0.04395188752918283,0.8445798843201546
FL,1951,6.150602768446279,6.97354301952014,-1.0936247471570706,0.001998002662673058,0.8870678731972518
FL,1952,6.152732694704104,6.97354301952014,-1.1147416705979933,0.050693114315518165,0.946625931670228
FL,1953,6.139884552226255,7.037027614686276,-1.0384583658483626,0.11154137473290751,0.965080896043587
FL,1954,6.142037405587356,7.036148493750536,-0.9834994815676051,0.2374408560150342,1.054660401138927
FL,1955,6.300785794663244,7.174724309836376,-0.9728610833625494,0.29192306670903545,1.0584844975773304
FL,1956,6.340359303727752,7.199678345691172,-0.9187938620922735,0.39608794629556743,1.1092224677801252
FL,1957,6.274762021241939,7.232010331664759,-0.8051966843685682,0.883767540168595,1.2053718252396433
FL,1958,6.278521424165844,7.25063551189868,-0.6971552019574841,0.8973117652763521,1.2098554674840916
FL,1959,6.257667587882639,7.284134806195205,-0.6481738149172142,0.911881023385455,1.273965176145971
IL,1949,6.736966958001855,7.289610521451167,-1.9449106487222299,-0.16016875215282134,0.9178894532378521
IL,1950,6.756932389247553,7.291656209174461,-1.9241486572738007,-0.1660545843300827,0.8952713646500796
IL,1951,6.787844982309579,7.349230824613334,-1.9173226922034008,-0.06613980250454495,0.8956797779700306
IL,1952,6.81783057145415,7.4073177104694174,-1.9379419794061366,0.05732506661926935,0.9431273858277147
IL,1953,6.812345094177479,7.444833273892193,-1.8971199848858813,0.08709470685093373,0.9943622672943105
IL,1954,6.833031732786201,7.4815557019095165,-1.8078888511579385,0.12221763272424911,1.010873374360103
IL,1955,6.844815479208263,7.503840746698951,-1.760260802168684,0.1319050708799386,1.021731244332152
IL,1956,6.8501261661455,7.557472901614746,-1.6982691261407161,0.3030631744900833,1.075684784024405
IL,1957,6.80128303447162,7.590852123688581,-1.5945492999403497,0.4873522675803485,1.1489884959931764
IL,1958,6.823286122355687,7.601402334583733,-1.5417792639602856,0.5521594872589679,1.22436349397367
IL,1959,6.773080375655535,7.618251097876695,-1.4653375684603434,0.7197891115063664,1.2519054580812388
NY,1949,7.222566018822171,7.307872780763706,-2.1892564076870427,-0.37542098675978763,0.7414610408384961
NY,1950,7.247792581767846,7.323170717943469,-2.1286317858706076,-0.3229638865964207,0.7333289701927771
NY,1951,7.25063551189868,7.356279876550748,-2.1286317858706076,-0.2294131643278051,0.7966058889281753
NY,1952,7.259116128097101,7.413970290190444,-2.120263536200091,0.04879016416943205,0.8899467565345531
NY,1953,7.240649694255466,7.463936604468925,-2.0099154790312257,0.21591750622247025,0.9070481505072224
NY,1954,7.254884810077338,7.496652438168283,-1.9310215365615626,0.2971372312225361,0.9321640810304452
NY,1955,7.266128779556451,7.4999765409521215,-1.9241486572738007,0.3407487933884731,0.9764446546939021
NY,1956,7.255591274253665,7.557994958530806,-1.783791299578878,0.5618988939499913,1.0202903218926398
NY,1957,7.274479558773871,7.637234388789473,-1.6660082639224947,0.8024499154503955,1.08417524087034
NY,1958,7.2813856635702825,7.659171367666058,-1.6502599069543555,0.8586616190375187,1.1226542831483477
NY,1959,7.256297239690681,7.69484807238461,-1.5945492999403497,0.9246556482057827,1.1703126028333009
TX,1949,6.35088571671474,6.902742737158593,-1.903808973036678,-0.1755445725149309,1.0134174426048779
TX,1950,6.452048954437226,6.9584483932976555,-1.9173226922034008,-0.17912666589743548,1.007957920399979
TX,1951,6.520621127558696,7.050989447068045,-1.9105430052180221,-0.20825493882045903,1.0363822121319755
TX,1952,6.504288173536645,7.069874128458572,-1.9173226922034008,0.06765864847381486,1.0577902941478545
TX,1953,6.501289670540389,7.113142108707088,-1.8325814637483102,0.1570037488096647,1.125578736897924
TX,1954,6.56244409369372,7.158513997329321,-1.7037485919053417,0.28367405105424215,1.1291414937029325
TX,1955,6.582025138892826,7.19668657083435,-1.6554818509355071,0.3133498192003588,1.1220032414586854
TX,1956,6.56244409369372,7.213768308118642,-1.5702171992808192,0.4343764516025845,1.1210258835050098
TX,1957,6.51471269087253,7.255591274253665,-1.3862943611198906,0.7518876755825454,1.2490417676935142
TX,1958,6.573680166960646,7.284134806195205,-1.2801341652915,0.80692219481879,1.22759166992457
TX,1959,6.555356891810665,7.326465613840322,-1.194022473472768,0.8899467565345531,1.3004641045146972
WA,1949,6.035481432524756,7.044032897274685,-1.0272222925814367,-0.0650719967437148,0.7265819566461827
WA,1950,6.2166061010848646,7.188412736496954,-1.018877320649256,-0.027371196796132015,0.8015530544037318
WA,1951,6.263398262591624,7.267525427828172,-1.0078579253996456,0.03825871211709027,0.8616233305318469
WA,1952,6.251903883165888,7.300472814267799,-0.9649559038554361,0.2662030407746567,0.9372691382593468
WA,1953,6.214608098422191,7.333676395657684,-0.8818893051568227,0.2941610385494901,1.0466169935497294
WA,1954,6.285998094508865,7.379008127628304,-0.731888008876376,0.29862201249011533,1.052568350166703
WA,1955,6.300785794663244,7.407924322559599,-0.6367668471238376,0.5709795465857378,1.067121621576739
WA,1956,6.263398262591624,7.412160334945205,-0.5327304591540407,0.5760514086836981,1.102272249499597
WA,1957,6.202535517187923,7.444833273892193,-0.3841929728326246,0.8385453832493022,1.1792701916855641
WA,1958,6.255750041753367,7.469654172932128,-0.3340751120214915,0.833778310299691,1.1957389993988325
WA,1959,6.244166900663736,7.500529485395295,-0.31471074483970024,0.914288729203482,1.2547609711580412
