G,Y,U,A
68,103,1.0,Y
68,119,1.5,Y
68,96,2.0,Y
70,106,1.0,Y
70,107,1.5,Y
70,96,2.0,Y
71,112,1.0,Y
71,86,1.5,Y
71,73,2.0,Y
72,100,1.0,Y
72,93,1.5,Y
72,87,2.0,Y
75,115,1.0,Y
75,121,1.5,Y
75,88,2.0,Y
76,103,1.0,Y
76,119,1.5,Y
76,104,2.0,Y
77,91,1.0,Y
77,111,1.5,Y
77,100,2.0,Y
79,112,1.0,Y
79,98,1.5,Y
79,84,2.0,Y
80,117,1.0,Y
80,115,1.5,Y
80,104,2.0,Y
81,131,1.0,Y
81,109,1.5,Y
81,112,2.0,Y
83,112,1.0,Y
83,111,1.5,Y
83,85,2.0,Y
84,96,1.0,Y
84,90,1.5,Y
84,87,2.0,Y
86,57,1.0,Y
86,68,1.5,Y
86,77,2.0,Y
87,76,1.0,Y
87,76,1.5,Y
87,72,2.0,Y
89,109,1.0,Y
89,100,1.5,Y
89,87,2.0,Y
90,112,1.0,Y
90,100,1.5,Y
90,96,2.0,Y
91,134,1.0,Y
91,123,1.5,Y
91,108,2.0,Y
92,137,1.0,Y
92,111,1.5,Y
92,100,2.0,Y
93,109,1.0,Y
93,136,1.5,Y
93,116,2.0,Y
96,100,1.0,Y
96,105,1.5,Y
96,96,2.0,Y
97,100,1.0,Y
97,100,1.5,Y
97,87,2.0,Y
98,130,1.0,Y
98,98,1.5,Y
98,92,2.0,Y
99,112,1.0,Y
99,105,1.5,Y
99,92,2.0,Y
100,131,1.0,Y
100,103,1.5,Y
100,87,2.0,Y
101,106,1.0,Y
101,109,1.5,Y
101,96,2.0,Y
102,122,1.0,Y
102,124,1.5,Y
102,112,2.0,Y
105,103,1.0,Y
105,107,1.5,Y
105,96,2.0,Y
106,137,1.0,Y
106,130,1.5,Y
106,108,2.0,Y
107,128,1.0,Y
107,105,1.5,Y
107,87,2.0,Y
109,122,1.0,Y
109,117,1.5,Y
109,92,2.0,Y
110,94,1.0,Y
110,105,1.5,Y
110,104,2.0,Y
111,105,1.0,Y
111,113,1.5,Y
111,96,2.0,Y
112,112,1.0,Y
112,100,1.5,Y
112,96,2.0,Y
113,119,1.0,Y
113,119,1.5,Y
113,96,2.0,Y
114,112,1.0,Y
114,128,1.5,Y
114,104,2.0,Y
115,119,1.0,Y
115,117,1.5,Y
115,92,2.0,Y
116,128,1.0,Y
116,109,1.5,Y
116,112,2.0,Y
117,96,1.0,Y
117,103,1.5,Y
117,92,2.0,Y
120,119,1.0,Y
120,106,1.5,Y
120,108,2.0,Y
121,106,1.0,Y
121,93,1.5,Y
121,104,2.0,Y
122,93,1.0,Y
122,103,1.5,Y
122,96,2.0,Y
125,117,1.0,Y
125,111,1.5,Y
125,96,2.0,Y
126,112,1.0,Y
126,100,1.5,Y
126,83,2.0,Y
127,134,1.0,Y
127,132,1.5,Y
127,116,2.0,Y
