H,G,U,Y,A,V
2020,AA,0.5,1.146,F,380
2020,AA,1.5,1.134,F,380
2020,AA,2.5,2.3,F,380
2020,AB,-1.5,-1.303,F,380
2020,AB,-0.5,0.439,F,380
2020,AB,0.5,2.43,F,380
2020,AB,1.5,2.254,F,380
2020,AB,2.5,3.873,F,380
2020,AC,-1.5,-1.384,F,380
2020,AC,-0.5,0.338,F,380
2020,AC,0.5,1.146,F,380
2020,AC,1.5,1.839,F,380
2020,AC,2.5,3.055,F,380
2020,AD,-1.5,-0.733,F,380
2020,AD,-0.5,1.043,F,380
2020,AD,0.5,2.14,F,380
2020,AD,1.5,2.814,F,380
2020,AD,2.5,3.544,F,380
2020,AE,-1.5,-0.733,F,380
2020,AE,-0.5,0.148,F,380
2020,AE,0.5,2.79,F,380
2020,AF,-2.5,-3.068,F,380
2020,AF,-1.5,-1.13,F,380
2020,AF,-0.5,-0.921,F,380
2020,AF,0.5,0.463,F,380
2020,AF,1.5,0.021,F,380
2020,AF,2.5,2.035,F,380
2020,AG,-2.5,-2.732,F,380
2020,AG,-1.5,-2.097,F,380
2020,AG,-0.5,-0.988,F,380
2020,AG,0.5,0.227,F,380
2020,AG,1.5,0.403,F,380
2020,AG,2.5,1.623,F,380
2020,AH,-1.5,-1.83,F,380
2020,AH,-0.5,-0.785,F,380
2020,AH,0.5,0.716,F,380
2020,AH,1.5,1.202,F,380
2020,AH,2.5,3.055,F,380
2020,AI,-1.5,-1.541,M,380
2020,AI,-0.5,-0.273,M,380
2020,AI,0.5,-0.522,M,380
2020,AI,1.5,0.459,M,380
2020,AI,2.5,2.099,M,380
2020,AJ,-1.5,-1.76,M,380
2020,AJ,-0.5,-0.921,M,380
2020,AJ,0.5,0.852,M,380
2020,AJ,1.5,1.748,M,380
2020,AJ,2.5,2.6,M,380
2020,AK,-1.5,-1.83,F,380
2020,AK,-0.5,-0.501,F,380
2020,AK,0.5,0.114,F,380
2020,AK,1.5,1.661,F,380
2020,AK,2.5,2.164,F,380
2020,AL,-1.5,-2.351,M,380
2020,AL,-0.5,-1.505,M,380
2020,AL,0.5,-0.725,M,380
2020,AL,1.5,0.021,M,380
2020,AL,2.5,1.514,M,380
2020,AM,-1.5,-1.218,F,380
2020,AM,-0.5,-0.273,F,380
2020,AM,0.5,0.463,F,380
2020,AM,1.5,0.573,F,380
2020,AM,2.5,1.736,F,380
2020,AN,-1.5,-1.966,M,380
2020,AN,-0.5,-0.574,M,380
2020,AN,0.5,0.227,M,380
2020,AN,1.5,1.748,M,380
2020,AN,2.5,2.231,M,380
2020,AO,-1.5,-2.718,F,380
2020,AO,-0.5,-1.378,F,380
2020,AO,0.5,-0.623,F,380
2020,AO,1.5,0.811,F,380
2020,AO,2.5,1.973,F,380
2020,AP,-1.5,-2.96,M,380
2020,AP,-0.5,-1.25,M,380
2020,AP,0.5,-0.725,M,380
2020,AP,1.5,0.128,M,380
2020,AP,2.5,1.514,M,380
2020,AQ,-2.5,-2.732,M,380
