G,Y,B,U,A
1,0.2613242,mixed,0.6190592,F
1,0.1340672,mixed,0.2058022,F
1,-1.723882,mixed,-1.364576,M
1,0.9675862,mixed,0.2058022,F
1,0.5443412,mixed,0.3711052,F
1,1.7348992,mixed,2.1894372,M
1,1.0396082,mixed,-1.116621,M
1,-0.129085,mixed,-1.03397,M
1,-0.939378,mixed,-0.538061,F
1,-1.219486,mixed,-1.447227,M
1,2.4086922,mixed,2.4373912,M
1,0.6107292,mixed,2.1067862,M
1,-1.836687,mixed,0.0404992,M
1,-0.129085,mixed,1.1976192,M
1,2.2031212,mixed,2.5200432,M
1,1.2405332,mixed,1.1149682,F
1,1.7348992,mixed,1.0323172,F
1,1.3101422,mixed,0.7843622,M
1,-0.623051,mixed,-1.116621,M
1,1.0396082,mixed,-1.199273,F
1,-1.029067,mixed,-0.372758,F
1,-1.219486,mixed,-1.364576,M
1,0.3280722,mixed,-0.951318,F
1,-0.492781,mixed,-2.356393,M
1,1.9003352,mixed,-0.042152,F
1,0.8965662,mixed,0.3711052,M
1,0.0735362,mixed,1.1149682,M
1,0.1941492,mixed,0.0404992,M
1,1.5061852,mixed,0.6190592,F
1,1.9003352,mixed,2.0241342,M
1,0.3280722,mixed,-0.620713,M
1,0.8965662,mixed,-1.116621,M
1,1.6618062,mixed,0.2884532,M
1,-0.776109,mixed,-0.124804,M
1,0.4026692,mixed,0.3711052,M
1,0.9675862,mixed,1.0323172,M
1,0.4781942,mixed,-0.124804,M
1,0.1340672,mixed,0.1231502,M
1,2.3136012,mixed,0.6190592,M
1,-0.197611,mixed,0.2884532,M
1,0.4781942,mixed,-0.290107,M
1,0.8219882,mixed,0.7843622,M
1,1.0396082,mixed,-0.290107,F
1,-0.555112,mixed,-1.03397,F
1,-1.335315,mixed,-0.951318,M
1,-0.555112,mixed,-2.356393,M
1,1.5061852,mixed,0.7843622,F
1,-0.939378,mixed,-0.372758,M
1,2.3136012,mixed,0.7843622,F
1,-0.062088,mixed,-0.703364,F
1,-0.197611,mixed,0.0404992,M
1,-0.197611,mixed,-0.290107,M
1,2.0397092,mixed,1.6108772,F
1,1.6618062,mixed,0.3711052,F
1,1.4395322,mixed,1.6108772,F
1,0.3280722,mixed,0.3711052,F
1,0.0735362,mixed,-0.042152,F
1,0.9675862,mixed,-0.290107,F
1,-1.029067,mixed,-0.620713,F
1,1.7348992,mixed,1.6108772,M
1,2.4086922,mixed,1.1976192,F
1,-1.526653,mixed,-0.620713,M
1,1.4395322,mixed,0.8670142,M
1,1.5061852,mixed,0.5364082,F
1,1.8138272,mixed,0.4537562,M
1,0.7472282,mixed,1.2802712,F
1,-1.029067,mixed,-1.281924,M
1,-0.129085,mixed,-0.124804,M
1,1.5792202,mixed,0.2058022,M
1,1.3101422,mixed,1.6935282,M
1,-1.118624,mixed,-0.868667,F
1,0.8965662,mixed,0.8670142,M
1,0.2613242,mixed,0.3711052,M
2,1.5792202,girls,0.1231502,F
2,1.2405332,girls,0.7017112,F
2,0.6107292,girls,0.2884532,F
2,0.4781942,girls,0.7017112,F
2,-1.118624,girls,-0.620713,F
2,1.7348992,girls,1.2802712,F
2,2.4086922,girls,0.6190592,F
2,2.9246672,girls,0.9496652,F
2,2.7018012,girls,-0.45541,F
2,1.3101422,girls,1.1976192,F
2,1.5061852,girls,1.0323172,F
2,-0.129085,girls,-1.281924,F
2,-0.129085,girls,-0.538061,F
2,0.6107292,girls,1.3629222,F
2,3.1340482,girls,1.0323172,F
2,2.2031212,girls,1.2802712,F
2,0.5443412,girls,0.3711052,F
2,-0.623051,girls,-0.45541,F
