Y,U,G,API,v,ASTM
6.9,235.0,E,38.4,6.1,220.0
14.4,307.0,F,40.3,4.8,231.0
7.4,212.0,H,40.0,6.1,217.0
8.5,365.0,A,31.8,0.2,316.0
8.0,218.0,G,40.8,3.5,210.0
2.8,235.0,I,41.3,1.8,267.0
5.0,285.0,D,38.1,1.2,274.0
12.2,205.0,J,50.8,8.6,190.0
10.0,267.0,C,32.2,5.2,236.0
15.2,300.0,E,38.4,6.1,220.0
26.8,367.0,F,40.3,4.8,231.0
14.0,351.0,B,32.2,2.4,284.0
14.7,379.0,A,31.8,0.2,316.0
6.4,275.0,I,41.3,1.8,267.0
17.6,365.0,D,38.1,1.2,274.0
22.3,275.0,J,50.8,8.6,190.0
24.8,360.0,C,32.2,5.2,236.0
26.0,365.0,E,38.4,6.1,220.0
34.9,395.0,F,40.3,4.8,231.0
18.2,272.0,H,40.0,6.1,217.0
23.2,424.0,B,32.2,2.4,284.0
18.0,428.0,A,31.8,0.2,316.0
13.1,273.0,G,40.8,3.5,210.0
16.1,358.0,I,41.3,1.8,267.0
32.1,444.0,D,38.1,1.2,274.0
34.7,345.0,J,50.8,8.6,190.0
31.7,402.0,C,32.2,5.2,236.0
33.6,410.0,E,38.4,6.1,220.0
30.4,340.0,H,40.0,6.1,217.0
26.6,347.0,G,40.8,3.5,210.0
27.8,416.0,I,41.3,1.8,267.0
45.7,407.0,J,50.8,8.6,190.0
