G,Phase,list,H,Y,S,T,U,V,W,X,Z
56,2,6,5,2461.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
56,2,6,4,1497.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
56,2,6,10,1648.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
56,2,6,9,3320.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
56,4,6,14,1671.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
56,4,6,15,1683.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
56,4,6,20,1451.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
56,4,6,19,1097.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
56,6,6,24,1764.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
56,6,6,25,1033.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
56,6,6,29,2194.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
56,6,6,30,1114.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
56,8,6,34,1834.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
56,8,6,35,3063.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
56,8,6,40,1706.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
56,8,6,39,1091.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
57,2,1,9,2229.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
57,2,1,10,1834.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
57,2,1,5,1335.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
57,2,1,4,1277.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
57,4,1,20,2116.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
57,4,1,19,2043.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
57,4,1,14,1753.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
57,4,1,15,1857.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
57,6,1,30,2246.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,6,1,29,2298.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,6,1,25,922.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
57,6,1,24,1190.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
57,8,1,39,1857.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,8,1,40,1764.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,8,1,34,1195.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
57,8,1,35,1602.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
60,2,5,9,2134.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
60,2,5,10,1354.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
60,2,5,5,1323.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
60,2,5,4,1255.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
60,4,5,20,2023.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
60,4,5,19,1764.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
60,4,5,14,1938.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
60,4,5,15,1880.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
60,6,5,30,1439.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
60,6,5,29,1854.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
60,6,5,24,963.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
60,6,5,25,1219.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
60,8,5,40,2049.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
60,8,5,39,2619.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
60,8,5,34,1806.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
60,8,5,35,1776.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
61,2,5,10,1137.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
61,2,5,9,2205.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
61,2,5,5,1346.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
61,2,5,4,1555.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
61,4,5,20,2159.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
61,4,5,19,1602.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
61,4,5,15,1555.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
61,4,5,14,1695.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
61,6,5,29,1869.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
61,6,5,30,1555.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
61,6,5,25,1277.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
61,6,5,24,1219.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
61,8,5,40,2205.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
61,8,5,39,3753.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
61,8,5,34,1486.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
61,8,5,35,1578.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
62,2,1,9,1975.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
62,2,1,10,3459.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
62,2,1,5,1033.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
62,2,1,4,1091.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
62,4,1,20,4216.074999999991,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
62,4,1,19,4156.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
62,4,1,15,1451.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
62,4,1,14,1462.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
62,6,1,29,1718.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,6,1,30,3540.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,6,1,24,1219.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
62,6,1,25,1248.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
62,8,1,39,4216.074999999991,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,8,1,40,1311.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,8,1,35,1079.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
62,8,1,34,940.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
63,2,2,4,1718.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
63,2,2,5,4216.074999999991,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
63,2,2,9,1462.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
63,2,2,10,1567.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
63,4,2,14,4216.074999999991,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
63,4,2,15,2136.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
63,4,2,19,1695.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
63,4,2,20,1555.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
63,6,2,24,2543.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,6,2,25,2342.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,6,2,29,1471.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
63,6,2,30,1346.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
63,8,2,35,4111.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,8,2,34,1671.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,8,2,39,952.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
63,8,2,40,1527.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
66,2,6,5,1741.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
66,2,6,4,1973.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
66,2,6,10,1160.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
