i,t,b,h,y,l,ch
1,0.0,501,465.0,95,32,2.7593052109181144
2,0.0,501,465.0,95,32,2.7593052109181144
3,0.0,502,472.0,95,36,9.759305210918114
4,0.0,503,475.0,95,37,12.759305210918114
5,0.0,503,475.0,95,37,12.759305210918114
6,3.0,503,475.0,95,37,12.759305210918114
7,2.0,503,475.0,95,37,12.759305210918114
8,0.0,504,488.0,95,44,25.759305210918114
9,0.0,504,488.0,95,44,25.759305210918114
10,2.0,504,488.0,95,44,25.759305210918114
11,0.0,505,492.0,95,47,29.759305210918114
12,0.0,505,492.0,95,47,29.759305210918114
13,0.0,505,492.0,95,47,29.759305210918114
14,0.0,506,490.0,95,45,27.759305210918114
15,0.0,506,490.0,95,45,27.759305210918114
16,0.0,506,490.0,95,45,27.759305210918114
17,0.0,507,464.0,95,31,1.7593052109181144
18,0.0,507,464.0,95,31,1.7593052109181144
19,0.0,507,464.0,95,31,1.7593052109181144
20,1.0,507,464.0,95,31,1.7593052109181144
21,2.0,507,464.0,95,31,1.7593052109181144
22,1.0,509,457.0,95,28,-5.240694789081886
23,0.0,510,457.0,95,28,-5.240694789081886
24,0.0,511,457.0,95,28,-5.240694789081886
25,5.0,511,457.0,95,28,-5.240694789081886
26,8.0,512,451.0,95,26,-11.240694789081886
27,3.0,512,451.0,95,26,-11.240694789081886
28,4.0,512,451.0,95,26,-11.240694789081886
29,7.0,513,437.0,95,17,-25.240694789081886
30,0.0,513,437.0,95,17,-25.240694789081886
31,4.0,513,437.0,95,17,-25.240694789081886
32,4.0,514,430.0,95,14,-32.240694789081886
33,1.0,514,430.0,95,14,-32.240694789081886
34,0.0,514,430.0,95,14,-32.240694789081886
35,0.0,514,430.0,95,14,-32.240694789081886
36,3.0,514,430.0,95,14,-32.240694789081886
37,1.0,514,430.0,95,14,-32.240694789081886
38,6.0,515,427.0,95,13,-35.240694789081886
39,0.0,515,427.0,95,13,-35.240694789081886
40,1.0,515,427.0,95,13,-35.240694789081886
41,0.0,515,427.0,95,13,-35.240694789081886
42,2.0,516,419.0,95,7,-43.240694789081886
43,7.0,516,419.0,95,7,-43.240694789081886
44,31.0,516,419.0,95,7,-43.240694789081886
45,34.0,517,411.0,95,4,-51.240694789081886
46,17.0,517,411.0,95,4,-51.240694789081886
47,16.0,517,411.0,95,4,-51.240694789081886
48,66.0,518,419.0,95,7,-43.240694789081886
49,49.0,518,419.0,95,7,-43.240694789081886
50,82.0,518,419.0,95,7,-43.240694789081886
51,85.0,518,419.0,95,7,-43.240694789081886
52,64.0,518,419.0,95,7,-43.240694789081886
53,11.0,519,424.0,95,11,-38.240694789081886
54,14.0,519,424.0,95,11,-38.240694789081886
55,4.0,519,424.0,95,11,-38.240694789081886
56,10.0,519,424.0,95,11,-38.240694789081886
57,3.0,520,427.0,95,13,-35.240694789081886
58,15.0,520,427.0,95,13,-35.240694789081886
59,8.0,520,427.0,95,13,-35.240694789081886
60,9.0,521,422.0,95,9,-40.240694789081886
61,11.0,521,422.0,95,9,-40.240694789081886
62,7.0,521,422.0,95,9,-40.240694789081886
63,13.0,521,422.0,95,9,-40.240694789081886
64,3.0,522,503.0,95,53,40.759305210918114
65,0.0,523,496.0,95,51,33.759305210918114
66,0.0,523,496.0,95,51,33.759305210918114
67,1.0,523,496.0,95,51,33.759305210918114
68,1.0,523,496.0,95,51,33.759305210918114
69,0.0,525,507.0,95,54,44.759305210918114
70,0.0,525,507.0,95,54,44.759305210918114
71,0.0,525,507.0,95,54,44.759305210918114
72,0.0,525,507.0,95,54,44.759305210918114
73,0.0,526,496.0,95,51,33.759305210918114
74,0.0,526,496.0,95,51,33.759305210918114
75,0.0,526,496.0,95,51,33.759305210918114
76,1.0,526,496.0,95,51,33.759305210918114
77,1.0,526,496.0,95,51,33.759305210918114
78,0.0,526,496.0,95,51,33.759305210918114
79,2.0,528,466.0,95,33,3.7593052109181144
80,0.0,528,466.0,95,33,3.7593052109181144
81,3.0,528,466.0,95,33,3.7593052109181144
82,1.0,531,488.0,95,44,25.759305210918114
83,7.0,533,442.0,95,19,-20.240694789081886
84,2.0,533,442.0,95,19,-20.240694789081886
85,16.0,533,442.0,95,19,-20.240694789081886
86,12.0,533,442.0,95,19,-20.240694789081886
87,0.0,533,442.0,95,19,-20.240694789081886
88,1.0,535,442.0,95,19,-20.240694789081886
89,0.0,537,533.0,95,63,70.75930521091811
90,0.0,537,533.0,95,63,70.75930521091811
91,1.0,537,533.0,95,63,70.75930521091811
92,0.0,537,533.0,95,63,70.75930521091811
93,0.0,537,533.0,95,63,70.75930521091811
94,1.0,537,533.0,95,63,70.75930521091811
95,0.0,537,533.0,95,63,70.75930521091811
96,0.0,538,533.0,95,63,70.75930521091811
97,0.0,539,515.0,95,59,52.759305210918114
98,0.0,539,515.0,95,59,52.759305210918114
99,0.0,539,515.0,95,59,52.759305210918114
100,0.0,539,515.0,95,59,52.759305210918114
101,5.0,540,518.0,95,60,55.759305210918114
102,2.0,540,518.0,95,60,55.759305210918114
103,2.0,542,493.0,95,48,30.759305210918114
104,1.0,542,493.0,95,48,30.759305210918114
105,1.0,542,493.0,95,48,30.759305210918114
106,0.0,548,468.0,95,34,5.759305210918114
107,0.0,548,468.0,95,34,5.759305210918114
108,1.0,548,468.0,95,34,5.759305210918114
109,1.0,549,476.0,95,38,13.759305210918114
110,1.0,549,476.0,95,38,13.759305210918114
111,0.0,549,476.0,95,38,13.759305210918114
112,0.0,549,476.0,95,38,13.759305210918114
113,5.0,550,446.0,95,22,-16.240694789081886
114,3.0,550,446.0,95,22,-16.240694789081886
115,2.0,553,460.0,95,30,-2.2406947890818856
116,2.0,559,525.0,95,62,62.759305210918114
117,1.0,559,525.0,95,62,62.759305210918114
118,1.0,601,410.0,96,3,-52.240694789081886
119,0.0,601,410.0,96,3,-52.240694789081886
120,2.0,601,410.0,96,3,-52.240694789081886
121,5.0,601,410.0,96,3,-52.240694789081886
122,1.0,601,410.0,96,3,-52.240694789081886
123,2.0,601,410.0,96,3,-52.240694789081886
124,2.0,601,410.0,96,3,-52.240694789081886
125,3.0,602,417.0,96,6,-45.240694789081886
126,14.0,602,417.0,96,6,-45.240694789081886
127,11.0,602,417.0,96,6,-45.240694789081886
128,9.0,602,417.0,96,6,-45.240694789081886
129,4.0,602,417.0,96,6,-45.240694789081886
130,10.0,602,417.0,96,6,-45.240694789081886
131,33.0,602,417.0,96,6,-45.240694789081886
132,19.0,602,417.0,96,6,-45.240694789081886
133,16.0,602,417.0,96,6,-45.240694789081886
134,16.0,603,430.0,96,14,-32.240694789081886
135,13.0,603,430.0,96,14,-32.240694789081886
136,11.0,603,430.0,96,14,-32.240694789081886
137,7.0,603,430.0,96,14,-32.240694789081886
138,4.0,603,430.0,96,14,-32.240694789081886
139,11.0,603,430.0,96,14,-32.240694789081886
140,1.0,604,456.0,96,27,-6.240694789081886
141,1.0,604,456.0,96,27,-6.240694789081886
142,4.0,604,456.0,96,27,-6.240694789081886
143,6.0,605,457.0,96,28,-5.240694789081886
144,2.0,605,457.0,96,28,-5.240694789081886
145,7.0,605,457.0,96,28,-5.240694789081886
146,8.0,605,457.0,96,28,-5.240694789081886
147,14.0,605,457.0,96,28,-5.240694789081886
148,6.0,606,430.0,96,14,-32.240694789081886
149,13.0,606,430.0,96,14,-32.240694789081886
150,5.0,606,430.0,96,14,-32.240694789081886
151,8.0,606,430.0,96,14,-32.240694789081886
152,13.0,606,430.0,96,14,-32.240694789081886
153,17.0,606,430.0,96,14,-32.240694789081886
154,5.0,606,430.0,96,14,-32.240694789081886
155,1.0,606,430.0,96,14,-32.240694789081886
156,1.0,606,430.0,96,14,-32.240694789081886
157,2.0,606,430.0,96,14,-32.240694789081886
158,7.0,607,423.0,96,10,-39.240694789081886
159,7.0,608,421.0,96,8,-41.240694789081886
160,11.0,608,421.0,96,8,-41.240694789081886
161,1.0,609,525.0,96,62,62.759305210918114
162,0.0,609,525.0,96,62,62.759305210918114
163,5.0,610,509.0,96,55,46.759305210918114
164,4.0,610,509.0,96,55,46.759305210918114
165,0.0,611,499.0,96,52,36.759305210918114
166,0.0,611,499.0,96,52,36.759305210918114
167,0.0,611,499.0,96,52,36.759305210918114
168,7.0,612,503.0,96,53,40.759305210918114
169,5.0,612,503.0,96,53,40.759305210918114
170,3.0,612,503.0,96,53,40.759305210918114
171,1.0,612,503.0,96,53,40.759305210918114
172,6.0,612,503.0,96,53,40.759305210918114
173,1.0,614,492.0,96,47,29.759305210918114
174,2.0,614,492.0,96,47,29.759305210918114
175,14.0,615,491.0,96,46,28.759305210918114
176,5.0,615,491.0,96,46,28.759305210918114
177,27.0,615,491.0,96,46,28.759305210918114
178,1.0,616,475.0,96,37,12.759305210918114
179,2.0,616,475.0,96,37,12.759305210918114
180,3.0,616,475.0,96,37,12.759305210918114
181,0.0,616,475.0,96,37,12.759305210918114
182,1.0,617,479.0,96,40,16.759305210918114
183,0.0,617,479.0,96,40,16.759305210918114
184,5.0,617,479.0,96,40,16.759305210918114
185,5.0,617,479.0,96,40,16.759305210918114
186,8.0,617,479.0,96,40,16.759305210918114
187,21.0,617,479.0,96,40,16.759305210918114
188,15.0,618,472.0,96,36,9.759305210918114
189,15.0,618,472.0,96,36,9.759305210918114
190,6.0,618,472.0,96,36,9.759305210918114
191,19.0,618,472.0,96,36,9.759305210918114
192,14.0,618,472.0,96,36,9.759305210918114
193,1.0,621,485.0,96,42,22.759305210918114
194,1.0,621,485.0,96,42,22.759305210918114
195,3.0,621,485.0,96,42,22.759305210918114
196,2.0,621,485.0,96,42,22.759305210918114
197,3.0,621,485.0,96,42,22.759305210918114
198,2.0,623,495.0,96,50,32.759305210918114
199,5.0,623,495.0,96,50,32.759305210918114
200,0.0,624,472.0,96,36,9.759305210918114
201,6.0,624,472.0,96,36,9.759305210918114
202,3.0,624,472.0,96,36,9.759305210918114
203,1.0,625,458.0,96,29,-4.240694789081886
204,0.0,625,458.0,96,29,-4.240694789081886
205,1.0,625,458.0,96,29,-4.240694789081886
206,6.0,625,458.0,96,29,-4.240694789081886
207,1.0,625,458.0,96,29,-4.240694789081886
208,85.0,626,449.0,96,24,-13.240694789081886
209,45.0,626,449.0,96,24,-13.240694789081886
210,68.0,626,449.0,96,24,-13.240694789081886
211,84.0,626,449.0,96,24,-13.240694789081886
212,50.0,626,449.0,96,24,-13.240694789081886
213,13.0,628,442.0,96,19,-20.240694789081886
214,1.0,628,442.0,96,19,-20.240694789081886
215,19.0,629,448.0,96,23,-14.240694789081886
216,26.0,629,448.0,96,23,-14.240694789081886
217,9.0,629,448.0,96,23,-14.240694789081886
218,2.0,629,448.0,96,23,-14.240694789081886
219,4.0,629,448.0,96,23,-14.240694789081886
220,3.0,629,448.0,96,23,-14.240694789081886
221,22.0,630,448.0,96,23,-14.240694789081886
222,32.0,630,448.0,96,23,-14.240694789081886
223,5.0,631,403.0,96,1,-59.240694789081886
224,21.0,631,403.0,96,1,-59.240694789081886
225,26.0,631,403.0,96,1,-59.240694789081886
226,13.0,631,403.0,96,1,-59.240694789081886
227,23.0,631,403.0,96,1,-59.240694789081886
228,42.0,632,411.0,96,4,-51.240694789081886
229,38.0,632,411.0,96,4,-51.240694789081886
230,61.0,632,411.0,96,4,-51.240694789081886
231,79.0,632,411.0,96,4,-51.240694789081886
232,39.0,632,411.0,96,4,-51.240694789081886
233,41.0,632,411.0,96,4,-51.240694789081886
234,15.0,634,415.0,96,5,-47.240694789081886
235,23.0,634,415.0,96,5,-47.240694789081886
236,14.0,634,415.0,96,5,-47.240694789081886
237,7.0,635,427.0,96,13,-35.240694789081886
238,24.0,636,424.0,96,11,-38.240694789081886
239,3.0,638,525.0,96,62,62.759305210918114
240,1.0,638,525.0,96,62,62.759305210918114
241,2.0,640,521.0,96,61,58.759305210918114
242,1.0,640,521.0,96,61,58.759305210918114
243,0.0,640,521.0,96,61,58.759305210918114
244,3.0,641,518.0,96,60,55.759305210918114
245,8.0,641,518.0,96,60,55.759305210918114
246,1.0,642,495.0,96,50,32.759305210918114
247,2.0,642,495.0,96,50,32.759305210918114
248,0.0,642,495.0,96,50,32.759305210918114
249,8.0,643,495.0,96,50,32.759305210918114
250,3.0,643,495.0,96,50,32.759305210918114
251,14.0,643,495.0,96,50,32.759305210918114
252,16.0,643,495.0,96,50,32.759305210918114
253,18.0,643,495.0,96,50,32.759305210918114
254,11.0,643,495.0,96,50,32.759305210918114
255,13.0,643,495.0,96,50,32.759305210918114
256,6.0,645,460.0,96,30,-2.2406947890818856
257,7.0,645,460.0,96,30,-2.2406947890818856
258,10.0,645,460.0,96,30,-2.2406947890818856
