G,A,X,Y,U,V,W,Z
A,a,0.62,0.078,0.62,0.0,0.0,0.0
A,b,0.91,0.01,0.0,0.91,0.0,0.0
B,a,0.41,0.032,0.41,0.0,0.0,0.0
B,b,0.48,0.05,0.0,0.48,0.0,0.0
C,a,0.41,0.0,0.41,0.0,0.0,0.0
C,b,0.49,0.015,0.0,0.49,0.0,0.0
D,a,0.26,0.01,0.26,0.0,0.0,0.0
D,b,0.28,0.016,0.0,0.28,0.0,0.0
E,a,0.29,0.053,0.29,0.0,0.0,0.0
E,b,0.37,0.069,0.0,0.37,0.0,0.0
F,a,0.73,0.007,0.73,0.0,0.0,0.0
F,b,0.72,0.062,0.0,0.72,0.0,0.0
G,c,0.33,0.036,0.0,0.0,0.33,0.0
G,d,0.31,0.068,0.0,0.0,0.0,0.31
H,c,0.18,0.068,0.0,0.0,0.18,0.0
H,d,0.18,0.057,0.0,0.0,0.0,0.18
I,c,0.19,0.077,0.0,0.0,0.19,0.0
I,d,0.25,0.09,0.0,0.0,0.0,0.25
J,c,0.28,0.023,0.0,0.0,0.28,0.0
J,d,0.32,0.039,0.0,0.0,0.0,0.32
K,c,0.33,0.017,0.0,0.0,0.33,0.0
K,d,0.27,0.062,0.0,0.0,0.0,0.27
L,c,0.24,0.058,0.0,0.0,0.24,0.0
L,d,0.23,0.082,0.0,0.0,0.0,0.23
