G,H,studage,lectage,A,I,Y
AAA,AA,2,2,N,b,5
AAA,AB,2,1,Y,f,2
AAA,AC,2,2,N,b,5
AAA,AD,2,2,Y,c,3
AAB,AE,2,1,N,e,2
AAB,AF,2,1,N,e,4
AAC,AG,2,1,Y,k,4
AAC,AH,2,1,N,j,5
AAC,AI,2,1,N,j,5
AAC,AJ,2,1,N,j,4
AAC,AK,2,2,N,j,4
AAC,AL,2,2,N,j,4
AAC,AM,2,1,Y,i,4
AAC,AN,2,2,N,j,3
AAC,AO,2,2,Y,i,2
AAC,AP,2,2,Y,h,4
AAC,AQ,2,1,N,j,4
AAC,AR,2,1,N,j,5
AAC,AS,2,1,N,j,2
AAC,AT,2,1,N,j,3
AAD,AU,2,2,N,b,4
AAD,AV,2,1,Y,k,5
AAD,AW,2,1,N,b,5
AAD,AX,2,1,Y,k,3
AAD,AY,2,1,N,b,4
AAD,AZ,2,2,N,b,5
AAD,Aa,2,1,N,b,4
AAD,Ab,2,2,N,b,3
AAE,AE,2,1,N,e,4
AAE,Ac,2,1,N,e,4
AAE,Ad,2,1,N,e,5
AAE,Ae,2,1,N,e,2
AAF,Af,2,1,N,o,3
AAF,Ag,2,1,N,o,5
AAF,Ah,2,1,Y,h,2
AAF,Ai,2,1,N,o,5
AAF,Aj,2,1,N,o,5
AAF,Ak,2,1,N,o,5
AAF,Al,2,1,N,o,5
AAF,Am,2,1,Y,h,2
AAG,An,2,1,Y,d,5
AAG,Ao,2,1,N,b,5
AAG,Ap,2,1,Y,g,4
AAG,Aq,2,1,Y,g,5
AAG,Ar,2,1,Y,g,5
AAG,As,2,1,Y,d,5
AAG,At,2,1,Y,j,4
AAH,Au,2,1,Y,i,4
AAH,Av,2,1,N,k,2
AAH,Aw,2,1,N,k,5
AAH,Ax,2,2,N,k,5
AAH,Ay,2,1,N,k,3
AAI,AU,2,1,N,b,5
AAI,Az,2,2,N,b,5
AAI,BA,2,2,Y,f,5
AAI,AA,2,2,N,b,5
AAI,BB,2,1,N,b,4
AAI,BC,2,1,N,b,5
AAI,BD,2,1,Y,n,5
AAI,BE,2,1,N,b,2
AAI,BF,2,2,Y,f,1
AAJ,BG,2,1,N,j,4
AAJ,BH,2,1,N,j,5
AAJ,BI,2,2,N,j,3
AAJ,BJ,2,1,Y,h,4
AAJ,BK,2,2,N,j,4
AAJ,BL,2,1,N,j,2
AAJ,BM,2,1,N,j,2
AAJ,BN,2,1,N,j,5
AAJ,BO,2,2,N,j,4
AAJ,BP,2,2,N,j,5
AAJ,BQ,2,1,N,j,3
AAJ,BR,2,1,Y,a,3
AAJ,BS,2,1,N,j,5
AAJ,BT,2,1,N,j,3
AAK,AE,2,1,N,e,5
AAK,BU,2,1,N,e,1
AAL,AH,2,1,N,j,3
AAL,AI,2,1,N,j,2
AAL,BV,2,1,N,j,3
AAL,BW,2,1,Y,i,3
AAL,AR,2,1,N,j,2
AAM,BX,2,2,N,k,5
AAM,Av,2,1,N,k,2
AAM,BY,2,1,N,k,3
AAM,BZ,2,1,N,k,4
AAM,Ba,2,2,Y,i,4
AAM,Bb,2,1,N,k,5
AAM,BW,2,1,Y,i,5
AAM,Bc,2,2,Y,i,1
AAM,Bd,2,2,Y,i,5
AAM,Be,2,2,N,k,3
AAM,Bf,2,2,N,k,4
AAM,Aw,2,1,N,k,4
AAM,Bg,2,1,N,k,3
AAM,Bh,2,2,N,k,3
AAM,Ax,2,2,N,k,3
AAM,Bi,2,1,N,k,2
AAN,AU,2,1,N,b,5
AAN,Bj,2,1,N,b,4
AAN,Bk,2,2,Y,k,5
AAN,Az,2,1,N,b,4
AAN,AA,2,2,N,b,3
AAN,BB,2,1,N,b,5
AAN,Bl,2,2,Y,k,3
AAN,AZ,2,1,N,b,5
AAN,Aa,2,1,N,b,3
AAN,Bm,2,1,N,b,1
AAO,Bn,2,1,N,n,3
AAO,Bo,2,2,Y,i,4
AAO,Bp,2,1,Y,f,4
AAO,Bq,2,1,N,n,5
AAO,Br,2,2,N,n,4
AAO,Bs,2,1,N,n,3
AAO,Bt,2,2,N,n,3
AAO,Bu,2,2,N,n,4
AAO,Bv,2,2,N,n,4
AAO,Bw,2,2,N,n,5
AAO,Bx,2,2,N,n,4
AAO,By,2,1,N,n,3
AAO,Bz,2,2,N,n,5
AAO,CA,2,1,N,n,3
AAP,CB,2,1,N,c,5
AAP,CC,2,1,N,c,5
AAP,CD,2,1,N,c,3
AAP,CE,2,1,Y,n,2
AAP,CF,2,1,Y,h,4
AAQ,CG,2,1,Y,o,4
AAQ,BW,2,1,Y,i,5
AAQ,AR,2,1,N,j,2
AAR,Ac,2,1,N,e,4
AAR,CH,2,1,N,e,3
AAS,BR,2,1,Y,a,4
AAS,Bm,2,1,Y,b,4
AAS,CI,2,1,Y,c,3
AAS,CJ,2,2,Y,c,2
AAS,CK,2,1,Y,b,3
AAT,CL,2,2,Y,l,5
AAT,CM,2,2,Y,l,5
AAT,CN,2,2,N,f,5
AAT,CO,2,1,Y,l,3
AAT,CP,2,2,Y,l,5
AAT,CQ,2,1,Y,l,3
AAU,Au,2,2,Y,i,3
AAU,CR,2,1,Y,k,2
AAU,CS,2,1,N,n,2
AAV,CM,2,2,Y,l,4
AAV,CT,2,1,Y,l,4
AAV,CU,2,1,Y,l,5
AAV,CN,2,2,N,f,5
AAV,CV,2,2,N,f,4
AAV,CW,2,2,Y,l,4
AAV,CX,2,2,Y,l,3
AAV,CP,2,2,Y,l,4
AAV,CY,2,2,Y,l,4
AAV,CZ,2,2,Y,l,3
AAV,Ca,2,2,Y,l,5
AAV,Cb,2,2,Y,l,4
AAV,Cc,2,1,N,f,4
AAV,Cd,2,2,Y,l,4
AAV,Ce,2,2,Y,l,5
AAV,Cf,2,1,Y,l,3
AAV,Cg,2,1,N,f,3
AAV,Ch,2,2,Y,l,3
AAV,Ci,2,2,Y,l,4
AAV,Cj,2,1,N,f,5
AAV,Ck,2,2,Y,l,5
AAV,Cl,2,1,N,f,5
AAV,Cm,2,2,Y,l,5
AAV,Cn,2,1,N,f,5
AAV,Co,2,2,Y,l,4
AAV,Cp,2,1,N,f,4
AAV,Cq,2,2,Y,l,5
AAV,Cr,2,2,N,f,4
AAV,Cs,2,1,N,f,2
AAV,Ct,2,2,N,f,5
AAV,Cu,2,2,Y,a,5
AAW,CR,2,2,N,k,5
AAW,BX,2,2,N,k,5
AAW,BZ,2,2,N,k,5
AAW,Bb,2,2,N,k,5
AAW,Aw,2,2,N,k,5
AAX,Au,2,1,Y,i,3
AAX,Cv,2,1,Y,a,2
AAX,Cw,2,1,Y,h,2
AAX,Cx,2,1,N,c,3
AAX,Cy,2,1,Y,h,1
AAX,Cz,2,2,N,c,3
AAX,DA,2,1,N,c,4
AAX,DB,2,1,N,c,5
AAX,DC,2,1,Y,h,2
AAX,DD,2,2,N,c,3
AAY,AU,2,1,N,b,3
AAY,Az,2,1,N,b,2
AAY,Ao,2,1,N,b,1
AAY,AA,2,2,N,b,5
AAY,BC,2,2,N,b,4
AAY,BD,2,2,Y,n,3
AAZ,DE,2,1,Y,n,4
AAZ,DF,2,1,N,i,4
AAZ,DG,2,1,N,i,4
AAZ,DH,2,1,N,i,4
AAZ,DI,2,1,N,i,4
AAZ,DJ,2,1,N,i,3
AAZ,By,2,1,Y,n,4
AAa,AU,2,1,N,b,3
AAa,DK,2,1,Y,k,3
AAa,DL,2,1,N,b,3
AAa,DM,2,2,Y,f,4
AAa,AA,2,2,N,b,4
AAa,BB,2,1,N,b,1
AAb,AU,2,1,N,b,5
AAb,DN,2,1,N,b,5
AAb,Az,2,1,N,b,4
AAb,Ao,2,1,N,b,5
AAb,AA,2,2,N,b,5
AAb,Bm,2,1,N,b,5
AAb,CK,2,2,N,b,3
AAc,AE,2,1,N,e,5
AAc,DO,2,2,N,e,4
AAc,DP,2,1,N,e,4
AAc,Ac,2,1,N,e,3
AAc,DQ,2,2,N,e,4
AAc,AF,2,2,N,e,5
AAc,CH,2,1,N,e,3
AAc,DR,2,1,N,e,5
AAc,DS,2,2,N,e,5
AAc,DT,2,2,N,e,5
AAc,DU,2,2,N,e,5
AAc,Ae,2,1,N,e,5
AAc,DV,2,2,N,e,5
AAd,DW,2,2,N,c,4
AAd,DX,2,1,Y,a,2
AAd,CC,2,2,N,c,5
AAd,DY,2,1,Y,a,1
AAd,DZ,2,2,Y,a,5
AAd,Da,2,1,N,c,5
AAd,Db,2,2,Y,a,3
AAd,Dc,2,2,N,c,3
AAd,Dd,2,1,Y,a,4
AAd,De,2,1,N,c,5
AAd,Bv,2,2,Y,n,3
AAd,Df,2,2,Y,a,5
AAd,Dg,2,1,Y,a,4
AAd,Dh,2,1,N,c,2
AAd,Bw,2,2,Y,n,4
AAd,Bx,2,2,Y,n,3
AAd,Bz,2,2,Y,n,3
AAe,CL,8,4,N,l,3
AAe,CM,8,4,N,l,4
AAe,Di,8,3,N,l,4
AAe,Dj,8,3,N,l,3
AAe,BA,8,6,Y,f,2
AAe,Dk,8,2,Y,h,2
AAe,CN,8,4,Y,f,2
AAe,CO,8,3,N,l,5
AAe,Dl,8,3,N,l,5
AAe,Cb,8,6,N,l,3
AAe,Dm,8,5,N,l,3
AAe,Dn,8,3,Y,h,5
AAe,Do,8,6,Y,f,3
AAe,Dp,8,5,Y,f,3
AAe,Dq,8,5,Y,f,1
AAe,Dr,8,6,Y,f,3
AAe,Ds,8,3,N,l,5
AAe,Dt,8,5,N,l,5
AAe,Du,8,6,Y,k,1
AAe,Dv,8,6,Y,k,3
AAe,Dw,8,5,N,l,5
AAe,Dx,8,6,Y,f,4
AAe,Dy,8,5,Y,b,5
AAe,Dz,8,6,Y,f,2
AAe,EA,8,3,N,l,3
AAe,EB,8,5,N,l,5
AAe,Cn,8,6,Y,f,3
AAe,EC,8,6,Y,f,4
AAe,ED,8,3,N,l,3
AAe,EE,8,6,Y,f,4
AAf,EF,6,6,Y,n,2
AAf,EG,6,6,N,c,4
AAf,EH,6,6,N,c,4
AAf,EI,6,6,N,c,2
AAf,DX,6,6,Y,a,4
AAf,EJ,6,6,Y,k,1
AAf,CC,6,5,N,c,3
AAf,EK,6,6,Y,b,2
AAf,EL,6,6,N,c,3
AAf,EM,6,6,N,c,2
AAf,CD,6,6,N,c,2
AAf,EN,6,6,Y,k,4
AAf,EO,6,6,N,c,3
AAf,EP,6,5,Y,n,4
AAf,EQ,6,2,N,c,3
AAf,ER,6,6,N,c,4
AAf,Cz,6,2,N,c,4
AAf,ES,6,6,N,c,3
AAf,DA,6,3,N,c,5
AAf,AC,6,3,Y,b,4
AAf,ET,6,5,N,c,2
AAf,EU,6,3,Y,h,5
AAf,Aw,6,6,Y,k,3
AAf,DB,6,3,N,c,3
AAf,EV,6,3,Y,h,3
AAf,EW,6,2,N,c,4
AAf,CJ,6,6,N,c,3
AAf,EX,6,3,Y,h,1
AAf,EY,6,6,Y,n,3
AAf,EZ,6,5,N,c,3
AAf,AD,6,3,N,c,3
AAf,CA,6,6,Y,n,2
AAg,CL,8,4,N,l,3
AAg,Ea,8,6,Y,o,1
AAg,Eb,8,3,Y,d,3
AAg,CT,8,3,N,l,2
AAg,Ec,8,4,N,l,2
AAg,Di,8,5,N,l,1
