item,tar,dir,rt,subj,c1,c2,c3,srt,lrt,qrt,prt
39,dod,hor,506.1,1,0.25,0.5,-0.75,0.5061,6.226734278220032,22.4966664197165,14.036235047977032
52,dod,hor,489.6,1,0.25,0.5,-0.75,0.48960000000000004,6.193588731198116,22.126906697502932,13.840242483234347
89,dod,hor,518.7,1,0.25,0.5,-0.75,0.5187,6.251325681357355,22.774986278810356,14.183437487026127
104,dod,hor,459.6,1,0.25,0.5,-0.75,0.4596,6.130356545974601,21.438283513378586,13.473903246772165
120,dod,hor,384.2,1,0.25,0.5,-0.75,0.3842,5.9511632503344565,19.601020381602584,12.487565630398025
161,dod,hor,470.0,1,0.25,0.5,-0.75,0.47,6.152732694704104,21.6794833886788,13.6024187183506
194,dod,hor,422.0,1,0.25,0.5,-0.75,0.422,6.045005314036012,20.54263858417414,12.994746292564496
248,dod,hor,462.8,1,0.25,0.5,-0.75,0.4628,6.137294995319522,21.51278689523977,13.513623211612503
270,dod,hor,471.9,1,0.25,0.5,-0.75,0.4719,6.156767098732342,21.723259423944647,13.625720058735002
277,dod,hor,445.5,1,0.25,0.5,-0.75,0.4455,6.099197246910864,21.106870919205434,13.29696266938164
289,dod,hor,399.1,1,0.25,0.5,-0.75,0.3991,5.989212012054688,19.977487329491666,12.690774122389815
299,dod,hor,389.7,1,0.25,0.5,-0.75,0.3897,5.965377212344664,19.74082065163452,12.563095143693552
304,dod,hor,409.8,1,0.25,0.5,-0.75,0.4098,6.0156692358048,20.243517480912253,12.834021158252208
320,dod,hor,370.1,1,0.25,0.5,-0.75,0.37010000000000004,5.9137732393921105,19.237983262286097,12.291045469327695
378,dod,hor,408.2,1,0.25,0.5,-0.75,0.4082,6.011757250375744,20.203960007879644,12.812739115708265
479,dod,hor,417.5,1,0.25,0.5,-0.75,0.4175,6.0342845442909105,20.43281674170255,12.935777779076782
494,dod,hor,316.7,1,0.25,0.5,-0.75,0.3167,5.757954953544594,17.79606698121807,11.50482284638836
503,dod,hor,440.7,1,0.25,0.5,-0.75,0.4407,6.088364371847941,20.992855927672156,13.235993220286256
508,dod,hor,398.7,1,0.25,0.5,-0.75,0.3987,5.988209254387309,19.967473550752484,12.685376464020894
554,dod,hor,348.7,1,0.25,0.5,-0.75,0.3487,5.854211953681605,18.673510650116114,11.984361453423922
587,dod,hor,275.0,1,0.25,0.5,-0.75,0.275,5.616771097666572,16.583123951777,10.835959687916407
590,dod,hor,411.2,1,0.25,0.5,-0.75,0.4112,6.019079714140955,20.27806696901852,12.852603734733455
4,dod,ver,525.7,1,0.25,0.5,-0.75,0.5257000000000001,6.264730707825403,22.928148638736623,14.264328138370793
40,dod,ver,466.7,1,0.25,0.5,-0.75,0.4667,6.14568665295577,21.603240497666086,13.561818714724618
79,dod,ver,469.4,1,0.25,0.5,-0.75,0.4694,6.151455283416923,21.66564100136435,13.595049135993305
116,dod,ver,484.2,1,0.25,0.5,-0.75,0.48419999999999996,6.182498044503958,22.004544985070698,13.77527523217376
164,dod,ver,518.2,1,0.25,0.5,-0.75,0.5182,6.250361268128009,22.764006677208652,14.177635597194842
167,dod,ver,519.8,1,0.25,0.5,-0.75,0.5197999999999999,6.25344412220739,22.799122790142604,14.19619032008118
169,dod,ver,505.8,1,0.25,0.5,-0.75,0.5058,6.226141334235865,22.489997776789576,14.032704652660527
177,dod,ver,465.0,1,0.25,0.5,-0.75,0.465,6.142037405587356,21.563858652847824,13.540839039367318
209,dod,ver,526.6,1,0.25,0.5,-0.75,0.5266000000000001,6.266441247062209,22.947766775876037,14.274683269729481
247,dod,ver,456.1,1,0.25,0.5,-0.75,0.4561,6.122712083717655,21.356497840235885,13.430276785555076
264,dod,ver,671.6,1,0.25,0.5,-0.75,0.6716,6.5096629252033855,25.915246477701114,15.826289009567281
273,dod,ver,430.8,1,0.25,0.5,-0.75,0.4308,6.0656439452822335,20.75572210259137,13.109024925722133
298,dod,ver,363.2,1,0.25,0.5,-0.75,0.36319999999999997,5.894953646727139,19.05780679931455,12.193303712107141
300,dod,ver,377.8,1,0.25,0.5,-0.75,0.3778,5.93436495506741,19.43707796969493,12.39888881953344
360,dod,ver,358.1,1,0.25,0.5,-0.75,0.35810000000000003,5.880812277004387,18.923530326025322,12.120370651989784
392,dod,ver,499.7,1,0.25,0.5,-0.75,0.4997,6.214007918350159,22.353970564532826,13.960656832928109
454,dod,ver,457.1,1,0.25,0.5,-0.75,0.4571,6.124902185337699,21.37989709984592,13.442761099040677
465,dod,ver,356.5,1,0.25,0.5,-0.75,0.3565,5.8763342398543505,18.881207588499205,12.097366576185856
486,dod,ver,368.8,1,0.25,0.5,-0.75,0.3688,5.910254491682439,19.204166214652485,12.272711077895968
500,dod,ver,377.7,1,0.25,0.5,-0.75,0.3777,5.934100229718411,19.43450539633052,12.397496408135407
514,dod,ver,341.5,1,0.25,0.5,-0.75,0.3415,5.833347679010845,18.479718612576328,11.878749958371287
537,dod,ver,395.9,1,0.25,0.5,-0.75,0.3959,5.981161654112085,19.897235988950825,12.647505252253184
583,dod,ver,392.2,1,0.25,0.5,-0.75,0.3922,5.971771913762246,19.804039991880444,12.59722384901805
23,dos,hor,538.1,1,0.25,0.5,0.25,0.5381,6.288044416495374,23.196982562393757,14.406111688359701
28,dos,hor,476.6,1,0.25,0.5,0.25,0.4766,6.166677564664642,21.831170376322017,13.683129126954181
43,dos,hor,515.3,1,0.25,0.5,0.25,0.5153,6.244749255334178,22.700220263248546,14.143920902534711
50,dos,hor,506.8,1,0.25,0.5,0.25,0.5068,6.228116448446984,22.512218904408336,14.044467954098808
69,dos,hor,502.3,1,0.25,0.5,0.25,0.5023,6.219197550755999,22.412050330123748,13.991427313724683
82,dos,hor,482.6,1,0.25,0.5,0.25,0.48260000000000003,6.179188153190932,21.968158775828257,13.755945635240025
149,dos,hor,495.6,1,0.25,0.5,0.25,0.49560000000000004,6.205769149754987,22.262075374951007,13.91194628000605
170,dos,hor,468.7,1,0.25,0.5,0.25,0.4687,6.14996290492866,21.64948036327893,13.586444431735293
215,dos,hor,373.4,1,0.25,0.5,0.25,0.37339999999999995,5.922650231107622,19.323560748474904,12.337420726708963
225,dos,hor,494.8,1,0.25,0.5,0.25,0.4948,6.204153640518333,22.244100341438852,13.902414759601655
234,dos,hor,434.1,1,0.25,0.5,0.25,0.43410000000000004,6.073274922305548,20.835066594565998,13.151532602993225
260,dos,hor,388.7,1,0.25,0.5,0.25,0.3887,5.962807837858177,19.71547615453403,12.549408371439624
283,dos,hor,399.0,1,0.25,0.5,0.25,0.399,5.988961416889864,19.974984355438178,12.689424999913651
295,dos,hor,550.0,1,0.25,0.5,0.25,0.55,6.309918278226516,23.45207879911715,14.54041989343328
311,dos,hor,398.7,1,0.25,0.5,0.25,0.3987,5.988209254387309,19.967473550752484,12.685376464020894
394,dos,hor,403.7,1,0.25,0.5,0.25,0.4037,6.000672027858895,20.0922870773837,12.75262461329451
418,dos,hor,418.6,1,0.25,0.5,0.25,0.4186,6.0369158100119,20.459716518075222,12.950225965556927
458,dos,hor,529.2,1,0.25,0.5,0.25,0.5292,6.271366432240801,23.004347415216976,14.304540980580082
468,dos,hor,414.8,1,0.25,0.5,0.25,0.4148,6.027796476355372,20.36663938896155,12.900220867361618
509,dos,hor,411.7,1,0.25,0.5,0.25,0.4117,6.020294928775859,20.29039181484675,12.859231539765227
513,dos,hor,373.1,1,0.25,0.5,0.25,0.37310000000000004,5.921846480227112,19.31579664419772,12.3332145699287
571,dos,hor,378.8,1,0.25,0.5,0.25,0.3788,5.937008361311923,19.462785001124583,12.412801277974562
576,dos,hor,340.5,1,0.25,0.5,0.25,0.3405,5.830415125589567,18.452642087245934,11.863980648345676
584,dos,hor,294.9,1,0.25,0.5,0.25,0.2949,5.6866363158212305,17.172652678022693,11.16194208645244
17,dos,ver,548.4,1,0.25,0.5,0.25,0.5484,6.307004947688159,23.417941839538333,14.522459658476274
71,dos,ver,472.0,1,0.25,0.5,0.25,0.472,6.156978985585555,21.72556098240043,13.62694494750956
77,dos,ver,473.6,1,0.25,0.5,0.25,0.4736,6.160363083569796,21.762352813976708,13.646522882524822
92,dos,ver,514.0,1,0.25,0.5,0.25,0.514,6.2422232654551655,22.67156809750927,14.128771956948311
117,dos,ver,441.6,1,0.25,0.5,0.25,0.44160000000000005,6.090404494962885,21.014280858501916,13.247454009625168
191,dos,ver,481.3,1,0.25,0.5,0.25,0.4813,6.1764907763090635,21.93855054464629,13.740213152041752
201,dos,ver,355.2,1,0.25,0.5,0.25,0.3552,5.872681011118015,18.846750383023593,12.078631957215983
246,dos,ver,469.1,1,0.25,0.5,0.25,0.4691,6.150815965334412,21.658716490133944,13.59136231088286
286,dos,ver,390.9,1,0.25,0.5,0.25,0.39089999999999997,5.968451772798909,19.77119116290164,12.579492605033904
296,dos,ver,426.7,1,0.25,0.5,0.25,0.42669999999999997,6.056081190193955,20.656718035544756,13.055950362076858
317,dos,ver,391.7,1,0.25,0.5,0.25,0.3917,5.970496240671785,19.791412279066897,12.59040815022808
330,dos,ver,427.0,1,0.25,0.5,0.25,0.427,6.056784013228625,20.663978319771825,13.05984379669774
351,dos,ver,368.9,1,0.25,0.5,0.25,0.36889999999999995,5.91052560460263,19.2067696398952,12.274122735469907
364,dos,ver,359.3,1,0.25,0.5,0.25,0.3593,5.884157694119473,18.95521036549054,12.137584900303255
393,dos,ver,503.7,1,0.25,0.5,0.25,0.5037,6.221980852751605,22.44326179502436,14.007958059403322
421,dos,ver,475.9,1,0.25,0.5,0.25,0.4759,6.165207748127065,21.81513236265139,13.674599563202086
434,dos,ver,568.7,1,0.25,0.5,0.25,0.5687000000000001,6.343353054312754,23.84743172754668,14.748137246940262
435,dos,ver,403.6,1,0.25,0.5,0.25,0.4036,6.000424288479454,20.089798406156294,12.751284364391017
488,dos,ver,412.5,1,0.25,0.5,0.25,0.4125,6.022236205774735,20.310096011589902,12.869826395195856
502,dos,ver,442.2,1,0.25,0.5,0.25,0.4422,6.091762268423346,21.02855201862458,13.255087066276602
520,dos,ver,597.3,1,0.25,0.5,0.25,0.5972999999999999,6.39241949973826,24.439721766010347,15.058352692305629
552,dos,ver,384.9,1,0.25,0.5,0.25,0.38489999999999996,5.9529835602897005,19.618868468900033,12.497212901714963
603,dos,ver,339.7,1,0.25,0.5,0.25,0.3397,5.828062875166538,18.430952227163957,11.852147209570104
56,sod,hor,543.8,1,0.25,-0.5,0.25,0.5438,6.29858153219837,23.31951972061174,14.470655299488438
105,sod,hor,477.0,1,0.25,-0.5,0.25,0.477,6.1675164908883415,21.840329667841555,13.687999925230113
115,sod,hor,466.4,1,0.25,-0.5,0.25,0.4664,6.1450436350362825,21.59629597870894,13.558119620135354
125,sod,hor,490.0,1,0.25,-0.5,0.25,0.49,6.194405391104672,22.135943621178654,13.845038424221698
127,sod,hor,507.1,1,0.25,-0.5,0.25,0.5071,6.228708222800973,22.518880966868668,14.047994338162226
139,sod,hor,487.6,1,0.25,-0.5,0.25,0.48760000000000003,6.189495397607116,22.081666603768838,13.81622887260194
168,sod,hor,500.0,1,0.25,-0.5,0.25,0.5,6.214608098422191,22.360679774997898,13.964211970214015
185,sod,hor,460.0,1,0.25,-0.5,0.25,0.46,6.131226489483141,21.447610589527216,13.478876931835183
203,sod,hor,430.4,1,0.25,-0.5,0.25,0.4304,6.064715008847575,20.746083967823903,13.103859757454822
227,sod,hor,467.9,1,0.25,-0.5,0.25,0.4679,6.148254597872171,21.630996278488883,13.576601418969219
285,sod,hor,368.4,1,0.25,-0.5,0.25,0.36839999999999995,5.909169304381152,19.193748982416125,12.267062242654053
315,sod,hor,390.1,1,0.25,-0.5,0.25,0.3901,5.966403116512611,19.750949344272037,12.568564190211095
326,sod,hor,428.2,1,0.25,-0.5,0.25,0.42819999999999997,6.059590376155582,20.692993983471798,13.075401806284686
332,sod,hor,423.3,1,0.25,-0.5,0.25,0.4233,6.048081147526878,20.574255758107025,13.011714176056119
352,sod,hor,374.9,1,0.25,-0.5,0.25,0.37489999999999996,5.926659323741866,19.362334569984064,12.35842238121729
359,sod,hor,366.7,1,0.25,-0.5,0.25,0.36669999999999997,5.90454407507728,19.149412523625887,12.243015210800275
422,sod,hor,397.2,1,0.25,-0.5,0.25,0.3972,5.984439932171018,19.929877069364977,12.66510742815767
424,sod,hor,393.1,1,0.25,-0.5,0.25,0.3931,5.9740640324278145,19.826749607537792,12.609479511156799
437,sod,hor,550.2,1,0.25,-0.5,0.25,0.5502,6.310281848490474,23.456342425877057,14.5426628065913
510,sod,hor,551.7,1,0.25,-0.5,0.25,0.5517000000000001,6.313004420278385,23.48829495727606,14.559469712605383
522,sod,hor,366.1,1,0.25,-0.5,0.25,0.36610000000000004,5.902906520126191,19.133739833080202,12.234512702094174
544,sod,hor,360.1,1,0.25,-0.5,0.25,0.36010000000000003,5.88638177065483,18.976301009416982,12.14904268283523
555,sod,hor,366.3,1,0.25,-0.5,0.25,0.3663,5.903452669784769,19.138965489283898,12.23734776250893
579,sod,hor,400.0,1,0.25,-0.5,0.25,0.4,5.991464547107982,20.0,12.702907476167347
5,sod,ver,575.3,1,0.25,-0.5,0.25,0.5752999999999999,6.354891643869248,23.985412233272122,14.820508644621194
65,sod,ver,520.2,1,0.25,-0.5,0.25,0.5202,6.254213353014551,22.807893370497855,14.200823861072477
75,sod,ver,416.7,1,0.25,-0.5,0.25,0.4167,6.032366538428407,20.4132310034448,12.92525623551364
111,sod,ver,518.1,1,0.25,-0.5,0.25,0.5181,6.2501682738207425,22.761810121341405,14.176474832498563
112,sod,ver,492.7,1,0.25,-0.5,0.25,0.49269999999999997,6.199900469549918,22.196846622887676,13.877352225126407
113,sod,ver,611.1,1,0.25,-0.5,0.25,0.6111,6.4152606119008695,24.720436889343198,15.204979798418101
128,sod,ver,481.0,1,0.25,-0.5,0.25,0.481,6.175867270105761,21.93171219946131,13.736579105608007
160,sod,ver,577.0,1,0.25,-0.5,0.25,0.577,6.3578422665081,24.020824298928627,14.839072248357544
278,sod,ver,415.2,1,0.25,-0.5,0.25,0.4152,6.028760331851679,20.376457003120045,12.905496949305231
312,sod,ver,360.2,1,0.25,-0.5,0.25,0.36019999999999996,5.8866594327418555,18.97893569197177,12.150473874777163
318,sod,ver,361.8,1,0.25,-0.5,0.25,0.3618,5.891091572961195,19.02104098097683,12.173341903820068
337,sod,ver,384.0,1,0.25,-0.5,0.25,0.384,5.950642552587727,19.595917942265423,12.48480740866433
338,sod,ver,433.3,1,0.25,-0.5,0.25,0.4333,6.071430328745864,20.81585933849477,13.141244843636011
372,sod,ver,366.4,1,0.25,-0.5,0.25,0.3664,5.903725632799975,19.14157778240864,12.238764958505362
376,sod,ver,366.0,1,0.25,-0.5,0.25,0.366,5.902633333401366,19.131126469708992,12.233094837484046
399,sod,ver,376.5,1,0.25,-0.5,0.25,0.3765,5.930918047239948,19.403607911932255,12.380770888726307
405,sod,ver,416.1,1,0.25,-0.5,0.25,0.4161,6.030925615988895,20.398529358755255,12.91735744324576
414,sod,ver,383.0,1,0.25,-0.5,0.25,0.383,5.948034989180646,19.570385790780925,12.471003877750373
436,sod,ver,566.3,1,0.25,-0.5,0.25,0.5662999999999999,6.339123973119759,23.797058641773354,14.721700542368993
449,sod,ver,364.9,1,0.25,-0.5,0.25,0.3649,5.899623343442402,19.10235587565052,12.217483583435921
457,sod,ver,381.8,1,0.25,-0.5,0.25,0.38180000000000003,5.944896911291647,19.53970317072396,12.45441222164262
493,sod,ver,370.2,1,0.25,-0.5,0.25,0.3702,5.914043400139397,19.24058211177614,12.29245427023929
495,sod,ver,325.2,1,0.25,-0.5,0.25,0.3252,5.784440377673656,18.033302526159762,11.634822660108746
539,sod,ver,381.1,1,0.25,-0.5,0.25,0.38110000000000005,5.943061807879815,19.521782705480565,12.444719887097516
6,val,hor,494.8,1,-0.75,-0.5,0.25,0.4948,6.204153640518333,22.244100341438852,13.902414759601655
13,val,hor,458.6,1,-0.75,-0.5,0.25,0.4586,6.128178370423804,21.41494805036893,13.461458120131109
16,val,hor,445.2,1,-0.75,-0.5,0.25,0.4452,6.09852361940139,21.099763031844695,13.293163191939588
20,val,hor,638.5,1,-0.75,-0.5,0.25,0.6385,6.459121675472594,25.268557536986556,15.490558322592234
22,val,hor,387.0,1,-0.75,-0.5,0.25,0.387,5.958424693029782,19.672315572906,12.526094252456042
29,val,hor,451.5,1,-0.75,-0.5,0.25,0.4515,6.11257537285704,21.24852936087578,13.372644984205339
30,val,hor,431.0,1,-0.75,-0.5,0.25,0.431,6.066108090103747,20.760539492026695,13.11160647440401
34,val,hor,454.7,1,-0.75,-0.5,0.25,0.4547,6.119637860830965,21.323695739716413,13.412772241611329
38,val,hor,349.7,1,-0.75,-0.5,0.25,0.3497,5.85707564406933,18.700267377767624,11.998930074939446
45,val,hor,393.8,1,-0.75,-0.5,0.25,0.39380000000000004,5.975843166205025,19.844394674567425,12.619000528059464
46,val,hor,445.5,1,-0.75,-0.5,0.25,0.4455,6.099197246910864,21.106870919205434,13.29696266938164
47,val,hor,520.1,1,-0.75,-0.5,0.25,0.5201,6.254021100779027,22.805701041625536,14.199665668194527
53,val,hor,437.3,1,-0.75,-0.5,0.25,0.4373,6.080619458418875,20.911719202399404,13.192574854204784
54,val,hor,470.8,1,-0.75,-0.5,0.25,0.4708,6.154433375386121,21.69792616818483,13.612236407127543
55,val,hor,417.0,1,-0.75,-0.5,0.25,0.417,6.0330862217988015,20.42057785666214,12.929203176124625
59,val,hor,520.7,1,-0.75,-0.5,0.25,0.5207,6.255174060168853,22.81885185542866,14.206612903510742
60,val,hor,489.6,1,-0.75,-0.5,0.25,0.48960000000000004,6.193588731198116,22.126906697502932,13.840242483234347
62,val,hor,376.9,1,-0.75,-0.5,0.25,0.37689999999999996,5.93197990027309,19.41391253714717,12.386349467693034
63,val,hor,441.4,1,-0.75,-0.5,0.25,0.44139999999999996,6.089951493822636,21.009521650908667,13.244908330589709
64,val,hor,467.2,1,-0.75,-0.5,0.25,0.4672,6.146757431514017,21.614809737770074,13.567980831289981
66,val,hor,459.6,1,-0.75,-0.5,0.25,0.4596,6.130356545974601,21.438283513378586,13.473903246772165
67,val,hor,419.6,1,-0.75,-0.5,0.25,0.41960000000000003,6.039301876522142,20.48414020651099,12.963341723204868
68,val,hor,553.2,1,-0.75,-0.5,0.25,0.5532,6.3157195997906035,23.52020408074726,14.576250329451817
81,val,hor,450.0,1,-0.75,-0.5,0.25,0.45,6.1092475827643655,21.213203435596427,13.353778960698422
90,val,hor,431.8,1,-0.75,-0.5,0.25,0.4318,6.067962518080707,20.779797881596444,13.121925777885831
91,val,hor,500.5,1,-0.75,-0.5,0.25,0.5005,6.215607598755275,22.371857321197094,13.970134470869626
93,val,hor,438.2,1,-0.75,-0.5,0.25,0.4382,6.082675427161366,20.933227175951632,13.204086811024451
97,val,hor,441.5,1,-0.75,-0.5,0.25,0.4415,6.090178020044014,21.011901389450696,13.24618125310263
98,val,hor,467.2,1,-0.75,-0.5,0.25,0.4672,6.146757431514017,21.614809737770074,13.567980831289981
99,val,hor,423.1,1,-0.75,-0.5,0.25,0.42310000000000003,6.047608557726022,20.569394740730704,13.009105687202407
101,val,hor,463.6,1,-0.75,-0.5,0.25,0.4636,6.1390221114655965,21.531372459738837,13.52352847728166
108,val,hor,435.6,1,-0.75,-0.5,0.25,0.43560000000000004,6.076724391058805,20.871032557111302,13.170792770363041
114,val,hor,417.0,1,-0.75,-0.5,0.25,0.417,6.0330862217988015,20.42057785666214,12.929203176124625
118,val,hor,473.1,1,-0.75,-0.5,0.25,0.4731,6.159306782637103,21.75086205188199,13.640408874187981
122,val,hor,465.5,1,-0.75,-0.5,0.25,0.4655,6.143112096717122,21.575449010391416,13.54701410970727
124,val,hor,390.6,1,-0.75,-0.5,0.25,0.3906,5.967684018442578,19.763602910400724,12.575395959865228
126,val,hor,456.4,1,-0.75,-0.5,0.25,0.4564,6.123369617987921,21.36352030916253,13.43402373292514
129,val,hor,479.3,1,-0.75,-0.5,0.25,0.4793,6.1723267061655855,21.892921230388602,13.715961483831146
132,val,hor,496.1,1,-0.75,-0.5,0.25,0.49610000000000004,6.206777519307003,22.273302404448245,13.917898982453464
133,val,hor,435.4,1,-0.75,-0.5,0.25,0.43539999999999995,6.076265148800447,20.866240677227893,13.16822695668495
135,val,hor,438.5,1,-0.75,-0.5,0.25,0.4385,6.083359811812238,20.940391591371924,13.207921104427227
137,val,hor,459.7,1,-0.75,-0.5,0.25,0.4597,6.130574102812182,21.440615662802223,13.475146901614982
141,val,hor,480.9,1,-0.75,-0.5,0.25,0.4809,6.175659348283617,21.929432277193133,13.735367466810604
142,val,hor,448.3,1,-0.75,-0.5,0.25,0.44830000000000003,6.105462651161393,21.1730961363708,13.332353644103065
143,val,hor,463.4,1,-0.75,-0.5,0.25,0.4634,6.138590611998276,21.526727572949866,13.521053084074167
145,val,hor,424.3,1,-0.75,-0.5,0.25,0.4243,6.050440752208279,20.59854363784003,13.024745988391738
152,val,hor,402.6,1,-0.75,-0.5,0.25,0.4026,5.9979435132056915,20.064894716892987,12.737871346597933
166,val,hor,474.8,1,-0.75,-0.5,0.25,0.4748,6.162893662735513,21.789905919943756,13.66118135590889
178,val,hor,487.6,1,-0.75,-0.5,0.25,0.48760000000000003,6.189495397607116,22.081666603768838,13.81622887260194
183,val,hor,510.4,1,-0.75,-0.5,0.25,0.5104,6.23519473203058,22.5920339943087,14.086705545727565
189,val,hor,436.4,1,-0.75,-0.5,0.25,0.43639999999999995,6.0785592539589155,20.890189084831185,13.181049248100305
192,val,hor,451.1,1,-0.75,-0.5,0.25,0.4511,6.111689044414351,21.239114859146085,13.367617577567307
196,val,hor,453.8,1,-0.75,-0.5,0.25,0.45380000000000004,6.117656572345742,21.302582003128165,13.401502929227508
197,val,hor,421.6,1,-0.75,-0.5,0.25,0.42160000000000003,6.044056997227153,20.53290042833696,12.989519352069923
198,val,hor,445.7,1,-0.75,-0.5,0.25,0.4457,6.09964607995251,21.111608181282637,13.29949483600649
