o,G,H,A,Y,f,g
3.0,A,1,3,3.1645,7.1041,A/1
4.0,A,1,4,3.125,6.6847,A/1
6.0,A,1,2,3.1594,6.8338,A/1
7.0,A,1,1,3.25,6.5254,A/1
9.0,A,2,2,2.713,8.2505,A/2
10.0,A,2,1,3.2028,7.5922,A/2
12.0,A,2,3,3.0242,7.3894,A/2
16.0,A,2,4,2.8725,7.4604,A/2
19.0,A,3,1,2.6888,8.2785,A/3
20.0,A,3,2,2.8686,7.947,A/3
21.0,A,3,3,2.8992,7.9739,A/3
22.0,A,3,4,3.0281,8.4331,A/3
25.0,B,1,3,2.1813,6.6691,B/1
27.0,B,1,4,2.5191,5.6281,B/1
28.0,B,1,2,1.8874,7.0723,B/1
31.0,B,1,1,2.3468,6.0295,B/1
33.0,B,2,4,2.4561,5.6195,B/2
35.0,B,2,1,2.2523,6.3978,B/2
36.0,B,2,3,2.2365,6.1799,B/2
40.0,B,2,2,2.4752,5.9985,B/2
41.0,B,3,2,1.942,7.2975,B/3
44.0,B,3,3,2.4324,6.435,B/3
47.0,B,3,4,2.3018,6.3339,B/3
48.0,B,3,1,2.5338,6.1564,B/3
50.0,C,1,4,2.9601,7.511,C/1
51.0,C,1,2,3.2355,7.4762,C/1
54.0,C,1,3,3.2464,7.2063,C/1
56.0,C,1,1,3.0471,7.6389,C/1
58.0,C,2,3,3.2645,7.5466,C/2
59.0,C,2,2,2.7138,9.0895,C/2
61.0,C,2,1,3.0652,7.8723,C/2
62.0,C,2,4,2.7174,8.2318,C/2
66.0,C,3,4,3.0362,7.9426,C/3
67.0,C,3,3,3.1051,8.4608,C/3
69.0,C,3,1,3.163,8.5549,C/3
70.0,C,3,2,3.029,8.5038,C/3
74.0,D,1,1,2.4916,9.5758,D/1
77.0,D,1,3,2.5183,9.5121,D/1
79.0,D,1,2,2.3563,10.326,D/1
80.0,D,1,4,2.3033,9.7715,D/1
81.0,D,2,3,2.7269,9.5628,D/2
83.0,D,2,2,2.5951,9.9414,D/2
85.0,D,2,1,2.5652,9.3887,D/2
88.0,D,2,4,2.9152,8.3158,D/2
89.0,D,3,3,2.5794,10.442,D/3
90.0,D,3,4,2.9816,8.771,D/3
93.0,D,3,2,2.3537,11.015,D/3
94.0,D,3,1,2.2195,11.242,D/3
99.0,E,1,3,2.8416,8.7886,E/1
100.0,E,1,4,2.6526,8.6946,E/1
102.0,E,1,2,2.4711,9.7143,E/1
103.0,E,1,1,2.8977,9.2401,E/1
105.0,E,2,2,2.5734,9.5353,E/2
106.0,E,2,1,2.9975,8.7538,E/2
110.0,E,2,4,2.9538,8.821,E/2
112.0,E,2,3,3.0866,8.9427,E/2
114.0,E,3,1,2.7252,9.4308,E/3
115.0,E,3,2,2.7582,9.7721,E/3
116.0,E,3,3,3.0833,8.901,E/3
117.0,E,3,4,3.1213,8.4852,E/3
122.0,F,1,1,3.206,6.3983,F/1
123.0,F,1,2,2.895,6.6569,F/1
125.0,F,1,4,3.369,6.0821,F/1
126.0,F,1,3,3.12,6.5349,F/1
130.0,F,2,2,3.193,6.6729,F/2
131.0,F,2,1,3.298,6.5488,F/2
133.0,F,2,4,3.097,6.6598,F/2
135.0,F,2,3,3.385,6.2998,F/2
139.0,F,3,3,3.449,6.2849,F/3
140.0,F,3,2,3.05,6.9957,F/3
141.0,F,3,1,3.435,6.7302,F/3
143.0,F,3,4,3.606,6.3827,F/3
145.0,G,1,2,2.5867,8.1394,G/1
147.0,G,1,1,3.1789,7.0972,G/1
148.0,G,1,4,2.9528,7.314,G/1
151.0,G,1,3,3.1792,6.943,G/1
154.0,G,2,4,2.6234,7.515,G/2
155.0,G,2,3,2.6429,8.0237,G/2
157.0,G,2,1,3.1276,7.3169,G/2
160.0,G,2,2,2.5499,8.1957,G/2
163.0,G,3,4,2.5832,7.9687,G/3
164.0,G,3,3,2.8481,7.9284,G/3
166.0,G,3,2,2.6928,8.5303,G/3
167.0,G,3,1,3.1442,7.3564,G/3
169.0,H,1,3,3.3997,6.5945,H/1
173.0,H,1,2,3.1237,6.753,H/1
175.0,H,1,4,3.1797,6.4279,H/1
176.0,H,1,1,3.7005,6.483,H/1
177.0,H,2,2,2.9519,7.3809,H/2
179.0,H,2,3,3.4466,6.7929,H/2
182.0,H,2,4,3.2891,6.4807,H/2
184.0,H,2,1,3.375,6.8139,H/2
188.0,H,3,4,3.651,6.3068,H/3
190.0,H,3,1,3.2773,7.4789,H/3
191.0,H,3,3,3.4271,6.9327,H/3
192.0,H,3,2,3.0482,7.7264,H/3
193.0,I,1,2,2.221,8.4243,I/1
196.0,I,1,1,3.1553,6.7119,I/1
197.0,I,1,4,2.4026,7.7486,I/1
198.0,I,1,3,3.0,6.9215,I/1
203.0,I,2,1,2.2908,8.8861,I/2
204.0,I,2,4,2.254,8.685,I/2
205.0,I,2,3,2.6053,8.415,I/2
208.0,I,2,2,2.3474,8.7866,I/2
209.0,I,3,2,2.5051,8.5975,I/3
212.0,I,3,1,2.3132,8.9267,I/3
213.0,I,3,4,2.4211,8.775,I/3
214.0,I,3,3,2.7421,8.1599,I/3
