G,U,Y
A,-1.0,140.5
A,-0.7479,143.4
A,-0.463,144.8
A,-0.1643,147.1
A,-0.0027,147.7
A,0.2466,150.2
A,0.5562,151.7
A,0.7781,153.3
A,0.9945,155.8
B,-1.0,136.9
B,-0.7479,139.1
B,-0.463,140.1
B,-0.1643,142.6
B,-0.0027,143.2
B,0.2466,144.0
B,0.5562,145.8
B,0.7781,146.8
B,0.9945,148.3
C,-1.0,150.0
C,-0.7479,152.1
C,-0.463,153.9
C,-0.1643,155.8
C,-0.0027,156.0
C,0.2466,156.9
C,0.5562,157.4
C,0.7781,159.1
C,0.9945,160.6
D,-1.0,155.7
D,-0.7479,158.7
D,-0.463,160.6
D,-0.1643,163.3
D,-0.0027,164.4
D,0.2466,167.3
D,0.5562,170.7
D,0.7781,172.0
D,0.9945,174.8
E,-1.0,145.8
E,-0.7479,147.3
E,-0.4493,148.7
E,-0.1643,149.78
E,-0.0027,150.22
E,0.2466,152.5
E,0.5562,154.8
E,0.7781,156.4
E,0.9973,158.7
F,-1.0,142.4
F,-0.7479,143.8
F,-0.463,145.2
F,-0.1643,146.3
F,-0.0027,147.1
F,0.2466,148.1
F,0.5562,148.9
F,0.7781,149.1
F,0.9945,151.0
G,-1.0,141.3
G,-0.7479,142.4
G,-0.4493,144.3
G,-0.1643,145.2
G,0.0,146.1
G,0.2466,146.8
G,0.5562,147.9
G,0.7945,150.5
G,0.9945,151.8
H,-1.0,141.7
H,-0.7479,143.7
H,-0.463,145.1
H,-0.1643,147.9
H,-0.0027,148.1
H,0.2466,149.6
H,0.5562,150.99
H,0.7945,154.1
H,1.0055,154.9
I,-1.0,132.7
I,-0.7479,134.1
I,-0.4493,135.3
I,-0.1643,136.6
I,-0.0027,137.5
I,0.2466,139.1
I,0.5562,140.9
I,0.7945,143.7
I,0.9945,144.7
J,-1.0,126.2
J,-0.7479,128.2
J,-0.463,129.0
J,-0.1643,129.4
J,-0.0027,129.59
J,0.2466,130.6
J,0.5562,132.5
J,0.7781,133.4
J,0.9945,134.2
K,-1.0,142.5
K,-0.7479,143.8
K,-0.463,145.6
K,-0.1643,148.3
K,-0.0027,149.4
K,0.2466,151.6
K,0.5562,154.8
K,0.7781,156.9
K,0.9945,159.2
L,-1.0,149.9
L,-0.7479,151.7
L,-0.463,153.3
L,-0.1643,156.1
L,0.0,156.7
L,0.2466,157.8
L,0.5562,160.7
L,0.7781,162.7
L,0.9945,163.8
M,-1.0,148.9
M,-0.715,149.8
M,-0.463,151.7
M,-0.1643,154.4
M,-0.0027,155.5
M,0.2466,156.4
M,0.5562,161.4
M,0.7781,163.9
M,0.9945,164.6
N,-1.0,151.6
N,-0.7479,153.2
N,-0.463,155.2
N,-0.1643,157.3
N,0.0,159.1
N,0.2466,160.9
N,0.5562,164.4
N,0.7781,166.9
N,0.9945,168.4
O,-1.0,137.5
O,-0.7479,139.3
O,-0.463,140.9
O,-0.1643,142.7
O,-0.0027,144.2
O,0.2466,145.7
O,0.5562,147.09
O,0.7781,150.2
O,0.9945,152.3
P,-1.0,142.8
P,-0.7479,144.9
P,-0.463,145.0
P,-0.1643,146.7
P,-0.0027,147.2
P,0.2466,148.9
P,0.5562,150.1
P,0.7781,151.0
P,0.9945,152.2
Q,-1.0,134.9
Q,-0.7479,137.4
Q,-0.463,138.2
Q,-0.1643,140.2
Q,-0.0027,143.6
Q,0.2466,144.2
Q,0.5562,147.9
Q,0.7781,150.3
Q,0.9945,151.8
R,-1.0,145.5
R,-0.7479,146.2
R,-0.463,148.2
R,-0.1643,150.3
R,-0.0027,152.0
R,0.2466,152.3
R,0.5562,154.3
R,0.7781,156.2
R,0.9945,156.8
S,-1.0,156.9
S,-0.7479,157.9
S,-0.463,160.3
S,-0.1643,161.9
S,0.0,163.8
S,0.2466,165.5
S,0.5562,169.9
S,0.7781,172.4
S,0.9945,174.4
T,-1.0,146.5
T,-0.7479,148.4
T,-0.463,149.3
T,-0.1643,151.2
T,-0.0027,152.1
T,0.2466,152.4
T,0.5562,153.9
T,0.7781,154.9
T,0.9945,155.4
U,-1.0,143.9
U,-0.7479,145.1
U,-0.463,147.0
U,-0.1643,149.2
U,-0.0027,149.8
U,0.2466,151.5
U,0.5562,153.17
U,0.7781,156.9
U,0.9945,159.6
V,-1.0,147.4
V,-0.7479,148.8
V,-0.463,150.1
V,-0.1643,152.5
V,-0.0027,154.7
V,0.2466,156.0
V,0.5562,158.4
V,0.7781,161.5
V,0.9945,163.3
W,-1.0,144.5
W,-0.7479,146.0
W,-0.463,147.4
W,-0.1643,149.2
W,-0.0027,150.8
W,0.2466,152.5
W,0.5562,155.0
W,0.7781,156.8
W,0.9945,158.8
X,-1.0,147.8
X,-0.7479,148.2
X,-0.463,150.2
X,-0.1643,151.0
X,-0.0027,152.2
X,0.2466,153.6
X,0.5562,155.8
X,0.7781,159.2
X,0.9945,161.6
Y,-1.0,135.5
Y,-0.7479,136.6
Y,-0.463,137.3
Y,-0.1643,138.2
Y,-0.0027,139.0
Y,0.2466,139.5
Y,0.5562,141.0
Y,0.7808,142.7
Y,0.9945,143.9
Z,-1.0,132.2
Z,-0.7479,134.3
Z,-0.463,135.1
Z,-0.1643,136.7
Z,-0.0027,138.4
Z,0.2466,138.9
Z,0.5562,141.8
Z,0.7781,142.6
Z,1.0055,143.1
