Y,H,c,G
62.8,A,a,A:a
62.6,A,a,A:a
60.1,A,b,A:b
62.3,A,b,A:b
62.7,A,c,A:c
63.1,A,c,A:c
60.0,B,a,B:a
61.4,B,a,B:a
57.5,B,b,B:b
56.9,B,b,B:b
61.1,B,c,B:c
58.9,B,c,B:c
58.7,C,a,C:a
57.5,C,a,C:a
63.9,C,b,C:b
63.1,C,b,C:b
65.4,C,c,C:c
63.7,C,c,C:c
57.1,D,a,D:a
56.4,D,a,D:a
56.9,D,b,D:b
58.6,D,b,D:b
64.7,D,c,D:c
64.5,D,c,D:c
55.1,E,a,E:a
55.1,E,a,E:a
54.7,E,b,E:b
54.2,E,b,E:b
58.8,E,c,E:c
57.5,E,c,E:c
63.4,F,a,F:a
64.9,F,a,F:a
59.3,F,b,F:b
58.1,F,b,F:b
60.5,F,c,F:c
60.0,F,c,F:c
62.5,G,a,G:a
62.6,G,a,G:a
61.0,G,b,G:b
58.7,G,b,G:b
56.9,G,c,G:c
57.7,G,c,G:c
59.2,H,a,H:a
59.4,H,a,H:a
65.2,H,b,H:b
66.0,H,b,H:b
64.8,H,c,H:c
64.1,H,c,H:c
54.8,I,a,I:a
54.8,I,a,I:a
64.0,I,b,I:b
64.0,I,b,I:b
57.7,I,c,I:c
56.8,I,c,I:c
58.3,J,a,J:a
59.3,J,a,J:a
59.2,J,b,J:b
59.2,J,b,J:b
58.9,J,c,J:c
56.6,J,c,J:c
