Y,A,G
2.4,15,1
2.5,9,1
2.6,1,1
2.0,13,1
2.7,5,2
2.8,7,2
2.4,8,2
2.7,1,2
2.6,10,3
2.8,1,3
2.4,14,3
2.4,2,3
3.4,15,4
3.1,11,4
2.1,2,4
2.3,3,4
4.1,6,5
3.3,15,5
3.3,4,5
2.9,7,5
3.4,12,6
3.2,4,6
2.8,3,6
3.0,1,6
3.2,12,7
2.5,14,7
2.4,15,7
2.6,8,7
2.3,6,8
2.3,3,8
2.4,14,8
2.7,5,8
2.8,5,9
2.8,4,9
2.6,2,9
2.5,13,9
2.5,10,10
2.7,12,10
2.8,13,10
2.6,6,10
2.6,9,11
2.6,7,11
2.3,10,11
2.4,3,11
2.7,8,12
2.7,6,12
2.5,2,12
2.6,9,12
3.0,5,13
3.6,9,13
3.2,11,13
3.2,12,13
3.0,7,14
2.8,13,14
2.4,14,14
2.5,11,14
2.4,10,15
2.5,4,15
3.2,8,15
3.1,11,15
