Y,G,H
27.0,a,A
23.0,a,B
26.0,a,C
23.0,a,D
23.0,a,E
21.0,a,F
27.0,b,A
23.0,b,B
26.0,b,C
23.0,b,D
23.0,b,E
21.0,b,F
25.0,c,A
21.0,c,B
25.0,c,C
24.0,c,D
24.0,c,E
20.0,c,F
26.0,d,A
23.0,d,B
25.0,d,C
23.0,d,D
23.0,d,E
20.0,d,F
25.0,e,A
22.0,e,B
26.0,e,C
22.0,e,D
23.0,e,E
20.0,e,F
24.0,f,A
22.0,f,B
25.0,f,C
23.0,f,D
22.0,f,E
19.0,f,F
24.0,g,A
20.0,g,B
23.0,g,C
21.0,g,D
22.0,g,E
19.0,g,F
26.0,h,A
22.0,h,B
26.0,h,C
24.0,h,D
24.0,h,E
21.0,h,F
24.0,i,A
21.0,i,B
24.0,i,C
22.0,i,D
22.0,i,E
20.0,i,F
24.0,j,A
21.0,j,B
24.0,j,C
23.0,j,D
22.0,j,E
19.0,j,F
26.0,k,A
23.0,k,B
26.0,k,C
24.0,k,D
24.0,k,E
21.0,k,F
25.0,l,A
22.0,l,B
26.0,l,C
24.0,l,D
24.0,l,E
20.0,l,F
26.0,m,A
24.0,m,B
26.0,m,C
24.0,m,D
25.0,m,E
22.0,m,F
26.0,n,A
23.0,n,B
26.0,n,C
23.0,n,D
23.0,n,E
20.0,n,F
26.0,o,A
23.0,o,B
25.0,o,C
24.0,o,D
24.0,o,E
22.0,o,F
25.0,p,A
22.0,p,B
25.0,p,C
23.0,p,D
23.0,p,E
20.0,p,F
25.0,q,A
21.0,q,B
24.0,q,C
23.0,q,D
23.0,q,E
20.0,q,F
25.0,r,A
22.0,r,B
24.0,r,C
23.0,r,D
23.0,r,E
19.0,r,F
24.0,s,A
21.0,s,B
23.0,s,C
21.0,s,D
21.0,s,E
19.0,s,F
26.0,t,A
23.0,t,B
26.0,t,C
24.0,t,D
24.0,t,E
21.0,t,F
25.0,u,A
21.0,u,B
24.0,u,C
22.0,u,D
22.0,u,E
18.0,u,F
25.0,v,A
22.0,v,B
25.0,v,C
22.0,v,D
22.0,v,E
20.0,v,F
24.0,w,A
21.0,w,B
24.0,w,C
22.0,w,D
24.0,w,E
19.0,w,F
24.0,x,A
21.0,x,B
24.0,x,C
22.0,x,D
21.0,x,E
18.0,x,F
