H,S,U,Y,G,V
A,R,0,1045.8,A:R,0
A,R,1,1044.5,A:R,1
A,R,2,1042.9,A:R,4
A,R,4,1050.4,A:R,16
A,R,6,1045.2,A:R,36
A,R,10,1038.9,A:R,100
A,R,14,1039.8,A:R,196
B,R,0,1041.8,B:R,0
B,R,1,1045.6,B:R,1
B,R,2,1051.0,B:R,4
B,R,4,1054.1,B:R,16
B,R,6,1052.7,B:R,36
B,R,10,1062.0,B:R,100
B,R,14,1050.8,B:R,196
C,R,0,1039.8,C:R,0
C,R,4,1082.9,C:R,16
C,R,6,1091.1,C:R,36
C,R,8,1088.5,C:R,64
C,R,10,1099.4,C:R,100
C,R,14,1086.8,C:R,196
C,R,21,1073.6,C:R,441
D,R,0,1034.1,D:R,0
D,R,4,1090.7,D:R,16
D,R,6,1126.4,D:R,36
D,R,8,1108.8,D:R,64
D,R,10,1122.5,D:R,100
D,R,14,1100.7,D:R,196
D,R,21,1102.2,D:R,441
E,R,4,1124.4,E:R,16
E,R,6,1128.2,E:R,36
E,R,8,1124.1,E:R,64
E,R,10,1126.7,E:R,100
E,R,14,1109.9,E:R,196
F,R,4,1094.2,F:R,16
F,R,6,1084.1,F:R,36
F,R,8,1093.9,F:R,64
F,R,10,1082.7,F:R,100
F,R,14,1076.1,F:R,196
G,R,4,1151.3,G:R,16
G,R,6,1160.3,G:R,36
G,R,10,1139.7,G:R,100
G,R,14,1133.2,G:R,196
H,R,4,1077.5,H:R,16
H,R,6,1085.9,H:R,36
H,R,10,1100.8,H:R,100
H,R,14,1083.4,H:R,196
I,R,4,1068.2,I:R,16
I,R,8,1064.0,I:R,64
J,R,4,1095.0,J:R,16
J,R,6,1094.7,J:R,36
J,R,8,1081.4,J:R,64
A,L,0,1040.9,A:L,0
A,L,1,1054.1,A:L,1
A,L,2,1051.9,A:L,4
A,L,4,1054.1,A:L,16
A,L,6,1051.3,A:L,36
A,L,10,1051.4,A:L,100
A,L,14,1046.1,A:L,196
B,L,0,1053.6,B:L,0
B,L,1,1052.9,B:L,1
B,L,2,1053.6,B:L,4
B,L,4,1057.1,B:L,16
B,L,6,1064.0,B:L,36
B,L,10,1065.3,B:L,100
B,L,14,1053.4,B:L,196
C,L,0,1043.9,C:L,0
C,L,4,1069.0,C:L,16
C,L,6,1082.5,C:L,36
C,L,8,1077.7,C:L,64
C,L,10,1073.5,C:L,100
C,L,14,1076.4,C:L,196
C,L,21,1053.8,C:L,441
D,L,0,1039.9,D:L,0
D,L,4,1114.1,D:L,16
D,L,6,1111.5,D:L,36
D,L,8,1100.3,D:L,64
D,L,10,1124.0,D:L,100
D,L,14,1113.2,D:L,196
D,L,21,1077.0,D:L,441
E,L,4,1114.7,E:L,16
E,L,6,1117.6,E:L,36
E,L,8,1128.2,E:L,64
E,L,10,1130.5,E:L,100
E,L,14,1102.2,E:L,196
F,L,4,1106.0,F:L,16
F,L,6,1121.5,F:L,36
F,L,8,1115.5,F:L,64
F,L,10,1105.2,F:L,100
F,L,14,1092.8,F:L,196
G,L,4,1129.7,G:L,16
G,L,6,1136.2,G:L,36
G,L,10,1108.5,G:L,100
G,L,14,1094.3,G:L,196
H,L,4,1098.8,H:L,16
H,L,6,1103.6,H:L,36
H,L,10,1106.8,H:L,100
H,L,14,1105.0,H:L,196
I,L,4,1097.2,I:L,16
I,L,8,1099.5,I:L,64
J,L,4,1132.3,J:L,16
J,L,6,1154.5,J:L,36
J,L,8,1161.1,J:L,64
