child,family,community,chldcov,famcov,commcov
1213,167,1,-0.173158,2.133886,-0.104768
898,2024,38,-0.101583,1.01102,-0.0718185
901,2025,38,-0.101583,1.145874,-0.0718185
902,2025,38,-0.101583,1.145874,-0.0718185
904,2026,38,-0.274741,0.955,-0.0718185
907,2027,38,-0.274741,0.850057,-0.0718185
910,2028,38,-0.274741,1.55434,-0.0718185
912,2029,38,0.029241,0.637656,-0.0718185
913,2029,38,0.368799,0.637656,-0.0718185
919,2030,38,0.029241,1.262344,-0.0718185
920,2030,38,0.368799,1.262344,-0.0718185
926,2031,38,-0.101583,2.017416,-0.0718185
14651,2044,40,0.541957,1.01102,-0.0718185
14680,2046,40,0.368799,1.418076,-0.0718185
14684,2047,40,0.0,1.2383,-0.0718185
12,2087,47,0.207057,0.057795,-0.1349729
13,2087,47,-0.274741,0.057795,-0.1349729
1,2088,47,0.029241,0.425904,-0.1349729
2,2088,47,0.029241,0.425904,-0.1349729
3,2088,47,0.368799,0.425904,-0.1349729
11,2089,47,0.30864,0.181028,-0.1349729
14496,2090,47,0.541957,0.181028,-0.1349729
14497,2090,47,0.207057,0.181028,-0.1349729
14500,2091,47,0.541957,0.156984,-0.1349729
14501,2091,47,0.368799,0.156984,-0.1349729
14515,2093,47,0.029241,-0.395096,-0.1349729
14524,2094,47,-0.143917,0.50925,-0.1349729
14534,2095,47,0.029241,0.181028,-0.1349729
14535,2095,47,0.368799,0.181028,-0.1349729
14541,2096,47,0.541957,-0.171238,-0.1349729
14542,2096,47,0.368799,-0.171238,-0.1349729
9,2097,47,-0.101583,1.704502,-0.1349729
14547,2098,47,0.541957,0.181028,-0.1349729
14548,2098,47,-0.274741,0.181028,-0.1349729
14551,2099,47,0.033899,0.181028,-0.1349729
7134,2100,48,0.541957,0.682798,-0.1127225
7166,2101,48,0.541957,1.12183,-0.1127225
7167,2101,48,-0.101583,1.12183,-0.1127225
7168,2101,48,-0.274741,1.12183,-0.1127225
7145,2102,48,-0.274741,2.017416,-0.1127225
7148,2103,48,0.207057,2.077866,-0.1127225
7149,2103,48,0.30864,2.077866,-0.1127225
7154,2104,48,0.541957,0.597222,-0.1127225
7158,2105,48,0.029241,1.590566,-0.1127225
7159,2105,48,0.029241,1.590566,-0.1127225
7160,2105,48,0.368799,1.590566,-0.1127225
289,2107,49,-0.274741,1.67081,-0.1613925
296,2108,49,0.0,1.262344,-0.1613925
297,2109,49,0.368799,1.01102,-0.1613925
307,2110,49,-0.274741,0.912734,-0.1613925
308,2110,49,-0.274741,0.912734,-0.1613925
311,2112,49,-0.101583,1.590566,-0.1613925
362,2125,51,0.541957,2.133886,-0.1516585
363,2125,51,0.033899,2.133886,-0.1516585
366,2126,51,0.207057,2.228086,-0.1516585
375,2127,51,-0.274741,1.760522,-0.1516585
377,2128,51,0.541957,1.534546,-0.1516585
378,2128,51,0.368799,1.534546,-0.1516585
382,2129,51,0.207057,1.217202,-0.1516585
387,2130,51,0.541957,1.534546,-0.1516585
392,2131,51,0.0,1.474096,-0.1516585
393,2133,51,0.0,1.01102,-0.1516585
397,2135,51,0.207057,2.133886,-0.1516585
398,2135,51,0.30864,2.133886,-0.1516585
399,2136,51,0.207057,2.133886,-0.1516585
7233,2139,52,0.0,2.133886,-0.1260447
7235,2140,52,0.0,1.474096,-0.1260447
7236,2141,52,0.207057,1.01102,-0.1260447
7237,2141,52,0.033899,1.01102,-0.1260447
7239,2142,52,0.033899,2.017416,-0.1260447
7250,2143,52,0.541957,1.49832,-0.1260447
7261,2145,52,0.0,0.955,-0.1260447
7262,2146,52,0.0,1.590566,-0.1260447
628,2147,53,0.207057,2.017416,-0.1260447
630,2148,53,0.541957,1.145874,-0.1260447
636,2149,53,0.541957,0.682798,-0.1260447
637,2149,53,0.541957,0.682798,-0.1260447
638,2149,53,0.368799,0.682798,-0.1260447
642,2150,53,0.0,1.590566,-0.1260447
643,2151,53,0.0,0.682798,-0.1260447
651,2153,53,-0.101583,0.799268,-0.1260447
652,2153,53,-0.173158,0.799268,-0.1260447
656,2154,53,-0.101583,0.45894,-0.1260447
657,2154,53,0.0,0.45894,-0.1260447
655,2155,53,-0.173158,0.309434,-0.1260447
658,2156,53,0.0,2.017416,-0.1260447
659,2157,53,0.0,0.850057,-0.1260447
660,2158,53,0.0,0.45894,-0.1260447
7389,2201,57,-0.173158,1.12749,-0.1711265
7390,2202,57,0.541957,2.017416,-0.1711265
7391,2202,57,0.207057,2.017416,-0.1711265
7392,2202,57,0.033899,2.017416,-0.1711265
7394,2203,57,-0.101583,1.12749,-0.1711265
7397,2204,57,-0.101583,1.01102,-0.1711265
7398,2204,57,0.0,1.01102,-0.1711265
7404,2205,57,0.541957,0.637656,-0.1711265
7421,2206,57,-0.101583,0.477838,-0.1711265
7422,2206,57,-0.173158,0.477838,-0.1711265
7426,2207,57,-0.101583,0.28539,-0.1711265
7427,2207,57,-0.274741,0.28539,-0.1711265
7429,2208,57,-0.101583,0.637656,-0.1711265
7431,2209,57,0.233317,0.28539,-0.1711265
7432,2209,57,-0.274741,0.28539,-0.1711265
7435,2210,57,-0.101583,1.01102,-0.1711265
7436,2210,57,-0.173158,1.01102,-0.1711265
7441,2211,57,0.541957,-0.828052,-0.1711265
7520,2213,58,0.541957,2.133886,-0.1419245
7521,2213,58,0.368799,2.133886,-0.1419245
7526,2214,58,0.029241,-0.26669,-0.1419245
7535,2216,58,-0.101583,1.760522,-0.1419245
7536,2216,58,-0.173158,1.760522,-0.1419245
7457,2217,58,-0.274741,1.180976,-0.1419245
7463,2220,58,0.033899,1.910742,-0.1419245
7465,2221,58,-0.143917,-0.009282,-0.1419245
7473,2222,58,0.029241,0.576124,-0.1419245
7474,2222,58,-0.143917,0.576124,-0.1419245
7481,2223,58,0.541957,0.476693,-0.1419245
7482,2223,58,0.368799,0.476693,-0.1419245
7487,2224,58,-0.101583,0.637656,-0.1419245
7537,2225,58,0.541957,0.223858,-0.1419245
7491,2226,58,0.207057,0.057795,-0.1419245
7502,2227,58,0.0,1.367422,-0.1419245
7503,2228,58,0.541957,0.637656,-0.1419245
7507,2229,58,0.541957,0.391117,-0.1419245
7508,2229,58,0.033899,0.391117,-0.1419245
7509,2229,58,0.033899,0.391117,-0.1419245
806,2231,59,-0.101583,0.041372,-0.8328077
807,2231,59,-0.173158,0.041372,-0.8328077
808,2232,59,0.541957,-0.119591,-0.8328077
813,2233,59,-0.101583,-0.604194,-0.8328077
814,2233,59,-0.274741,-0.604194,-0.8328077
815,2233,59,-0.173158,-0.604194,-0.8328077
816,2234,59,-0.143917,1.01102,-0.8328077
894,2235,59,0.541957,0.020274,-0.8328077
895,2235,59,-0.101583,0.020274,-0.8328077
825,2236,59,0.541957,0.388126,-0.8328077
826,2236,59,0.541957,0.388126,-0.8328077
847,2239,59,0.0,2.077866,-0.8328077
848,2240,59,0.029241,-0.399203,-0.8328077
849,2240,59,0.029241,-0.399203,-0.8328077
850,2240,59,-0.143917,-0.399203,-0.8328077
857,2241,59,-0.101583,0.247554,-0.8328077
858,2241,59,-0.274741,0.247554,-0.8328077
860,2242,59,0.029241,-0.828052,-0.8328077
869,2243,59,0.029241,-1.079691,-0.8328077
870,2243,59,0.029241,-1.079691,-0.8328077
871,2243,59,-0.143917,-1.079691,-0.8328077
886,2244,59,-0.274741,-0.49983,-0.8328077
889,2246,59,0.0,-0.828052,-0.8328077
890,2247,59,0.0,-0.475786,-0.8328077
891,2248,59,0.207057,-0.487724,-0.8328077
892,2248,59,0.207057,-0.487724,-0.8328077
893,2248,59,-0.173158,-0.487724,-0.8328077
7541,2253,60,0.233317,-0.275972,-0.9398817
7542,2253,60,-0.274741,-0.275972,-0.9398817
7545,2254,60,-0.274741,-0.828052,-0.9398817
7556,2255,60,-0.143917,-0.7326,-0.9398817
7567,2256,60,0.0,-0.765157,-0.9398817
7568,2257,60,-0.101583,-0.765157,-0.9398817
7569,2257,60,-0.173158,-0.765157,-0.9398817
7570,2258,60,0.541957,-0.956458,-0.9398817
7571,2258,60,0.368799,-0.956458,-0.9398817
7576,2259,60,0.0,-1.009546,-0.9398817
7584,2260,60,0.029241,-0.828052,-0.9398817
7585,2260,60,-0.143917,-0.828052,-0.9398817
7598,2261,60,0.541957,-0.7326,-0.9398817
7599,2261,60,-0.274741,-0.7326,-0.9398817
7602,2262,60,0.368799,-0.7326,-0.9398817
7612,2263,60,-0.101583,-0.893563,-0.9398817
7613,2263,60,-0.274741,-0.893563,-0.9398817
7615,2264,60,0.541957,-0.475786,-0.9398817
7616,2264,60,0.033899,-0.475786,-0.9398817
7619,2265,60,0.541957,-0.828052,-0.9398817
7640,2289,62,0.368799,-1.079691,-0.9587677
7645,2290,62,-0.101583,-0.828052,-0.9587677
7647,2291,62,0.541957,-1.079691,-0.9587677
7648,2291,62,0.233317,-1.079691,-0.9587677
7649,2291,62,-0.274741,-1.079691,-0.9587677
7652,2292,62,-0.101583,-0.251928,-0.9587677
7653,2292,62,-0.173158,-0.251928,-0.9587677
7667,2293,62,0.541957,-1.079691,-0.9587677
7668,2293,62,0.033899,-1.079691,-0.9587677
7699,2296,62,-0.101583,-0.251928,-0.9587677
7700,2296,62,-0.173158,-0.251928,-0.9587677
7701,2297,62,0.029241,0.309434,-0.9587677
7710,2299,62,0.541957,0.386017,-0.9587677
7715,2300,62,0.060159,0.852754,-0.9587677
7716,2300,62,-0.274741,0.852754,-0.9587677
7717,2300,62,-0.274741,0.852754,-0.9587677
7719,2301,62,0.029241,0.601115,-0.9587677
7720,2301,62,0.368799,0.601115,-0.9587677
7726,2302,62,-0.101583,-0.604194,-0.9587677
7728,2303,62,0.541957,-0.765157,-0.9587677
7729,2303,62,0.368799,-0.765157,-0.9587677
7741,2304,62,0.0,-0.412891,-0.9587677
7742,2305,62,0.0,1.805664,-0.9587677
7743,2306,62,0.541957,-0.727425,-0.9587677
7744,2306,62,0.368799,-0.727425,-0.9587677
7748,2307,62,0.30864,-0.66453,-0.9587677
531,2309,63,0.541957,0.386017,-0.0973878
532,2309,63,0.207057,0.386017,-0.0973878
535,2310,63,0.541957,0.309434,-0.0973878
536,2310,63,0.368799,0.309434,-0.0973878
540,2311,63,0.541957,0.50925,-0.0973878
541,2311,63,0.368799,0.50925,-0.0973878
545,2312,63,0.207057,0.637656,-0.0973878
548,2313,63,0.541957,0.637656,-0.0973878
549,2313,63,0.368799,0.637656,-0.0973878
554,2314,63,0.368799,0.848326,-0.0973878
558,2315,63,0.368799,0.073638,-0.0973878
564,2316,63,0.029241,-0.04283,-0.0973878
565,2316,63,-0.143917,-0.04283,-0.0973878
566,2316,63,-0.143917,-0.04283,-0.0973878
583,2317,63,0.060159,0.50925,-0.0973878
591,2319,63,0.233317,0.637656,-0.0973878
592,2319,63,0.060159,0.637656,-0.0973878
598,2320,63,0.30864,0.309434,-0.0973878
