U,Y,G,A,V,H
11.0,10.0,1,M,0.0,9
0.0,3.0,1,F,0.0,9
-14.0,2.0,1,M,0.0,9
-6.0,3.0,1,M,20.0,9
-30.0,2.0,1,F,0.0,9
-17.0,2.0,1,F,0.0,9
-17.0,4.0,1,F,0.0,1
-11.0,6.0,1,M,0.0,1
-9.0,4.0,1,M,0.0,9
-19.0,2.0,1,M,0.0,9
-17.0,3.0,1,M,0.0,9
-2.0,6.0,1,F,0.0,9
-24.0,2.0,1,F,0.0,9
-30.0,3.0,1,M,0.0,9
-6.0,6.0,1,F,0.0,9
-22.0,2.0,1,F,0.0,9
1.0,9.0,1,F,20.0,1
-7.0,10.0,1,M,0.0,9
-17.0,2.0,1,M,20.0,9
-30.0,3.0,1,M,0.0,9
-9.0,6.0,1,F,0.0,9
-30.0,2.0,1,M,0.0,9
-25.0,2.0,1,F,0.0,9
-14.0,3.0,1,F,0.0,9
5.0,4.0,1,F,0.0,9
-4.0,4.0,1,F,31.0,9
-19.0,2.0,1,F,0.0,9
-10.0,5.0,1,F,0.0,9
-5.0,3.0,1,M,0.0,9
21.0,10.0,1,M,0.0,9
-4.0,4.0,1,F,0.0,9
-8.0,5.0,1,F,0.0,9
-30.0,1.0,1,M,0.0,9
-2.0,4.0,1,M,0.0,9
-8.0,4.0,1,F,1.0,9
-15.0,2.0,1,F,0.0,9
1.0,8.0,1,M,31.0,1
-30.0,1.0,1,M,0.0,18
-24.0,2.0,1,F,0.0,1
-12.0,2.0,1,M,0.0,9
-17.0,6.0,1,F,0.0,1
2.0,10.0,1,M,20.0,9
7.0,9.0,1,F,0.0,9
9.0,8.0,1,F,20.0,9
0.0,6.0,1,M,0.0,9
-19.0,3.0,1,M,0.0,9
3.0,10.0,1,M,0.0,9
3.0,6.0,1,F,0.0,1
12.0,9.0,1,M,0.0,9
-29.0,2.0,1,F,0.0,1
-11.0,3.0,1,F,0.0,9
-4.0,3.0,1,F,31.0,9
1.0,4.0,1,F,31.0,9
-26.0,2.0,1,F,0.0,9
14.0,10.0,2,F,0.0,7
-16.0,2.0,2,M,0.0,7
-5.0,4.0,2,M,0.0,7
-11.0,7.0,2,F,20.0,7
2.0,2.0,2,M,0.0,7
-28.0,2.0,2,F,0.0,7
20.0,10.0,2,F,0.0,7
-1.0,10.0,3,F,1.0,5
27.0,10.0,3,M,0.0,5
0.0,6.0,3,F,0.0,5
-16.0,2.0,4,F,31.0,9
1.0,6.0,4,F,0.0,9
-20.0,3.0,4,F,0.0,9
3.0,7.0,4,M,20.0,9
17.0,9.0,4,M,0.0,9
2.0,7.0,4,F,0.0,9
7.0,10.0,4,F,20.0,6
-19.0,1.0,5,M,0.0,1
-15.0,2.0,5,F,0.0,1
-19.0,1.0,5,M,0.0,1
-25.0,2.0,5,M,0.0,1
-16.0,3.0,5,M,0.0,1
-10.0,4.0,5,F,0.0,1
12.0,5.0,5,M,0.0,1
2.0,7.0,5,F,0.0,1
-20.0,2.0,5,F,0.0,1
-17.0,2.0,5,F,0.0,1
6.0,8.0,5,F,0.0,1
6.0,9.0,5,F,0.0,1
4.0,6.0,5,M,0.0,1
-4.0,2.0,5,M,0.0,1
-4.0,4.0,5,F,0.0,1
-17.0,2.0,5,M,0.0,1
-10.0,2.0,5,M,0.0,1
2.0,10.0,5,F,0.0,1
-7.0,7.0,5,F,1.0,1
-7.0,7.0,5,F,0.0,1
0.0,4.0,5,M,20.0,1
-16.0,2.0,5,F,0.0,1
-8.0,2.0,5,M,0.0,1
8.0,5.0,5,M,31.0,1
-4.0,7.0,5,F,31.0,1
1.0,10.0,5,F,31.0,1
20.0,10.0,5,F,20.0,1
-30.0,1.0,5,F,0.0,1
-7.0,5.0,5,F,0.0,1
1.0,9.0,5,M,0.0,1
-12.0,3.0,5,M,0.0,1
-19.0,6.0,5,F,0.0,1
-11.0,2.0,5,F,0.0,1
0.0,9.0,5,M,0.0,1
-4.0,3.0,5,M,0.0,1
1.0,10.0,5,M,0.0,1
-25.0,3.0,5,M,0.0,1
-8.0,3.0,5,F,0.0,1
-9.0,3.0,5,M,0.0,1
-30.0,2.0,5,M,0.0,1
11.0,8.0,5,F,0.0,1
16.0,9.0,5,M,20.0,1
-26.0,2.0,5,M,0.0,1
-16.0,2.0,5,F,0.0,1
6.0,6.0,5,F,0.0,1
12.0,10.0,5,F,31.0,1
-23.0,3.0,5,M,0.0,1
-19.0,3.0,5,M,0.0,1
-19.0,2.0,5,F,0.0,1
7.0,9.0,5,M,20.0,1
-16.0,1.0,5,M,0.0,1
-4.0,5.0,5,F,0.0,1
7.0,3.0,5,F,0.0,1
-15.0,9.0,6,M,1.0,5
3.0,2.0,6,F,0.0,5
-5.0,4.0,6,M,31.0,5
10.0,10.0,6,M,20.0,5
8.0,9.0,6,M,20.0,5
-2.0,6.0,6,M,0.0,5
8.0,7.0,6,F,0.0,5
-4.0,9.0,6,F,20.0,5
-20.0,4.0,6,M,0.0,5
-7.0,10.0,6,F,0.0,5
-1.0,7.0,6,F,0.0,5
-18.0,4.0,6,M,20.0,5
-4.0,10.0,6,M,20.0,5
-21.0,2.0,6,M,0.0,5
-11.0,4.0,6,M,0.0,5
-2.0,9.0,6,F,0.0,5
-15.0,2.0,6,M,0.0,5
-7.0,3.0,6,M,0.0,5
7.0,6.0,6,M,31.0,3
-8.0,4.0,6,F,0.0,5
-4.0,5.0,6,F,0.0,5
-19.0,2.0,6,M,0.0,5
-8.0,5.0,6,M,0.0,5
3.0,6.0,6,F,20.0,5
-6.0,2.0,6,M,0.0,5
-22.0,3.0,6,M,0.0,5
-22.0,3.0,6,M,0.0,5
-4.0,2.0,6,M,0.0,5
5.0,10.0,6,M,0.0,5
27.0,10.0,6,M,20.0,5
-8.0,6.0,6,M,0.0,5
-1.0,6.0,6,F,20.0,5
-16.0,4.0,6,M,0.0,5
-30.0,2.0,6,M,0.0,5
-30.0,2.0,6,M,0.0,5
-1.0,8.0,6,M,20.0,5
18.0,10.0,6,F,20.0,5
-5.0,6.0,6,F,0.0,5
-14.0,2.0,6,F,0.0,5
-12.0,2.0,6,F,31.0,5
-11.0,9.0,6,F,0.0,5
-2.0,3.0,6,F,0.0,5
7.0,10.0,6,F,0.0,5
-1.0,8.0,6,M,31.0,5
-1.0,9.0,6,F,20.0,5
-17.0,2.0,6,F,0.0,5
14.0,9.0,6,M,1.0,1
-11.0,3.0,6,F,20.0,11
-2.0,10.0,6,M,20.0,5
-4.0,8.0,6,M,20.0,5
-11.0,8.0,6,M,20.0,5
6.0,8.0,6,M,1.0,5
-1.0,2.0,6,F,0.0,5
7.0,10.0,6,F,20.0,5
18.0,10.0,6,F,0.0,5
-15.0,2.0,7,M,0.0,19
-21.0,2.0,7,F,0.0,4
-23.0,2.0,7,F,0.0,19
0.0,4.0,7,F,0.0,19
-5.0,5.0,7,M,0.0,19
6.0,8.0,7,F,0.0,19
16.0,5.0,7,F,0.0,18
-1.0,2.0,7,F,0.0,19
32.0,10.0,7,M,0.0,6
10.0,10.0,7,M,0.0,18
1.0,9.0,7,M,20.0,6
-22.0,3.0,7,F,0.0,19
2.0,4.0,7,M,20.0,19
-6.0,2.0,7,M,0.0,19
-11.0,7.0,7,F,0.0,6
-20.0,3.0,7,F,0.0,19
-11.0,4.0,7,F,0.0,19
