A,H,w,si,Y,G
1,1,1,1,2006.0,1:1
1,1,1,2,1999.0,1:1
1,1,1,3,2007.0,1:1
1,1,2,1,1980.0,1:2
1,1,2,2,1988.0,1:2
1,1,2,3,1982.0,1:2
1,1,3,1,2000.0,1:3
1,1,3,2,1998.0,1:3
1,1,3,3,2007.0,1:3
1,2,1,1,1991.0,2:1
1,2,1,2,1990.0,2:1
1,2,1,3,1988.0,2:1
1,2,2,1,1987.0,2:2
1,2,2,2,1989.0,2:2
1,2,2,3,1988.0,2:2
1,2,3,1,1985.0,2:3
1,2,3,2,1983.0,2:3
1,2,3,3,1989.0,2:3
1,3,1,1,2000.0,3:1
1,3,1,2,2004.0,3:1
1,3,1,3,2004.0,3:1
1,3,2,1,2001.0,3:2
1,3,2,2,1996.0,3:2
1,3,2,3,2004.0,3:2
1,3,3,1,1999.0,3:3
1,3,3,2,2000.0,3:3
1,3,3,3,2002.0,3:3
1,4,1,1,1997.0,4:1
1,4,1,2,1994.0,4:1
1,4,1,3,1996.0,4:1
1,4,2,1,1996.0,4:2
1,4,2,2,2000.0,4:2
1,4,2,3,2002.0,4:2
1,4,3,1,1987.0,4:3
1,4,3,2,1990.0,4:3
1,4,3,3,1995.0,4:3
2,5,1,1,2013.0,5:1
2,5,1,2,2004.0,5:1
2,5,1,3,2009.0,5:1
2,5,2,1,2023.0,5:2
2,5,2,2,2018.0,5:2
2,5,2,3,2010.0,5:2
2,5,3,1,2020.0,5:3
2,5,3,2,2023.0,5:3
2,5,3,3,2015.0,5:3
2,6,1,1,2032.0,6:1
2,6,1,2,2036.0,6:1
2,6,1,3,2030.0,6:1
2,6,2,1,2018.0,6:2
2,6,2,2,2022.0,6:2
2,6,2,3,2026.0,6:2
2,6,3,1,2009.0,6:3
2,6,3,2,2010.0,6:3
2,6,3,3,2011.0,6:3
2,7,1,1,1984.0,7:1
2,7,1,2,1993.0,7:1
2,7,1,3,1993.0,7:1
2,7,2,1,1992.0,7:2
2,7,2,2,1992.0,7:2
2,7,2,3,1990.0,7:2
2,7,3,1,1996.0,7:3
2,7,3,2,1993.0,7:3
2,7,3,3,1987.0,7:3
2,8,1,1,1996.0,8:1
2,8,1,2,1989.0,8:1
2,8,1,3,1996.0,8:1
2,8,2,1,1997.0,8:2
2,8,2,2,1993.0,8:2
2,8,2,3,1996.0,8:2
2,8,3,1,1990.0,8:3
2,8,3,2,1989.0,8:3
2,8,3,3,1992.0,8:3
