U,Y,G
29.0,2.0,1
38.0,0.0,1
31.0,6.0,1
31.0,6.0,1
29.0,5.0,1
23.0,9.0,1
23.0,7.0,1
33.0,2.0,1
30.0,1.0,1
32.0,3.0,1
22.0,4.0,1
29.0,6.0,1
34.0,2.0,1
30.0,-1.0,1
35.0,1.0,1
25.0,1.0,1
22.0,3.0,1
31.0,1.0,1
33.0,3.0,1
31.0,1.0,1
35.0,2.0,1
20.0,2.0,2
18.0,-3.0,2
12.0,5.0,2
9.0,1.0,2
11.0,-3.0,2
12.0,3.0,2
12.0,-8.0,2
18.0,-6.0,2
13.0,-4.0,2
8.0,4.0,2
21.0,1.0,2
4.0,4.0,2
10.0,1.0,2
8.0,4.0,2
12.0,-6.0,2
14.0,-2.0,2
9.0,2.0,2
11.0,3.0,2
11.0,-5.0,2
12.0,7.0,2
12.0,2.0,2
17.0,-7.0,2
7.0,3.0,2
17.0,-6.0,2
9.0,2.0,2
16.0,2.0,2
4.0,1.0,2
5.0,8.0,2
12.0,-4.0,2
7.0,-2.0,3
13.0,1.0,3
16.0,-10.0,3
11.0,-4.0,3
9.0,-1.0,3
11.0,6.0,3
6.0,1.0,3
9.0,3.0,3
5.0,9.0,3
12.0,-5.0,3
8.0,1.0,3
12.0,-4.0,3
8.0,4.0,3
9.0,2.0,3
9.0,5.0,3
11.0,-4.0,3
11.0,1.0,4
16.0,13.0,4
17.0,4.0,4
21.0,6.0,4
18.0,9.0,4
21.0,0.0,4
18.0,-2.0,4
11.0,9.0,4
14.0,10.0,4
11.0,-4.0,4
13.0,4.0,4
13.0,4.0,4
10.0,7.0,4
11.0,3.0,4
17.0,9.0,4
14.0,2.0,4
17.0,4.0,4
12.0,1.0,4
12.0,8.0,4
13.0,-2.0,4
10.0,5.0,4
14.0,6.0,4
12.0,15.0,4
13.0,-5.0,4
20.0,5.0,5
10.0,9.0,5
16.0,1.0,5
10.0,7.0,5
28.0,-4.0,5
11.0,5.0,5
14.0,-2.0,5
24.0,5.0,5
13.0,7.0,5
5.0,5.0,5
23.0,8.0,5
11.0,5.0,5
18.0,4.0,5
21.0,5.0,5
24.0,4.0,5
18.0,12.0,5
29.0,4.0,5
18.0,0.0,5
9.0,11.0,5
15.0,2.0,5
25.0,4.0,6
21.0,0.0,6
20.0,10.0,6
30.0,-3.0,6
18.0,-10.0,6
26.0,-2.0,6
23.0,-4.0,6
18.0,-4.0,6
19.0,8.0,6
18.0,-6.0,6
24.0,1.0,6
21.0,8.0,6
19.0,-1.0,6
31.0,0.0,6
14.0,-5.0,6
24.0,0.0,6
19.0,-13.0,6
22.0,-10.0,6
21.0,6.0,6
20.0,2.0,7
