d,r,y,n,p,c,g,a,rel
1,3322,1983,7,labour,lower working,male,65,Protestant
1,3322,1984,3,labour,lower working,male,65,Protestant
1,3322,1985,4,labour,lower working,male,65,Protestant
1,3322,1986,7,labour,lower working,male,65,Protestant
1,3325,1983,3,none,lower working,female,31,Protestant
1,3325,1984,4,conservative,middle,female,31,Protestant
1,3325,1985,6,labour,lower working,female,31,Protestant
1,3325,1986,3,others,middle,female,31,Protestant
2,3372,1983,7,none,middle,male,33,none
2,3372,1984,7,others,upper working,male,33,none
2,3372,1985,7,Lib/SDP/Alliance,lower working,male,33,none
2,3372,1986,7,Lib/SDP/Alliance,upper working,male,33,none
2,3374,1983,7,none,upper working,female,43,none
2,3374,1984,7,conservative,upper working,female,43,none
2,3374,1985,7,Lib/SDP/Alliance,upper working,female,43,none
2,3374,1986,7,Lib/SDP/Alliance,upper working,female,43,none
2,3378,1983,3,conservative,middle,male,48,Protestant
2,3378,1984,3,conservative,middle,male,48,Protestant
2,3378,1985,3,conservative,middle,male,48,Protestant
2,3378,1986,3,conservative,middle,male,48,Protestant
2,3386,1983,6,labour,lower working,male,55,none
2,3386,1984,5,labour,lower working,male,55,none
2,3386,1985,7,labour,lower working,male,55,none
2,3386,1986,7,labour,lower working,male,55,none
2,3388,1983,7,conservative,upper working,male,59,Protestant
2,3388,1984,3,Lib/SDP/Alliance,upper working,male,59,Protestant
2,3388,1985,6,Lib/SDP/Alliance,upper working,male,59,Protestant
2,3388,1986,6,Lib/SDP/Alliance,lower working,male,59,Protestant
3,2164,1983,7,conservative,lower working,female,45,Protestant
3,2164,1984,7,others,lower working,female,45,Protestant
3,2164,1985,7,conservative,lower working,female,45,Protestant
3,2164,1986,7,Lib/SDP/Alliance,lower working,female,45,Protestant
3,2173,1983,7,labour,upper working,female,63,Protestant
3,2173,1984,7,labour,lower working,female,63,Protestant
3,2173,1985,6,labour,middle,female,63,Protestant
3,2173,1986,7,labour,middle,female,63,Protestant
3,2182,1983,4,conservative,upper working,female,24,others
3,2182,1984,5,conservative,upper working,female,24,others
3,2182,1985,6,conservative,lower working,female,24,others
3,2182,1986,7,conservative,lower working,female,24,others
4,39,1983,3,Lib/SDP/Alliance,lower working,male,49,none
4,39,1984,7,Lib/SDP/Alliance,lower working,male,49,none
4,39,1985,3,Lib/SDP/Alliance,lower working,male,49,none
4,39,1986,3,Lib/SDP/Alliance,lower working,male,49,none
4,46,1983,3,conservative,upper working,female,50,others
4,46,1984,3,conservative,upper working,female,50,others
4,46,1985,7,conservative,upper working,female,50,others
4,46,1986,7,conservative,upper working,female,50,others
4,48,1983,6,labour,lower working,female,51,Protestant
4,48,1984,4,labour,lower working,female,51,Protestant
4,48,1985,3,labour,lower working,female,51,Protestant
4,48,1986,4,labour,lower working,female,51,Protestant
4,55,1983,6,conservative,lower working,male,21,none
4,55,1984,7,labour,lower working,male,21,none
4,55,1985,6,labour,lower working,male,21,none
4,55,1986,7,labour,upper working,male,21,none
