id,sch,gr,cltype,hdeg,clad,exp,trace,read,math,ses,schtype,sx,eth,birthq,birthy,yrs,tch
100017,28,K,small,BS/BA,1,3,B,476,602,F,inner,F,B,1980:1,1980,0.0,478
100028,52,K,reg,MS/MA/MEd,1,12,W,410,444,N,suburb,F,W,1980:2,1980,0.0,893
100045,41,1,small,BS/BA,1,20,W,507,572,N,suburb,M,W,1980:2,1980,1.0,698
100045,41,2,small,MS/MA/MEd,APPR,15,B,575,620,N,suburb,M,W,1980:2,1980,2.0,701
100045,41,3,small,BS/BA,1,5,W,610,655,N,suburb,M,W,1980:2,1980,3.0,706
100064,64,K,small,BS/BA,1,19,W,430,484,N,rural,F,W,1980:1,1980,0.0,1102
100070,40,K,reg,BS/BA,APPR,2,W,495,576,F,rural,F,W,1979:4,1979,0.0,679
100070,40,1,reg+A,BS/BA,1,5,W,629,592,F,rural,F,W,1979:4,1979,1.0,684
100096,22,K,small,BS/BA,PROB,9,B,418,489,F,inner,F,B,1980:1,1980,0.0,351
100096,22,1,small,MS/MA/MEd,1,9,B,524,567,F,inner,F,B,1980:1,1980,1.0,359
100096,22,2,small,BS/BA,NOT,2,B,627,603,F,inner,F,B,1980:1,1980,2.0,365
10010,17,K,small,MS/MA/MEd,1,20,W,421,459,N,suburb,M,W,1979:3,1979,0.0,267
10010,17,1,small,BS/BA,1,16,W,451,468,N,suburb,M,W,1979:3,1979,1.0,270
100111,3,K,reg,BS/BA,1,8,W,451,500,N,rural,F,W,1980:1,1980,0.0,33
100111,3,2,reg,BS/BA,NOT,23,W,,,N,rural,F,W,1980:1,1980,2.0,44
100111,3,3,reg,BS/BA,1,21,W,644,624,N,rural,F,W,1980:1,1980,3.0,49
100124,32,K,small,BS/BA,1,14,W,437,528,F,inner,F,B,1980:2,1980,0.0,542
100143,26,K,reg+A,BS/BA,1,6,B,455,434,F,inner,M,B,1979:1,1979,0.0,435
100159,51,K,reg,BS/BA,1,11,W,402,439,N,suburb,F,W,1980:1,1980,0.0,852
100173,24,K,small,BS/BA,APPR,5,B,433,473,F,suburb,M,B,1980:2,1980,0.0,399
100173,24,1,small,MS/MA/MEd,3,23,B,544,592,F,suburb,M,B,1980:2,1980,1.0,403
100173,24,2,small,,,,,582,579,F,suburb,M,B,1980:2,1980,2.0,409
100173,24,3,small,MS/MA/MEd,1,24,B,657,645,F,suburb,M,B,1980:2,1980,3.0,414
100188,57,1,reg,MS/MA/MEd,1,11,W,540,562,N,rural,F,W,1980:2,1980,1.0,984
100201,71,K,small,BS/BA,1,20,W,400,459,N,rural,M,W,1980:3,1980,0.0,1235
100201,71,1,reg,BS/BA,1,4,W,519,518,F,rural,M,W,1980:3,1980,1.0,1239
100201,71,2,reg,MS/MA/MEd,3,22,W,588,603,,rural,M,W,1980:3,1980,2.0,1243
100201,71,3,reg,MS/MA/MEd,2,14,W,590,655,N,rural,M,W,1980:3,1980,3.0,1247
100216,23,1,reg,BS/BA,APPR,2,W,445,484,F,suburb,M,B,1979:4,1979,1.0,387
100216,23,2,reg,BS/BA,1,2,B,520,502,F,suburb,M,B,1979:4,1979,2.0,390
100216,23,3,reg,BS/BA,1,10,B,527,528,F,suburb,M,B,1979:4,1979,3.0,395
10023,69,K,small,BS/BA,1,6,W,442,536,N,rural,M,W,1979:4,1979,0.0,1200
10023,69,1,small,BS/BA,1,13,W,527,549,N,rural,M,W,1979:4,1979,1.0,1203
10023,69,2,small,BS/BA,NOT,14,W,591,563,N,rural,M,W,1979:4,1979,2.0,1207
10023,69,3,small,BS/BA,1,18,W,633,603,N,rural,M,W,1979:4,1979,3.0,1211
100236,62,K,small,MS/MA/MEd,1,6,W,434,484,N,rural,M,W,1980:2,1980,0.0,1063
100236,62,1,small,BS/BA,1,12,W,505,567,,rural,M,W,1980:2,1980,1.0,1066
100236,62,2,small,MS/MA/MEd,NOT,6,W,602,599,N,rural,M,W,1980:2,1980,2.0,1069
100236,62,3,small,BS/BA,1,15,B,622,648,N,rural,M,W,1980:2,1980,3.0,1072
100255,29,3,reg,BS/BA,PROB,2,W,592,622,F,inner,M,B,1979:1,1979,3.0,513
100271,28,K,reg+A,MS/MA/MEd,1,10,B,433,500,F,inner,M,B,1980:1,1980,0.0,484
100271,28,1,reg+A,MS/MA/MEd,1,6,B,453,510,F,inner,M,B,1980:1,1980,1.0,490
100285,11,K,small,BS/BA,1,11,W,485,484,F,rural,F,W,1980:2,1980,0.0,175
100302,20,K,reg+A,BS/BA,APPR,1,B,463,528,N,suburb,F,B,1980:2,1980,0.0,312
