m,t,g,i,Y,ut,G,A,T,U,V,W,X,Z
1,1,f,89.0,54.0,1/1,1:1,f:1,89.0,0.0,0.0,0.0,0.0,0.0
1,1,f,105.0,55.0,1/1,1:1,f:1,105.0,0.0,0.0,0.0,0.0,0.0
1,1,f,108.0,54.0,1/1,1:1,f:1,108.0,0.0,0.0,0.0,0.0,0.0
1,1,f,116.0,64.0,1/1,1:1,f:1,116.0,0.0,0.0,0.0,0.0,0.0
1,1,m,95.0,59.0,1/1,1:1,m:1,0.0,0.0,0.0,95.0,0.0,0.0
1,1,m,103.0,58.0,1/1,1:1,m:1,0.0,0.0,0.0,103.0,0.0,0.0
1,1,m,91.0,42.0,1/1,1:1,m:1,0.0,0.0,0.0,91.0,0.0,0.0
1,1,m,82.0,48.0,1/1,1:1,m:1,0.0,0.0,0.0,82.0,0.0,0.0
1,2,f,83.0,48.0,1/2,2:1,f:1,83.0,0.0,0.0,0.0,0.0,0.0
1,2,f,103.0,56.0,1/2,2:1,f:1,103.0,0.0,0.0,0.0,0.0,0.0
1,2,f,123.0,67.0,1/2,2:1,f:1,123.0,0.0,0.0,0.0,0.0,0.0
1,2,f,103.0,54.0,1/2,2:1,f:1,103.0,0.0,0.0,0.0,0.0,0.0
1,2,m,118.0,65.0,1/2,2:1,m:1,0.0,0.0,0.0,118.0,0.0,0.0
1,2,m,101.0,65.0,1/2,2:1,m:1,0.0,0.0,0.0,101.0,0.0,0.0
1,2,m,101.0,50.0,1/2,2:1,m:1,0.0,0.0,0.0,101.0,0.0,0.0
1,2,m,82.0,55.0,1/2,2:1,m:1,0.0,0.0,0.0,82.0,0.0,0.0
1,3,f,115.0,71.0,1/3,3:1,f:1,115.0,0.0,0.0,0.0,0.0,0.0
1,3,f,91.0,66.0,1/3,3:1,f:1,91.0,0.0,0.0,0.0,0.0,0.0
1,3,f,109.0,69.0,1/3,3:1,f:1,109.0,0.0,0.0,0.0,0.0,0.0
1,3,f,85.0,59.0,1/3,3:1,f:1,85.0,0.0,0.0,0.0,0.0,0.0
1,3,m,98.0,76.0,1/3,3:1,m:1,0.0,0.0,0.0,98.0,0.0,0.0
1,3,m,84.0,64.0,1/3,3:1,m:1,0.0,0.0,0.0,84.0,0.0,0.0
1,3,m,91.0,63.0,1/3,3:1,m:1,0.0,0.0,0.0,91.0,0.0,0.0
1,3,m,110.0,74.0,1/3,3:1,m:1,0.0,0.0,0.0,110.0,0.0,0.0
1,4,f,120.0,75.0,1/4,4:1,f:1,120.0,0.0,0.0,0.0,0.0,0.0
1,4,f,98.0,60.0,1/4,4:1,f:1,98.0,0.0,0.0,0.0,0.0,0.0
1,4,f,99.0,64.0,1/4,4:1,f:1,99.0,0.0,0.0,0.0,0.0,0.0
1,4,f,91.0,59.0,1/4,4:1,f:1,91.0,0.0,0.0,0.0,0.0,0.0
1,4,m,80.0,55.0,1/4,4:1,m:1,0.0,0.0,0.0,80.0,0.0,0.0
1,4,m,112.0,70.0,1/4,4:1,m:1,0.0,0.0,0.0,112.0,0.0,0.0
1,4,m,105.0,63.0,1/4,4:1,m:1,0.0,0.0,0.0,105.0,0.0,0.0
1,4,m,94.0,62.0,1/4,4:1,m:1,0.0,0.0,0.0,94.0,0.0,0.0
2,1,f,97.0,67.0,2/1,1:2,f:2,0.0,97.0,0.0,0.0,0.0,0.0
2,1,f,105.0,74.0,2/1,1:2,f:2,0.0,105.0,0.0,0.0,0.0,0.0
2,1,f,120.0,78.0,2/1,1:2,f:2,0.0,120.0,0.0,0.0,0.0,0.0
2,1,f,92.0,69.0,2/1,1:2,f:2,0.0,92.0,0.0,0.0,0.0,0.0
