a,g,item,resp,id,b,s,m,r2
20,M,S1WantCurse,no,1,curse,other,want,N
11,M,S1WantCurse,no,2,curse,other,want,N
17,F,S1WantCurse,perhaps,3,curse,other,want,Y
21,F,S1WantCurse,perhaps,4,curse,other,want,Y
17,F,S1WantCurse,perhaps,5,curse,other,want,Y
21,F,S1WantCurse,yes,6,curse,other,want,Y
39,F,S1WantCurse,yes,7,curse,other,want,Y
21,F,S1WantCurse,no,8,curse,other,want,N
24,F,S1WantCurse,no,9,curse,other,want,N
16,F,S1WantCurse,yes,10,curse,other,want,Y
15,F,S1WantCurse,perhaps,11,curse,other,want,Y
18,F,S1WantCurse,yes,12,curse,other,want,Y
36,M,S1WantCurse,yes,13,curse,other,want,Y
22,M,S1WantCurse,yes,14,curse,other,want,Y
16,F,S1WantCurse,perhaps,15,curse,other,want,Y
18,F,S1WantCurse,perhaps,16,curse,other,want,Y
23,F,S1WantCurse,perhaps,17,curse,other,want,Y
16,F,S1WantCurse,perhaps,18,curse,other,want,Y
21,F,S1WantCurse,no,19,curse,other,want,N
25,F,S1WantCurse,perhaps,20,curse,other,want,Y
22,F,S1WantCurse,perhaps,21,curse,other,want,Y
15,F,S1WantCurse,yes,22,curse,other,want,Y
26,F,S1WantCurse,yes,23,curse,other,want,Y
13,F,S1WantCurse,perhaps,24,curse,other,want,Y
33,F,S1WantCurse,no,25,curse,other,want,N
17,F,S1WantCurse,no,26,curse,other,want,N
17,F,S1WantCurse,yes,27,curse,other,want,Y
22,F,S1WantCurse,yes,28,curse,other,want,Y
21,M,S1WantCurse,perhaps,29,curse,other,want,Y
17,F,S1WantCurse,yes,30,curse,other,want,Y
19,F,S1WantCurse,yes,31,curse,other,want,Y
18,M,S1WantCurse,perhaps,32,curse,other,want,Y
33,M,S1WantCurse,no,33,curse,other,want,N
19,F,S1WantCurse,perhaps,34,curse,other,want,Y
25,F,S1WantCurse,yes,35,curse,other,want,Y
17,F,S1WantCurse,perhaps,36,curse,other,want,Y
12,F,S1WantCurse,no,37,curse,other,want,N
14,F,S1WantCurse,no,38,curse,other,want,N
25,M,S1WantCurse,no,39,curse,other,want,N
22,M,S1WantCurse,no,40,curse,other,want,N
20,F,S1WantCurse,perhaps,41,curse,other,want,Y
25,F,S1WantCurse,no,42,curse,other,want,N
12,F,S1WantCurse,perhaps,43,curse,other,want,Y
16,F,S1WantCurse,no,44,curse,other,want,N
23,F,S1WantCurse,no,45,curse,other,want,N
19,F,S1WantCurse,yes,46,curse,other,want,Y
22,F,S1WantCurse,yes,47,curse,other,want,Y
15,F,S1WantCurse,no,48,curse,other,want,N
25,F,S1WantCurse,no,49,curse,other,want,N
35,F,S1WantCurse,yes,50,curse,other,want,Y
24,F,S1WantCurse,no,51,curse,other,want,N
24,F,S1WantCurse,no,52,curse,other,want,N
13,F,S1WantCurse,perhaps,53,curse,other,want,Y
26,F,S1WantCurse,perhaps,54,curse,other,want,Y
25,F,S1WantCurse,no,55,curse,other,want,N
20,F,S1WantCurse,yes,56,curse,other,want,Y
27,F,S1WantCurse,yes,57,curse,other,want,Y
19,F,S1WantCurse,perhaps,58,curse,other,want,Y
15,M,S1WantCurse,no,59,curse,other,want,N
18,F,S1WantCurse,no,60,curse,other,want,N
26,F,S1WantCurse,yes,61,curse,other,want,Y
26,F,S1WantCurse,yes,62,curse,other,want,Y
23,F,S1WantCurse,perhaps,63,curse,other,want,Y
20,F,S1WantCurse,perhaps,64,curse,other,want,Y
18,F,S1WantCurse,yes,65,curse,other,want,Y
30,F,S1WantCurse,no,66,curse,other,want,N
24,F,S1WantCurse,yes,67,curse,other,want,Y
22,F,S1WantCurse,yes,68,curse,other,want,Y
19,F,S1WantCurse,perhaps,69,curse,other,want,Y
13,F,S1WantCurse,perhaps,70,curse,other,want,Y
17,F,S1WantCurse,no,71,curse,other,want,N
29,F,S1WantCurse,yes,72,curse,other,want,Y
12,F,S1WantCurse,no,73,curse,other,want,N
19,F,S1WantCurse,perhaps,74,curse,other,want,Y
23,F,S1WantCurse,no,75,curse,other,want,N
11,F,S1WantCurse,perhaps,76,curse,other,want,Y
18,F,S1WantCurse,no,77,curse,other,want,N
22,F,S1WantCurse,perhaps,78,curse,other,want,Y
22,M,S1WantCurse,perhaps,79,curse,other,want,Y
19,M,S1WantCurse,yes,80,curse,other,want,Y
19,M,S1WantCurse,yes,81,curse,other,want,Y
21,F,S1WantCurse,yes,82,curse,other,want,Y
25,F,S1WantCurse,perhaps,83,curse,other,want,Y
19,F,S1WantCurse,yes,84,curse,other,want,Y
26,F,S1WantCurse,perhaps,85,curse,other,want,Y
18,F,S1WantCurse,no,86,curse,other,want,N
20,F,S1WantCurse,yes,87,curse,other,want,Y
17,F,S1WantCurse,yes,88,curse,other,want,Y
17,M,S1WantCurse,perhaps,89,curse,other,want,Y
16,F,S1WantCurse,yes,90,curse,other,want,Y
22,F,S1WantCurse,perhaps,91,curse,other,want,Y
16,F,S1WantCurse,no,92,curse,other,want,N
19,M,S1WantCurse,yes,93,curse,other,want,Y
20,M,S1WantCurse,yes,94,curse,other,want,Y
22,F,S1WantCurse,perhaps,95,curse,other,want,Y
18,F,S1WantCurse,perhaps,96,curse,other,want,Y
26,F,S1WantCurse,no,97,curse,other,want,N
23,F,S1WantCurse,perhaps,98,curse,other,want,Y
15,F,S1WantCurse,no,99,curse,other,want,N
18,F,S1WantCurse,perhaps,100,curse,other,want,Y
27,F,S1WantCurse,yes,101,curse,other,want,Y
21,F,S1WantCurse,no,102,curse,other,want,N
21,F,S1WantCurse,no,103,curse,other,want,N
15,F,S1WantCurse,yes,104,curse,other,want,Y
17,F,S1WantCurse,yes,105,curse,other,want,Y
15,F,S1WantCurse,perhaps,106,curse,other,want,Y
23,F,S1WantCurse,no,107,curse,other,want,N
23,F,S1WantCurse,perhaps,108,curse,other,want,Y
19,F,S1WantCurse,no,109,curse,other,want,N
21,F,S1WantCurse,perhaps,110,curse,other,want,Y
18,F,S1WantCurse,yes,111,curse,other,want,Y
18,F,S1WantCurse,yes,112,curse,other,want,Y
16,F,S1WantCurse,yes,113,curse,other,want,Y
20,F,S1WantCurse,yes,114,curse,other,want,Y
24,F,S1WantCurse,yes,115,curse,other,want,Y
26,F,S1WantCurse,yes,116,curse,other,want,Y
20,F,S1WantCurse,yes,117,curse,other,want,Y
22,F,S1WantCurse,yes,118,curse,other,want,Y
16,M,S1WantCurse,no,119,curse,other,want,N
18,M,S1WantCurse,no,120,curse,other,want,N
19,F,S1WantCurse,perhaps,121,curse,other,want,Y
25,F,S1WantCurse,yes,122,curse,other,want,Y
22,F,S1WantCurse,yes,123,curse,other,want,Y
23,M,S1WantCurse,yes,124,curse,other,want,Y
21,F,S1WantCurse,perhaps,125,curse,other,want,Y
13,F,S1WantCurse,yes,126,curse,other,want,Y
16,F,S1WantCurse,yes,127,curse,other,want,Y
21,F,S1WantCurse,yes,128,curse,other,want,Y
15,F,S1WantCurse,perhaps,129,curse,other,want,Y
23,F,S1WantCurse,yes,130,curse,other,want,Y
17,F,S1WantCurse,yes,131,curse,other,want,Y
14,F,S1WantCurse,perhaps,132,curse,other,want,Y
29,F,S1WantCurse,no,133,curse,other,want,N
24,F,S1WantCurse,no,134,curse,other,want,N
15,F,S1WantCurse,yes,135,curse,other,want,Y
25,F,S1WantCurse,no,136,curse,other,want,N
17,F,S1WantCurse,no,137,curse,other,want,N
17,M,S1WantCurse,no,138,curse,other,want,N
28,M,S1WantCurse,perhaps,139,curse,other,want,Y
15,F,S1WantCurse,no,140,curse,other,want,N
19,F,S1WantCurse,yes,141,curse,other,want,Y
26,F,S1WantCurse,yes,142,curse,other,want,Y
18,F,S1WantCurse,yes,143,curse,other,want,Y
11,F,S1WantCurse,yes,144,curse,other,want,Y
25,F,S1WantCurse,yes,145,curse,other,want,Y
28,F,S1WantCurse,yes,146,curse,other,want,Y
25,F,S1WantCurse,yes,147,curse,other,want,Y
14,F,S1WantCurse,no,148,curse,other,want,N
17,F,S1WantCurse,yes,149,curse,other,want,Y
18,F,S1WantCurse,no,150,curse,other,want,N
22,M,S1WantCurse,perhaps,151,curse,other,want,Y
17,F,S1WantCurse,yes,152,curse,other,want,Y
15,M,S1WantCurse,yes,153,curse,other,want,Y
16,M,S1WantCurse,perhaps,154,curse,other,want,Y
22,M,S1WantCurse,perhaps,155,curse,other,want,Y
21,F,S1WantCurse,perhaps,156,curse,other,want,Y
19,F,S1WantCurse,yes,157,curse,other,want,Y
21,F,S1WantCurse,yes,158,curse,other,want,Y
16,F,S1WantCurse,no,159,curse,other,want,N
17,F,S1WantCurse,yes,160,curse,other,want,Y
15,M,S1WantCurse,perhaps,161,curse,other,want,Y
27,M,S1WantCurse,perhaps,162,curse,other,want,Y
21,M,S1WantCurse,yes,163,curse,other,want,Y
19,F,S1WantCurse,perhaps,164,curse,other,want,Y
17,F,S1WantCurse,yes,165,curse,other,want,Y
