Y,A,G,U
85.0,CONT,CONT/1,1.0
85.0,CONT,CONT/1,3.0
86.0,CONT,CONT/1,5.0
85.0,CONT,CONT/1,7.0
87.0,CONT,CONT/1,9.0
86.0,CONT,CONT/1,11.0
87.0,CONT,CONT/1,13.0
80.0,CONT,CONT/2,1.0
79.0,CONT,CONT/2,3.0
79.0,CONT,CONT/2,5.0
78.0,CONT,CONT/2,7.0
78.0,CONT,CONT/2,9.0
79.0,CONT,CONT/2,11.0
78.0,CONT,CONT/2,13.0
78.0,CONT,CONT/3,1.0
77.0,CONT,CONT/3,3.0
77.0,CONT,CONT/3,5.0
77.0,CONT,CONT/3,7.0
76.0,CONT,CONT/3,9.0
76.0,CONT,CONT/3,11.0
77.0,CONT,CONT/3,13.0
84.0,CONT,CONT/4,1.0
84.0,CONT,CONT/4,3.0
85.0,CONT,CONT/4,5.0
84.0,CONT,CONT/4,7.0
83.0,CONT,CONT/4,9.0
84.0,CONT,CONT/4,11.0
85.0,CONT,CONT/4,13.0
80.0,CONT,CONT/5,1.0
81.0,CONT,CONT/5,3.0
80.0,CONT,CONT/5,5.0
80.0,CONT,CONT/5,7.0
79.0,CONT,CONT/5,9.0
79.0,CONT,CONT/5,11.0
80.0,CONT,CONT/5,13.0
76.0,CONT,CONT/6,1.0
78.0,CONT,CONT/6,3.0
77.0,CONT,CONT/6,5.0
78.0,CONT,CONT/6,7.0
78.0,CONT,CONT/6,9.0
77.0,CONT,CONT/6,11.0
74.0,CONT,CONT/6,13.0
79.0,CONT,CONT/7,1.0
79.0,CONT,CONT/7,3.0
80.0,CONT,CONT/7,5.0
79.0,CONT,CONT/7,7.0
80.0,CONT,CONT/7,9.0
79.0,CONT,CONT/7,11.0
81.0,CONT,CONT/7,13.0
76.0,CONT,CONT/8,1.0
76.0,CONT,CONT/8,3.0
76.0,CONT,CONT/8,5.0
75.0,CONT,CONT/8,7.0
75.0,CONT,CONT/8,9.0
74.0,CONT,CONT/8,11.0
74.0,CONT,CONT/8,13.0
77.0,CONT,CONT/9,1.0
78.0,CONT,CONT/9,3.0
78.0,CONT,CONT/9,5.0
80.0,CONT,CONT/9,7.0
80.0,CONT,CONT/9,9.0
81.0,CONT,CONT/9,11.0
80.0,CONT,CONT/9,13.0
79.0,CONT,CONT/10,1.0
79.0,CONT,CONT/10,3.0
79.0,CONT,CONT/10,5.0
79.0,CONT,CONT/10,7.0
77.0,CONT,CONT/10,9.0
78.0,CONT,CONT/10,11.0
79.0,CONT,CONT/10,13.0
81.0,CONT,CONT/11,1.0
81.0,CONT,CONT/11,3.0
80.0,CONT,CONT/11,5.0
80.0,CONT,CONT/11,7.0
80.0,CONT,CONT/11,9.0
81.0,CONT,CONT/11,11.0
82.0,CONT,CONT/11,13.0
77.0,CONT,CONT/12,1.0
76.0,CONT,CONT/12,3.0
77.0,CONT,CONT/12,5.0
78.0,CONT,CONT/12,7.0
77.0,CONT,CONT/12,9.0
77.0,CONT,CONT/12,11.0
77.0,CONT,CONT/12,13.0
82.0,CONT,CONT/13,1.0
83.0,CONT,CONT/13,3.0
83.0,CONT,CONT/13,5.0
83.0,CONT,CONT/13,7.0
84.0,CONT,CONT/13,9.0
83.0,CONT,CONT/13,11.0
83.0,CONT,CONT/13,13.0
84.0,CONT,CONT/14,1.0
84.0,CONT,CONT/14,3.0
83.0,CONT,CONT/14,5.0
82.0,CONT,CONT/14,7.0
81.0,CONT,CONT/14,9.0
79.0,CONT,CONT/14,11.0
78.0,CONT,CONT/14,13.0
79.0,CONT,CONT/15,1.0
81.0,CONT,CONT/15,3.0
81.0,CONT,CONT/15,5.0
82.0,CONT,CONT/15,7.0
82.0,CONT,CONT/15,9.0
82.0,CONT,CONT/15,11.0
80.0,CONT,CONT/15,13.0
79.0,CONT,CONT/16,1.0
79.0,CONT,CONT/16,3.0
78.0,CONT,CONT/16,5.0
77.0,CONT,CONT/16,7.0
77.0,CONT,CONT/16,9.0
78.0,CONT,CONT/16,11.0
78.0,CONT,CONT/16,13.0
83.0,CONT,CONT/17,1.0
82.0,CONT,CONT/17,3.0
83.0,CONT,CONT/17,5.0
85.0,CONT,CONT/17,7.0
84.0,CONT,CONT/17,9.0
83.0,CONT,CONT/17,11.0
82.0,CONT,CONT/17,13.0
78.0,CONT,CONT/18,1.0
78.0,CONT,CONT/18,3.0
79.0,CONT,CONT/18,5.0
79.0,CONT,CONT/18,7.0
78.0,CONT,CONT/18,9.0
77.0,CONT,CONT/18,11.0
77.0,CONT,CONT/18,13.0
80.0,CONT,CONT/19,1.0
80.0,CONT,CONT/19,3.0
79.0,CONT,CONT/19,5.0
79.0,CONT,CONT/19,7.0
80.0,CONT,CONT/19,9.0
80.0,CONT,CONT/19,11.0
80.0,CONT,CONT/19,13.0
78.0,CONT,CONT/20,1.0
79.0,CONT,CONT/20,3.0
80.0,CONT,CONT/20,5.0
81.0,CONT,CONT/20,7.0
80.0,CONT,CONT/20,9.0
79.0,CONT,CONT/20,11.0
80.0,CONT,CONT/20,13.0
79.0,RI,RI/1,1.0
79.0,RI,RI/1,3.0
79.0,RI,RI/1,5.0
80.0,RI,RI/1,7.0
80.0,RI,RI/1,9.0
78.0,RI,RI/1,11.0
80.0,RI,RI/1,13.0
83.0,RI,RI/2,1.0
83.0,RI,RI/2,3.0
85.0,RI,RI/2,5.0
85.0,RI,RI/2,7.0
86.0,RI,RI/2,9.0
87.0,RI,RI/2,11.0
87.0,RI,RI/2,13.0
81.0,RI,RI/3,1.0
83.0,RI,RI/3,3.0
82.0,RI,RI/3,5.0
82.0,RI,RI/3,7.0
83.0,RI,RI/3,9.0
83.0,RI,RI/3,11.0
82.0,RI,RI/3,13.0
81.0,RI,RI/4,1.0
81.0,RI,RI/4,3.0
81.0,RI,RI/4,5.0
82.0,RI,RI/4,7.0
82.0,RI,RI/4,9.0
83.0,RI,RI/4,11.0
81.0,RI,RI/4,13.0
80.0,RI,RI/5,1.0
81.0,RI,RI/5,3.0
82.0,RI,RI/5,5.0
82.0,RI,RI/5,7.0
82.0,RI,RI/5,9.0
84.0,RI,RI/5,11.0
86.0,RI,RI/5,13.0
76.0,RI,RI/6,1.0
76.0,RI,RI/6,3.0
76.0,RI,RI/6,5.0
76.0,RI,RI/6,7.0
76.0,RI,RI/6,9.0
76.0,RI,RI/6,11.0
75.0,RI,RI/6,13.0
81.0,RI,RI/7,1.0
84.0,RI,RI/7,3.0
83.0,RI,RI/7,5.0
83.0,RI,RI/7,7.0
85.0,RI,RI/7,9.0
85.0,RI,RI/7,11.0
85.0,RI,RI/7,13.0
77.0,RI,RI/8,1.0
78.0,RI,RI/8,3.0
79.0,RI,RI/8,5.0
79.0,RI,RI/8,7.0
81.0,RI,RI/8,9.0
82.0,RI,RI/8,11.0
81.0,RI,RI/8,13.0
84.0,RI,RI/9,1.0
85.0,RI,RI/9,3.0
87.0,RI,RI/9,5.0
89.0,RI,RI/9,7.0
88.0,RI,RI/9,9.0
85.0,RI,RI/9,11.0
86.0,RI,RI/9,13.0
74.0,RI,RI/10,1.0
75.0,RI,RI/10,3.0
78.0,RI,RI/10,5.0
78.0,RI,RI/10,7.0
79.0,RI,RI/10,9.0
78.0,RI,RI/10,11.0
78.0,RI,RI/10,13.0
76.0,RI,RI/11,1.0
77.0,RI,RI/11,3.0
77.0,RI,RI/11,5.0
77.0,RI,RI/11,7.0
77.0,RI,RI/11,9.0
76.0,RI,RI/11,11.0
76.0,RI,RI/11,13.0
84.0,RI,RI/12,1.0
84.0,RI,RI/12,3.0
86.0,RI,RI/12,5.0
85.0,RI,RI/12,7.0
86.0,RI,RI/12,9.0
86.0,RI,RI/12,11.0
86.0,RI,RI/12,13.0
79.0,RI,RI/13,1.0
80.0,RI,RI/13,3.0
79.0,RI,RI/13,5.0
80.0,RI,RI/13,7.0
80.0,RI,RI/13,9.0
82.0,RI,RI/13,11.0
82.0,RI,RI/13,13.0
78.0,RI,RI/14,1.0
78.0,RI,RI/14,3.0
77.0,RI,RI/14,5.0
76.0,RI,RI/14,7.0
75.0,RI,RI/14,9.0
75.0,RI,RI/14,11.0
76.0,RI,RI/14,13.0
78.0,RI,RI/15,1.0
80.0,RI,RI/15,3.0
77.0,RI,RI/15,5.0
77.0,RI,RI/15,7.0
75.0,RI,RI/15,9.0
75.0,RI,RI/15,11.0
75.0,RI,RI/15,13.0
84.0,RI,RI/16,1.0
85.0,RI,RI/16,3.0
85.0,RI,RI/16,5.0
85.0,RI,RI/16,7.0
85.0,RI,RI/16,9.0
83.0,RI,RI/16,11.0
82.0,RI,RI/16,13.0
84.0,WI,WI/1,1.0
85.0,WI,WI/1,3.0
84.0,WI,WI/1,5.0
83.0,WI,WI/1,7.0
83.0,WI,WI/1,9.0
83.0,WI,WI/1,11.0
84.0,WI,WI/1,13.0
74.0,WI,WI/2,1.0
75.0,WI,WI/2,3.0
75.0,WI,WI/2,5.0
76.0,WI,WI/2,7.0
75.0,WI,WI/2,9.0
76.0,WI,WI/2,11.0
76.0,WI,WI/2,13.0
83.0,WI,WI/3,1.0
84.0,WI,WI/3,3.0
82.0,WI,WI/3,5.0
81.0,WI,WI/3,7.0
83.0,WI,WI/3,9.0
83.0,WI,WI/3,11.0
82.0,WI,WI/3,13.0
86.0,WI,WI/4,1.0
87.0,WI,WI/4,3.0
87.0,WI,WI/4,5.0
87.0,WI,WI/4,7.0
87.0,WI,WI/4,9.0
87.0,WI,WI/4,11.0
86.0,WI,WI/4,13.0
82.0,WI,WI/5,1.0
83.0,WI,WI/5,3.0
84.0,WI,WI/5,5.0
85.0,WI,WI/5,7.0
84.0,WI,WI/5,9.0
85.0,WI,WI/5,11.0
86.0,WI,WI/5,13.0
79.0,WI,WI/6,1.0
80.0,WI,WI/6,3.0
79.0,WI,WI/6,5.0
79.0,WI,WI/6,7.0
80.0,WI,WI/6,9.0
79.0,WI,WI/6,11.0
80.0,WI,WI/6,13.0
79.0,WI,WI/7,1.0
79.0,WI,WI/7,3.0
79.0,WI,WI/7,5.0
