G,Y,U
1,41.0,10.0
1,69.0,57.0
1,53.0,32.0
1,66.0,52.0
1,64.0,47.0
1,64.0,48.0
2,49.0,30.0
2,44.0,21.0
2,44.0,20.0
2,46.0,26.0
2,57.0,44.0
2,42.0,19.0
3,69.0,50.0
3,62.0,40.0
3,50.0,23.0
3,76.0,58.0
3,48.0,21.0
3,55.0,30.0
4,48.0,22.0
4,60.0,40.0
4,45.0,17.0
4,47.0,21.0
4,62.0,44.0
4,43.0,13.0
5,65.0,49.0
5,63.0,44.0
5,71.0,57.0
5,68.0,51.0
5,52.0,27.0
5,68.0,52.0
6,76.0,55.0
6,46.0,11.0
6,45.0,11.0
6,67.0,43.0
6,65.0,38.0
6,79.0,60.0
7,35.0,17.0
7,37.0,20.0
7,30.0,11.0
7,30.0,10.0
7,57.0,48.0
7,49.0,36.0
8,75.0,57.0
8,64.0,41.0
8,46.0,15.0
8,54.0,28.0
8,52.0,23.0
8,52.0,23.0
9,51.0,26.0
9,63.0,44.0
9,42.0,13.0
9,61.0,40.0
9,67.0,48.0
9,69.0,53.0
10,60.0,37.0
10,73.0,58.0
10,66.0,44.0
10,71.0,53.0
10,67.0,48.0
10,74.0,59.0
