district,person,year,score,party,class,age,religion,male
A0,A0,1,7,A,A,65,A,M
A0,A0,2,3,A,A,65,A,M
A0,A0,3,4,A,A,65,A,M
A0,A0,4,7,A,A,65,A,M
A0,A1,1,3,B,A,31,A,F
A0,A1,2,4,C,B,31,A,F
A0,A1,3,6,A,A,31,A,F
A0,A1,4,3,D,B,31,A,F
A1,A2,1,7,B,B,33,B,M
A1,A2,2,7,D,C,33,B,M
A1,A2,3,7,E,A,33,B,M
A1,A2,4,7,E,C,33,B,M
A1,A3,1,7,B,C,43,B,F
A1,A3,2,7,C,C,43,B,F
A1,A3,3,7,E,C,43,B,F
A1,A3,4,7,E,C,43,B,F
A1,A4,1,3,C,B,48,A,M
A1,A4,2,3,C,B,48,A,M
A1,A4,3,3,C,B,48,A,M
A1,A4,4,3,C,B,48,A,M
A1,A5,1,6,A,A,55,B,M
A1,A5,2,5,A,A,55,B,M
A1,A5,3,7,A,A,55,B,M
A1,A5,4,7,A,A,55,B,M
A1,A6,1,7,C,C,59,A,M
A1,A6,2,3,E,C,59,A,M
A1,A6,3,6,E,C,59,A,M
A1,A6,4,6,E,A,59,A,M
A2,A7,1,7,C,A,45,A,F
A2,A7,2,7,D,A,45,A,F
A2,A7,3,7,C,A,45,A,F
A2,A7,4,7,E,A,45,A,F
A2,A8,1,7,A,C,63,A,F
A2,A8,2,7,A,A,63,A,F
A2,A8,3,6,A,B,63,A,F
A2,A8,4,7,A,B,63,A,F
A2,A9,1,4,C,C,24,C,F
A2,A9,2,5,C,C,24,C,F
A2,A9,3,6,C,A,24,C,F
A2,A9,4,7,C,A,24,C,F
A3,AA,1,3,E,A,49,B,M
A3,AA,2,7,E,A,49,B,M
A3,AA,3,3,E,A,49,B,M
A3,AA,4,3,E,A,49,B,M
A3,AB,1,3,C,C,50,C,F
A3,AB,2,3,C,C,50,C,F
A3,AB,3,7,C,C,50,C,F
A3,AB,4,7,C,C,50,C,F
A3,AC,1,6,A,A,51,A,F
A3,AC,2,4,A,A,51,A,F
A3,AC,3,3,A,A,51,A,F
A3,AC,4,4,A,A,51,A,F
A3,AD,1,6,C,A,21,B,M
A3,AD,2,7,A,A,21,B,M
A3,AD,3,6,A,A,21,B,M
A3,AD,4,7,A,C,21,B,M
A3,AE,1,7,A,A,27,D,M
A3,AE,2,5,A,C,27,D,M
A3,AE,3,7,A,C,27,D,M
A3,AE,4,7,A,C,27,D,M
A3,AF,1,4,C,C,72,A,F
A3,AF,2,3,C,B,72,A,F
A3,AF,3,5,C,B,72,A,F
A3,AF,4,5,C,C,72,A,F
A4,AG,1,5,A,A,66,C,M
A4,AG,2,3,A,A,66,C,M
A4,AG,3,3,A,A,66,C,M
A4,AG,4,3,A,A,66,C,M
A4,AH,1,7,A,A,35,A,F
A4,AH,2,7,A,A,35,A,F
A4,AH,3,7,A,A,35,A,F
A4,AH,4,6,A,A,35,A,F
A4,AI,1,1,E,A,54,C,F
A4,AI,2,3,E,A,54,C,F
A4,AI,3,3,E,A,54,C,F
A4,AI,4,3,E,A,54,C,F
A4,AJ,1,7,A,A,34,B,F
A4,AJ,2,6,A,A,34,B,F
A4,AJ,3,7,A,A,34,B,F
A4,AJ,4,7,A,A,34,B,F
A5,AK,1,1,B,C,18,D,M
A5,AK,2,3,D,A,18,D,M
A5,AK,3,5,D,A,18,D,M
A5,AK,4,3,D,A,18,D,M
A5,AL,1,4,C,A,28,B,M
A5,AL,2,4,C,A,28,B,M
A5,AL,3,7,C,A,28,B,M
A5,AL,4,5,C,A,28,B,M
A6,AM,1,3,A,C,51,C,F
A6,AM,2,3,A,C,51,C,F
A6,AM,3,3,E,C,51,C,F
A6,AM,4,3,E,A,51,C,F
A6,AN,1,1,A,A,56,C,M
A6,AN,2,3,A,A,56,C,M
A6,AN,3,2,D,A,56,C,M
A6,AN,4,1,D,C,56,C,M
A6,AO,1,7,A,A,36,B,M
A6,AO,2,7,A,A,36,B,M
A6,AO,3,7,A,A,36,B,M
A6,AO,4,7,A,A,36,B,M
A6,AP,1,5,A,B,27,D,F
A6,AP,2,3,D,C,27,D,F
A6,AP,3,7,A,C,27,D,F
A6,AP,4,6,A,A,27,D,F
A6,AQ,1,6,C,C,33,C,M
A6,AQ,2,3,C,C,33,C,M
A6,AQ,3,7,C,C,33,C,M
A6,AQ,4,6,C,C,33,C,M
A6,AR,1,7,E,A,24,B,F
A6,AR,2,5,A,A,24,B,F
A6,AR,3,3,A,A,24,B,F
A6,AR,4,6,A,A,24,B,F
A6,AS,1,5,A,C,65,C,F
A6,AS,2,5,A,A,65,C,F
A6,AS,3,4,A,C,65,C,F
A6,AS,4,5,E,A,65,C,F
A7,AT,1,5,A,A,19,B,F
A7,AT,2,3,A,A,19,B,F
A7,AT,3,3,A,B,19,B,F
A7,AT,4,3,A,A,19,B,F
A7,AU,1,6,C,A,31,B,M
A7,AU,2,5,C,A,31,B,M
A7,AU,3,6,C,A,31,B,M
A7,AU,4,6,C,A,31,B,M
A7,AV,1,3,A,A,65,C,F
A7,AV,2,4,A,A,65,C,F
A7,AV,3,3,A,A,65,C,F
A7,AV,4,3,A,A,65,C,F
