days,age,slow,aborig,girl
2,1,Y,Y,M
11,1,Y,Y,M
14,1,Y,Y,M
5,1,N,Y,M
5,1,N,Y,M
13,1,N,Y,M
20,1,N,Y,M
22,1,N,Y,M
6,2,Y,Y,M
6,2,Y,Y,M
15,2,Y,Y,M
7,2,N,Y,M
14,2,N,Y,M
6,3,Y,Y,M
32,3,Y,Y,M
53,3,Y,Y,M
57,3,Y,Y,M
14,3,N,Y,M
16,3,N,Y,M
16,3,N,Y,M
17,3,N,Y,M
40,3,N,Y,M
43,3,N,Y,M
46,3,N,Y,M
8,4,N,Y,M
23,4,N,Y,M
23,4,N,Y,M
28,4,N,Y,M
34,4,N,Y,M
36,4,N,Y,M
38,4,N,Y,M
3,1,Y,Y,F
5,1,N,Y,F
11,1,N,Y,F
24,1,N,Y,F
45,1,N,Y,F
5,2,Y,Y,F
6,2,Y,Y,F
6,2,Y,Y,F
9,2,Y,Y,F
13,2,Y,Y,F
23,2,Y,Y,F
25,2,Y,Y,F
32,2,Y,Y,F
53,2,Y,Y,F
54,2,Y,Y,F
5,2,N,Y,F
5,2,N,Y,F
11,2,N,Y,F
17,2,N,Y,F
19,2,N,Y,F
8,3,Y,Y,F
13,3,Y,Y,F
14,3,Y,Y,F
20,3,Y,Y,F
47,3,Y,Y,F
48,3,Y,Y,F
60,3,Y,Y,F
81,3,Y,Y,F
2,3,N,Y,F
0,4,N,Y,F
2,4,N,Y,F
3,4,N,Y,F
5,4,N,Y,F
10,4,N,Y,F
14,4,N,Y,F
21,4,N,Y,F
36,4,N,Y,F
40,4,N,Y,F
6,1,Y,N,M
17,1,Y,N,M
67,1,Y,N,M
0,1,N,N,M
0,1,N,N,M
2,1,N,N,M
7,1,N,N,M
11,1,N,N,M
12,1,N,N,M
0,2,Y,N,M
0,2,Y,N,M
5,2,Y,N,M
5,2,Y,N,M
5,2,Y,N,M
11,2,Y,N,M
17,2,Y,N,M
3,2,N,N,M
4,2,N,N,M
22,3,Y,N,M
30,3,Y,N,M
36,3,Y,N,M
8,3,N,N,M
0,3,N,N,M
1,3,N,N,M
5,3,N,N,M
7,3,N,N,M
16,3,N,N,M
27,3,N,N,M
0,4,N,N,M
30,4,N,N,M
10,4,N,N,M
14,4,N,N,M
27,4,N,N,M
41,4,N,N,M
69,4,N,N,M
25,1,Y,N,F
10,1,N,N,F
11,1,N,N,F
20,1,N,N,F
33,1,N,N,F
5,2,Y,N,F
7,2,Y,N,F
0,2,Y,N,F
1,2,Y,N,F
5,2,Y,N,F
5,2,Y,N,F
5,2,Y,N,F
5,2,Y,N,F
7,2,Y,N,F
11,2,Y,N,F
15,2,Y,N,F
5,2,N,N,F
14,2,N,N,F
6,2,N,N,F
6,2,N,N,F
7,2,N,N,F
28,2,N,N,F
0,3,Y,N,F
5,3,Y,N,F
14,3,Y,N,F
2,3,Y,N,F
2,3,Y,N,F
3,3,Y,N,F
8,3,Y,N,F
10,3,Y,N,F
12,3,Y,N,F
1,3,N,N,F
1,4,N,N,F
9,4,N,N,F
22,4,N,N,F
3,4,N,N,F
3,4,N,N,F
5,4,N,N,F
15,4,N,N,F
18,4,N,N,F
22,4,N,N,F
37,4,N,N,F
