year,grade,math,retained,female,black,hispanic,size,lowinc,mobility,school,child
0.5,2,1.146,N,M,N,Y,380,40.3,12.5,A0,A0
1.5,3,1.134,N,M,N,Y,380,40.3,12.5,A0,A0
2.5,4,2.3,N,M,N,Y,380,40.3,12.5,A0,A0
-1.5,0,-1.303,N,M,N,N,380,40.3,12.5,A0,A1
-0.5,1,0.439,N,M,N,N,380,40.3,12.5,A0,A1
0.5,2,2.43,N,M,N,N,380,40.3,12.5,A0,A1
1.5,3,2.254,N,M,N,N,380,40.3,12.5,A0,A1
2.5,4,3.873,N,M,N,N,380,40.3,12.5,A0,A1
-1.5,0,-1.384,N,M,N,Y,380,40.3,12.5,A0,A2
-0.5,1,0.338,N,M,N,Y,380,40.3,12.5,A0,A2
0.5,2,1.146,N,M,N,Y,380,40.3,12.5,A0,A2
1.5,3,1.839,N,M,N,Y,380,40.3,12.5,A0,A2
2.5,4,3.055,N,M,N,Y,380,40.3,12.5,A0,A2
-1.5,0,-0.733,N,M,N,N,380,40.3,12.5,A0,A3
-0.5,1,1.043,N,M,N,N,380,40.3,12.5,A0,A3
0.5,2,2.14,N,M,N,N,380,40.3,12.5,A0,A3
1.5,3,2.814,N,M,N,N,380,40.3,12.5,A0,A3
2.5,4,3.544,N,M,N,N,380,40.3,12.5,A0,A3
-1.5,0,-0.733,N,M,N,Y,380,40.3,12.5,A0,A4
-0.5,1,0.148,N,M,N,Y,380,40.3,12.5,A0,A4
0.5,2,2.79,N,M,N,Y,380,40.3,12.5,A0,A4
-2.5,0,-3.068,N,M,N,N,380,40.3,12.5,A0,A5
-1.5,0,-1.13,Y,M,N,N,380,40.3,12.5,A0,A5
-0.5,1,-0.921,N,M,N,N,380,40.3,12.5,A0,A5
0.5,2,0.463,N,M,N,N,380,40.3,12.5,A0,A5
1.5,3,0.021,N,M,N,N,380,40.3,12.5,A0,A5
2.5,4,2.035,N,M,N,N,380,40.3,12.5,A0,A5
-2.5,0,-2.732,N,M,N,N,380,40.3,12.5,A0,A6
-1.5,0,-2.097,Y,M,N,N,380,40.3,12.5,A0,A6
-0.5,1,-0.988,N,M,N,N,380,40.3,12.5,A0,A6
0.5,2,0.227,N,M,N,N,380,40.3,12.5,A0,A6
1.5,3,0.403,N,M,N,N,380,40.3,12.5,A0,A6
2.5,4,1.623,N,M,N,N,380,40.3,12.5,A0,A6
-1.5,0,-1.83,N,M,N,N,380,40.3,12.5,A0,A7
-0.5,1,-0.785,N,M,N,N,380,40.3,12.5,A0,A7
0.5,2,0.716,N,M,N,N,380,40.3,12.5,A0,A7
1.5,3,1.202,N,M,N,N,380,40.3,12.5,A0,A7
2.5,4,3.055,N,M,N,N,380,40.3,12.5,A0,A7
-1.5,0,-1.541,N,F,N,N,380,40.3,12.5,A0,A8
-0.5,1,-0.273,N,F,N,N,380,40.3,12.5,A0,A8
0.5,2,-0.522,N,F,N,N,380,40.3,12.5,A0,A8
1.5,3,0.459,N,F,N,N,380,40.3,12.5,A0,A8
2.5,4,2.099,N,F,N,N,380,40.3,12.5,A0,A8
-1.5,0,-1.76,N,F,N,Y,380,40.3,12.5,A0,A9
-0.5,1,-0.921,N,F,N,Y,380,40.3,12.5,A0,A9
0.5,2,0.852,N,F,N,Y,380,40.3,12.5,A0,A9
1.5,3,1.748,N,F,N,Y,380,40.3,12.5,A0,A9
2.5,4,2.6,N,F,N,Y,380,40.3,12.5,A0,A9
-1.5,0,-1.83,N,M,N,Y,380,40.3,12.5,A0,AA
-0.5,1,-0.501,N,M,N,Y,380,40.3,12.5,A0,AA
0.5,2,0.114,N,M,N,Y,380,40.3,12.5,A0,AA
1.5,3,1.661,N,M,N,Y,380,40.3,12.5,A0,AA
2.5,4,2.164,N,M,N,Y,380,40.3,12.5,A0,AA
-1.5,0,-2.351,N,F,N,N,380,40.3,12.5,A0,AB
-0.5,1,-1.505,N,F,N,N,380,40.3,12.5,A0,AB
0.5,2,-0.725,N,F,N,N,380,40.3,12.5,A0,AB
1.5,3,0.021,N,F,N,N,380,40.3,12.5,A0,AB
2.5,4,1.514,N,F,N,N,380,40.3,12.5,A0,AB
-1.5,0,-1.218,N,M,N,Y,380,40.3,12.5,A0,AC
-0.5,1,-0.273,N,M,N,Y,380,40.3,12.5,A0,AC
0.5,2,0.463,N,M,N,Y,380,40.3,12.5,A0,AC
1.5,3,0.573,N,M,N,Y,380,40.3,12.5,A0,AC
2.5,4,1.736,N,M,N,Y,380,40.3,12.5,A0,AC
-1.5,0,-1.966,N,F,N,N,380,40.3,12.5,A0,AD
-0.5,1,-0.574,N,F,N,N,380,40.3,12.5,A0,AD
0.5,2,0.227,N,F,N,N,380,40.3,12.5,A0,AD
1.5,3,1.748,N,F,N,N,380,40.3,12.5,A0,AD
2.5,4,2.231,N,F,N,N,380,40.3,12.5,A0,AD
-1.5,0,-2.718,N,M,N,Y,380,40.3,12.5,A0,AE
-0.5,1,-1.378,N,M,N,Y,380,40.3,12.5,A0,AE
0.5,2,-0.623,N,M,N,Y,380,40.3,12.5,A0,AE
1.5,3,0.811,N,M,N,Y,380,40.3,12.5,A0,AE
2.5,4,1.973,N,M,N,Y,380,40.3,12.5,A0,AE
-1.5,0,-2.96,N,F,N,Y,380,40.3,12.5,A0,AF
-0.5,1,-1.25,N,F,N,Y,380,40.3,12.5,A0,AF
0.5,2,-0.725,N,F,N,Y,380,40.3,12.5,A0,AF
1.5,3,0.128,N,F,N,Y,380,40.3,12.5,A0,AF
2.5,4,1.514,N,F,N,Y,380,40.3,12.5,A0,AF
-2.5,0,-2.732,N,F,N,Y,380,40.3,12.5,A0,AG
-1.5,0,-1.898,Y,F,N,Y,380,40.3,12.5,A0,AG
-0.5,1,-0.921,N,F,N,Y,380,40.3,12.5,A0,AG
0.5,2,0.587,N,F,N,Y,380,40.3,12.5,A0,AG
1.5,3,1.578,N,F,N,Y,380,40.3,12.5,A0,AG
2.5,4,2.3,N,F,N,Y,380,40.3,12.5,A0,AG
0.5,2,0.003,N,F,N,Y,380,40.3,12.5,A0,AH
1.5,3,0.573,N,F,N,Y,380,40.3,12.5,A0,AH
2.5,4,1.148,N,F,N,Y,380,40.3,12.5,A0,AH
-1.5,0,-0.733,N,F,Y,N,380,40.3,12.5,A0,AI
-0.5,1,-0.645,N,F,Y,N,380,40.3,12.5,A0,AI
0.5,2,1.146,N,F,Y,N,380,40.3,12.5,A0,AI
-1.5,0,-0.733,N,M,Y,N,380,40.3,12.5,A0,AJ
-0.5,1,-0.112,N,M,Y,N,380,40.3,12.5,A0,AJ
0.5,2,1.146,N,M,Y,N,380,40.3,12.5,A0,AJ
-1.5,0,-2.474,N,M,Y,N,380,40.3,12.5,A0,AK
-0.5,1,-1.505,N,M,Y,N,380,40.3,12.5,A0,AK
0.5,2,-0.623,N,M,Y,N,380,40.3,12.5,A0,AK
1.5,3,-0.35,N,M,Y,N,380,40.3,12.5,A0,AK
-2.5,0,-2.188,N,M,N,Y,502,83.1,18.6,A1,AL
-1.5,0,-1.541,Y,M,N,Y,502,83.1,18.6,A1,AL
-0.5,1,-0.351,N,M,N,Y,502,83.1,18.6,A1,AL
0.5,2,1.309,N,M,N,Y,502,83.1,18.6,A1,AL
1.5,3,1.421,N,M,N,Y,502,83.1,18.6,A1,AL
2.5,4,2.682,N,M,N,Y,502,83.1,18.6,A1,AL
-1.5,0,-3.395,N,F,N,Y,502,83.1,18.6,A1,AM
-0.5,0,-3.232,Y,F,N,Y,502,83.1,18.6,A1,AM
0.5,1,-2.053,N,F,N,Y,502,83.1,18.6,A1,AM
-1.5,0,-1.987,N,M,Y,N,502,83.1,18.6,A1,AN
0.5,2,-0.419,N,M,Y,N,502,83.1,18.6,A1,AN
1.5,3,-0.244,N,M,Y,N,502,83.1,18.6,A1,AN
-0.5,1,-0.785,N,M,Y,N,502,83.1,18.6,A1,AO
0.5,2,0.587,N,M,Y,N,502,83.1,18.6,A1,AO
1.5,3,1.421,N,M,Y,N,502,83.1,18.6,A1,AO
-1.5,0,-2.162,N,M,N,Y,502,83.1,18.6,A1,AP
-0.5,1,0.241,N,M,N,Y,502,83.1,18.6,A1,AP
0.5,2,0.227,N,M,N,Y,502,83.1,18.6,A1,AP
1.5,3,1.273,N,M,N,Y,502,83.1,18.6,A1,AP
2.5,4,3.055,N,M,N,Y,502,83.1,18.6,A1,AP
-1.5,0,-1.83,N,M,Y,N,502,83.1,18.6,A1,AQ
-0.5,1,-1.185,N,M,Y,N,502,83.1,18.6,A1,AQ
0.5,2,0.852,N,M,Y,N,502,83.1,18.6,A1,AQ
1.5,3,0.573,N,M,Y,N,502,83.1,18.6,A1,AQ
2.5,4,1.736,N,M,Y,N,502,83.1,18.6,A1,AQ
-1.5,0,-3.144,N,F,Y,N,502,83.1,18.6,A1,AR
-0.5,1,-2.097,N,F,Y,N,502,83.1,18.6,A1,AR
