dose,y1,y2,y3,y4,wt2
0,0,,,,76
1,0,,,,68
0,1,,,,23
1,1,,,,31
0,0,0,,,43
1,0,0,,,39
0,0,1,,,14
1,0,1,,,27
0,1,0,,,3
1,1,0,,,6
0,1,1,,,8
1,1,1,,,15
0,0,0,0,,20
1,0,0,0,,11
0,0,0,1,,13
1,0,0,1,,10
0,0,1,0,,1
0,0,1,1,,5
1,0,1,1,,6
0,1,0,0,,2
1,1,0,0,,1
0,1,0,1,,2
1,1,0,1,,1
1,1,1,0,,1
0,1,1,1,,5
1,1,1,1,,6
0,0,0,0,0,142
1,0,0,0,0,119
0,0,0,0,1,49
1,0,0,0,1,36
0,0,0,1,0,14
1,0,0,1,0,26
0,0,0,1,1,41
1,0,0,1,1,44
0,0,1,0,0,7
1,0,1,0,0,4
0,0,1,0,1,8
1,0,1,0,1,12
0,0,1,1,0,4
1,0,1,1,0,7
0,0,1,1,1,32
1,0,1,1,1,48
0,1,0,0,0,6
1,1,0,0,0,3
0,1,0,0,1,7
1,1,0,0,1,6
1,1,0,1,0,2
0,1,0,1,1,10
1,1,0,1,1,12
0,1,1,0,0,4
1,1,1,0,0,1
0,1,1,0,1,4
1,1,1,0,1,3
0,1,1,1,0,3
1,1,1,1,0,2
0,1,1,1,1,30
1,1,1,1,1,28
