id,occ,momage,anti,female,childage,hispanic,black,momwork,married,self,pov
A0,A,21,1,F,8.0,N,N,N,N,21.0,Y
A0,B,21,1,F,8.0,N,N,N,N,24.0,Y
A0,C,21,1,F,8.0,N,N,N,N,23.0,Y
A1,A,22,0,F,8.416667,N,N,Y,N,20.0,N
A1,B,22,0,F,8.416667,N,N,Y,N,24.0,N
A1,C,22,0,F,8.416667,N,N,Y,N,24.0,N
A2,A,18,5,M,8.083333,N,N,N,Y,21.0,N
A2,B,18,5,M,8.083333,N,N,N,Y,24.0,N
A2,C,18,5,M,8.083333,N,N,N,Y,24.0,N
A3,A,24,2,M,8.25,N,N,N,N,23.0,N
A3,B,24,3,M,8.25,N,N,N,N,21.0,N
A3,C,24,1,M,8.25,N,N,N,N,21.0,N
A4,A,22,1,F,9.333333,N,N,N,N,22.0,N
A4,B,22,0,F,9.333333,N,N,N,N,23.0,N
A4,C,22,0,F,9.333333,N,N,N,N,24.0,N
A5,A,24,1,M,8.583333,N,N,N,N,19.0,N
A5,B,24,1,M,8.583333,N,N,N,N,21.0,N
A5,C,24,1,M,8.583333,N,N,N,N,24.0,N
A6,A,23,3,F,9.25,N,N,Y,Y,24.0,N
A6,B,23,3,F,9.25,N,N,Y,Y,16.0,N
A6,C,23,4,F,9.25,N,N,Y,Y,13.0,N
A7,A,18,4,M,8.5,N,N,N,Y,19.0,N
A7,B,18,1,M,8.5,N,N,N,Y,22.0,N
A7,C,18,1,M,8.5,N,N,N,Y,16.0,N
A8,A,24,1,M,8.083333,N,N,N,N,21.0,N
A8,B,24,1,M,8.083333,N,N,N,N,24.0,N
A8,C,24,0,M,8.083333,N,N,N,N,20.0,N
A9,A,20,4,M,9.166667,N,N,N,Y,9.0,N
A9,B,20,5,M,9.166667,N,N,N,Y,11.0,N
A9,C,20,6,M,9.166667,N,N,N,Y,24.0,N
AA,A,23,3,F,8.833333,N,N,Y,Y,20.0,Y
AA,B,23,3,F,8.833333,N,N,Y,Y,23.0,N
AA,C,23,3,F,8.833333,N,N,Y,Y,18.0,N
AB,A,20,3,F,9.166667,Y,N,N,Y,15.0,N
AB,B,20,2,F,9.166667,Y,N,N,Y,18.0,N
AB,C,20,3,F,9.166667,Y,N,N,Y,20.0,N
AC,A,19,3,M,8.583333,N,N,Y,N,23.0,Y
AC,B,19,2,M,8.583333,N,N,Y,N,22.0,Y
AC,C,19,4,M,8.583333,N,N,Y,N,21.0,Y
AD,A,22,1,M,8.75,N,N,Y,N,21.0,N
AD,B,22,3,M,8.75,N,N,Y,N,10.0,N
AD,C,22,1,M,8.75,N,N,Y,N,17.0,N
AE,A,23,3,F,9.833333,N,Y,N,N,21.0,N
AE,B,23,4,F,9.833333,N,Y,N,N,19.0,N
AE,C,23,5,F,9.833333,N,Y,N,N,21.0,N
AF,A,20,2,F,9.0,N,Y,N,N,16.0,Y
AF,B,20,1,F,9.0,N,Y,N,N,19.0,Y
AF,C,20,2,F,9.0,N,Y,N,N,15.0,Y
AG,A,19,1,M,8.666667,N,Y,Y,N,18.0,Y
AG,B,19,2,M,8.666667,N,Y,Y,N,15.0,Y
AG,C,19,1,M,8.666667,N,Y,Y,N,14.0,Y
AH,A,22,0,M,9.333333,N,N,Y,N,20.0,N
AH,B,22,2,M,9.333333,N,N,Y,N,17.0,N
AH,C,22,0,M,9.333333,N,N,Y,N,22.0,N
AI,A,18,3,F,8.166667,N,Y,N,N,19.0,Y
AI,B,18,0,F,8.166667,N,Y,N,N,23.0,N
AI,C,18,3,F,8.166667,N,Y,N,N,18.0,Y
AJ,A,20,5,M,8.416667,N,N,Y,N,13.0,N
AJ,B,20,6,M,8.416667,N,N,Y,N,6.0,N
AJ,C,20,4,M,8.416667,N,N,Y,N,21.0,N
AK,A,23,4,M,9.333333,N,N,N,N,23.0,N
AK,B,23,4,M,9.333333,N,N,N,N,24.0,N
AK,C,23,3,M,9.333333,N,N,N,N,24.0,N
AL,A,24,1,M,8.583333,N,N,N,Y,21.0,Y
AL,B,24,2,M,8.583333,N,N,N,Y,23.0,N
AL,C,24,3,M,8.583333,N,N,N,Y,24.0,N
AM,A,24,0,F,8.0,N,N,Y,N,20.0,N
AM,B,24,1,F,8.0,N,N,Y,N,21.0,N
AM,C,24,0,F,8.0,N,N,Y,N,20.0,N
AN,A,23,2,M,9.5,N,N,N,N,24.0,N
AN,B,23,3,M,9.5,N,N,N,N,24.0,N
AN,C,23,4,M,9.5,N,N,N,N,23.0,N
AO,A,22,0,F,9.5,N,N,Y,N,23.0,N
AO,B,22,0,F,9.5,N,N,Y,N,14.0,N
AO,C,22,0,F,9.5,N,N,Y,N,20.0,N
AP,A,22,5,F,8.75,N,N,N,N,18.0,N
AP,B,22,3,F,8.75,N,N,N,N,10.0,N
AP,C,22,5,F,8.75,N,N,N,N,15.0,N
AQ,A,17,2,M,9.166667,N,N,Y,N,22.0,N
AQ,B,17,1,M,9.166667,N,N,Y,N,24.0,N
AQ,C,17,2,M,9.166667,N,N,Y,N,20.0,N
AR,A,21,2,F,10.0,N,N,N,N,22.0,N
AR,B,21,2,F,10.0,N,N,N,N,21.0,N
AR,C,21,3,F,10.0,N,N,N,N,16.0,N
AS,A,24,1,M,8.25,Y,N,Y,N,18.0,N
