grp,cohes,lead,hrs,wbeing
A0,3.75,3.1818182,12,2.1111112
A0,3.25,3.0,11,3.3333333
A0,3.375,3.6363637,12,2.1111112
A0,3.75,3.3636363,9,4.388889
A0,4.0,3.5454545,7,1.7222222
A0,3.0,3.25,8,3.3333333
A0,3.625,3.6363637,9,3.4444444
A0,3.375,3.2727273,8,3.6666667
A0,3.875,3.5454545,12,3.0555556
A0,3.375,2.5454545,11,1.7222222
A0,4.0,3.4545455,11,3.6666667
A0,4.0,4.0,10,4.2777777
A0,2.25,2.0,11,1.8888888
A0,1.5,1.9090909,12,2.6111112
A0,1.375,1.1818181,12,2.9444444
A0,2.875,2.909091,12,2.6111112
A0,4.5,2.8333333,14,2.4444444
A0,4.375,4.3636365,11,4.5555553
A0,4.25,3.4,8,3.7222223
A0,2.625,2.909091,12,1.6666666
A0,3.125,2.4545455,12,1.6666666
A0,4.125,3.5454545,10,3.7777777
A0,2.375,3.5454545,11,1.7777778
A0,2.25,2.909091,12,3.8888888
A0,3.125,2.4,11,1.9444444
A0,2.25,1.8181819,11,2.4444444
A0,3.75,3.6363637,12,3.8888888
A0,2.0,2.8333333,10,4.3333335
A0,2.25,1.7272727,12,0.33333334
A0,2.0,2.8333333,12,3.4444444
A0,3.75,2.7272727,13,2.7777777
A0,2.875,3.0,13,2.8888888
A0,4.0,3.8181818,8,2.9444444
A0,2.125,1.5454545,14,1.2222222
A0,2.5,3.090909,14,2.4444444
A0,4.0,1.6666666,11,1.0
A0,2.75,2.5454545,10,2.6111112
A0,3.125,3.090909,12,2.6111112
A0,3.0,3.6363637,13,2.9444444
A0,3.75,3.3636363,12,3.1111112
A0,3.125,3.3636363,10,4.0555553
A0,3.25,4.181818,11,4.0555553
A0,3.5,3.2727273,11,3.0555556
A0,2.75,3.1818182,12,3.7222223
A0,2.625,2.3636363,10,2.5
A0,2.5,3.0,11,2.6111112
A0,3.0,3.909091,13,4.3333335
A0,2.375,2.7272727,9,2.9444444
A0,2.125,3.090909,10,0.44444445
A0,4.0,3.090909,12,3.3888888
A0,3.75,2.6363637,12,2.7777777
A0,2.375,2.7272727,12,4.1666665
A0,2.0,1.6363636,11,2.1666667
A0,3.375,2.5454545,12,2.8333333
A0,3.375,3.1818182,10,2.6666667
A0,2.375,3.0,11,2.5555556
A0,2.0,1.7272727,8,3.3888888
A0,3.125,3.4545455,8,2.5
A0,2.5,3.1818182,11,2.3333333
A0,2.625,2.3636363,12,3.8888888
A0,3.0,3.5,8,2.2941177
A0,4.0,3.7272727,9,3.4444444
A0,2.125,3.090909,8,3.4444444
A0,3.75,4.0,9,3.6111112
A0,1.75,2.2727273,11,2.3333333
A0,1.0,1.3636364,12,0.6666667
A0,3.0,3.5,8,2.7222223
A0,1.0,3.5,13,2.1666667
A0,1.375,1.7272727,11,0.5555556
A0,1.875,2.909091,11,3.8888888
A0,2.75,3.090909,12,2.4444444
A0,2.5,2.7272727,14,2.2777777
A0,3.125,2.3636363,13,2.5555556
A0,2.5,2.2222223,12,2.5555556
A1,2.625,2.1818182,13,2.3333333
A1,3.625,2.6363637,10,3.5
A1,3.0,2.3333333,12,2.7777777
A1,3.5,2.7272727,11,3.2222223
A1,3.0,3.0,13,2.6666667
A1,4.1666665,3.1666667,11,1.4444444
A1,3.625,3.0,18,2.5
A1,3.5714285,1.7272727,15,3.2222223
A1,2.0,2.8333333,9,3.2222223
A1,2.125,2.0,16,2.1111112
A1,3.375,1.9090909,16,2.0555556
A1,1.5,2.6666667,11,2.3333333
A1,4.0,2.0,10,3.1111112
A1,3.5,1.5454545,14,2.1111112
A1,4.0,3.75,12,3.8888888
A1,3.5,2.5454545,12,3.7222223
A1,1.0,1.0,12,2.6666667
A1,3.75,3.2727273,11,3.6111112
A1,1.25,1.7272727,12,3.0555556
A1,2.75,2.3636363,14,0.5555556
A1,4.75,2.1818182,13,3.3333333
A1,4.0,2.6363637,11,3.5555556
A1,3.375,2.2727273,12,3.7222223
A1,4.0,2.4545455,12,3.1764705
A1,3.625,2.090909,12,2.6111112
A1,4.125,1.5454545,12,2.7222223
A1,3.875,2.090909,10,3.1666667
A1,3.625,1.9090909,15,1.7777778
A1,3.625,3.6363637,12,4.4444447
A1,3.375,2.6363637,12,3.1666667
A1,3.75,3.1818182,12,1.8333334
A1,4.5,2.5454545,13,1.5
A1,4.25,3.090909,12,3.8888888
A1,4.625,2.2727273,14,3.3333333
A1,3.25,3.2,9,2.2222223
A1,4.125,3.4545455,12,3.5
A1,4.25,2.909091,13,3.2777777
A1,3.25,2.2727273,12,2.0
