id,feduc,brother,time,freq
1,1,0,1,4155
1,1,1,1,4155
2,1,0,1,1047
2,1,1,2,1047
3,1,0,1,220
3,1,1,3,220
4,1,0,2,1553
4,1,1,1,1553
5,1,0,2,1837
5,1,1,2,1837
6,1,0,2,578
6,1,1,3,578
7,1,0,3,505
7,1,1,1,505
8,1,0,3,676
8,1,1,2,676
9,1,0,3,804
9,1,1,3,804
10,2,0,1,697
10,2,1,1,697
11,2,0,1,300
11,2,1,2,300
12,2,0,1,68
12,2,1,3,68
13,2,0,2,288
13,2,1,1,288
14,2,0,2,615
14,2,1,2,615
15,2,0,2,209
15,2,1,3,209
16,2,0,3,99
16,2,1,1,99
17,2,0,3,252
17,2,1,2,252
18,2,0,3,313
18,2,1,3,313
19,3,0,1,137
19,3,1,1,137
20,3,0,1,181
20,3,1,2,181
21,3,0,1,52
21,3,1,3,52
22,3,0,2,129
22,3,1,1,129
23,3,0,2,652
23,3,1,2,652
24,3,0,2,310
24,3,1,3,310
25,3,0,3,68
25,3,1,1,68
26,3,0,3,357
26,3,1,2,357
27,3,0,3,728
27,3,1,3,728
28,4,0,1,38
28,4,1,1,38
29,4,0,1,21
29,4,1,2,21
30,4,0,1,14
30,4,1,3,14
31,4,0,2,32
31,4,1,1,32
32,4,0,2,99
32,4,1,2,99
33,4,0,2,90
33,4,1,3,90
34,4,0,3,32
34,4,1,1,32
35,4,0,3,97
35,4,1,2,97
36,4,0,3,378
36,4,1,3,378
37,5,0,1,16
37,5,1,1,16
38,5,0,1,20
38,5,1,2,20
39,5,0,1,16
39,5,1,3,16
40,5,0,2,15
40,5,1,1,15
41,5,0,2,65
41,5,1,2,65
42,5,0,2,76
42,5,1,3,76
43,5,0,3,26
43,5,1,1,26
44,5,0,3,69
44,5,1,2,69
45,5,0,3,629
45,5,1,3,629
