state,year,price,pop,pop16,CPI,NDI,c,pimin,name
1,63,28.6,3383.0,2236.5,30.6,1558.3046,93.9,26.1,AL
1,64,29.8,3431.0,2276.7,31.0,1684.0732,95.4,27.5,AL
1,65,29.8,3486.0,2327.5,31.5,1809.8419,98.5,28.9,AL
1,66,31.5,3524.0,2369.7,32.4,1915.1604,96.4,29.5,AL
1,67,31.6,3533.0,2393.7,33.4,2023.5464,95.5,29.6,AL
1,68,35.6,3522.0,2405.2,34.8,2202.4856,88.4,32.0,AL
1,69,36.6,3531.0,2411.9,36.7,2377.3347,90.1,32.8,AL
1,70,39.6,3444.0,2394.6,38.8,2591.039,89.8,34.3,AL
1,71,42.7,3481.0,2443.5,40.5,2785.316,95.4,35.8,AL
1,72,42.3,3511.0,2484.7,41.8,3034.8083,101.1,37.4,AL
1,73,42.1,3540.0,2526.0,44.4,3387.574,102.9,37.3,AL
1,74,43.1,3574.0,2573.9,49.3,3718.8672,108.2,41.4,AL
1,75,46.6,3614.0,2623.7,53.8,4087.9932,111.7,43.0,AL
1,76,50.4,3657.0,2677.4,56.9,4486.772,116.2,46.4,AL
1,77,50.1,3690.0,2719.6,60.6,4899.8657,117.1,48.8,AL
1,78,55.1,3728.0,2764.6,65.2,5450.9985,123.0,53.6,AL
1,79,56.8,3769.0,2810.7,72.6,5957.1406,121.4,56.5,AL
1,80,60.6,3894.0,2898.9,82.4,6466.35,123.2,59.3,AL
1,81,68.8,3917.0,2924.7,90.9,7042.023,119.6,62.6,AL
1,82,73.1,3943.0,2953.5,96.5,7505.22,119.1,67.8,AL
1,83,84.4,3959.0,2977.5,99.6,7974.552,116.3,78.6,AL
1,84,90.8,3990.0,3009.1,103.9,8693.376,113.0,86.8,AL
1,85,99.0,4020.0,3039.8,107.6,9059.435,114.5,90.7,AL
1,86,103.0,4050.0,3072.4,109.6,9674.985,116.3,98.8,AL
1,87,110.0,4083.0,3104.0,113.6,10213.848,114.0,103.5,AL
1,88,114.4,4102.0,3124.0,118.3,10993.0,112.1,109.2,AL
1,89,122.3,4118.0,3140.0,124.0,11634.0,105.6,121.5,AL
1,90,139.1,4129.2,3148.6,130.7,12806.0,108.6,132.3,AL
1,91,144.4,4178.3,3185.1,136.2,13360.0,107.9,137.4,AL
1,92,172.2,4226.3,3226.7,140.3,14533.0,109.1,159.5,AL
3,63,23.9,1517.0,982.4,30.6,1944.7451,125.0,24.9,AZ
3,64,24.0,1549.0,1005.6,31.0,2063.516,121.0,25.5,AZ
3,65,24.2,1575.0,1024.9,31.5,2162.6638,123.2,25.3,AZ
3,66,29.6,1609.0,1051.9,32.4,2318.6152,113.9,25.5,AZ
3,67,29.2,1637.0,1078.9,33.4,2446.6814,117.1,26.0,AZ
3,68,31.3,1667.0,1106.0,34.8,2720.3708,115.6,32.3,AZ
3,69,36.1,1693.0,1117.5,36.7,2979.6013,113.8,33.3,AZ
3,70,37.1,1772.0,1226.6,38.8,3269.8157,115.2,34.6,AZ
3,71,38.5,1878.0,1313.5,40.5,3549.702,109.6,36.6,AZ
3,72,38.0,1975.0,1393.6,41.8,3800.6702,125.0,37.2,AZ
3,73,38.7,2075.0,1476.5,44.4,4219.9834,128.3,36.5,AZ
3,74,39.2,2156.0,1547.0,49.3,4508.132,133.1,37.8,AZ
3,75,47.7,2200.0,1591.4,53.8,4742.575,121.8,40.5,AZ
3,76,49.1,2244.0,1635.8,56.9,5158.79,122.3,43.4,AZ
3,77,48.7,2304.0,1690.8,60.6,5567.7754,121.7,44.7,AZ
3,78,53.6,2373.0,1750.6,65.2,6283.499,124.7,49.5,AZ
3,79,58.6,2450.0,1812.4,72.6,7099.404,124.6,53.7,AZ
3,80,60.8,2718.0,2044.0,82.4,7823.39,126.8,57.2,AZ
