class,time,event,cons,male,cc,tv,cc_tv,school,_merge
193101,3,0,1,1,0,0,0,193,3
193101,3,0,1,0,0,0,0,193,3
193101,1,1,1,1,0,0,0,193,3
193101,1,1,1,1,0,0,0,193,3
193101,3,0,1,1,0,0,0,193,3
193101,3,0,1,0,0,0,0,193,3
193101,3,1,1,0,0,0,0,193,3
193101,3,0,1,0,0,0,0,193,3
193101,3,0,1,1,0,0,0,193,3
193101,3,0,1,1,0,0,0,193,3
193101,3,0,1,1,0,0,0,193,3
193101,1,1,1,0,0,0,0,193,3
193101,3,0,1,0,0,0,0,193,3
193101,1,0,1,0,0,0,0,193,3
193101,3,0,1,0,0,0,0,193,3
193101,3,0,1,0,0,0,0,193,3
193101,1,1,1,1,0,0,0,193,3
193101,3,0,1,0,0,0,0,193,3
193101,3,0,1,1,0,0,0,193,3
193101,3,0,1,0,0,0,0,193,3
193101,1,0,1,0,0,0,0,193,3
194101,2,0,1,1,0,0,0,194,3
194101,2,0,1,0,0,0,0,194,3
194101,3,1,1,0,0,0,0,194,3
194101,1,0,1,0,0,0,0,194,3
194101,1,1,1,0,0,0,0,194,3
194101,3,0,1,0,0,0,0,194,3
194101,2,1,1,1,0,0,0,194,3
194101,3,0,1,1,0,0,0,194,3
194101,2,1,1,0,0,0,0,194,3
194101,2,1,1,1,0,0,0,194,3
194101,1,1,1,1,0,0,0,194,3
194101,2,1,1,0,0,0,0,194,3
194102,3,0,1,1,0,0,0,194,3
194102,2,1,1,0,0,0,0,194,3
194102,1,0,1,0,0,0,0,194,3
194102,2,1,1,1,0,0,0,194,3
194102,3,0,1,0,0,0,0,194,3
194102,3,0,1,0,0,0,0,194,3
194102,2,1,1,0,0,0,0,194,3
194102,3,0,1,1,0,0,0,194,3
194103,3,1,1,1,0,0,0,194,3
194103,1,0,1,0,0,0,0,194,3
194103,2,0,1,0,0,0,0,194,3
194103,1,1,1,1,0,0,0,194,3
194103,1,0,1,0,0,0,0,194,3
194103,3,1,1,0,0,0,0,194,3
194103,3,0,1,1,0,0,0,194,3
194103,3,1,1,1,0,0,0,194,3
194103,3,1,1,1,0,0,0,194,3
194103,2,0,1,0,0,0,0,194,3
194103,3,1,1,0,0,0,0,194,3
194103,1,0,1,1,0,0,0,194,3
194103,2,1,1,1,0,0,0,194,3
194103,3,1,1,0,0,0,0,194,3
194104,3,0,1,1,0,0,0,194,3
194104,3,1,1,0,0,0,0,194,3
194104,3,0,1,1,0,0,0,194,3
194104,1,0,1,1,0,0,0,194,3
194104,3,0,1,0,0,0,0,194,3
194104,3,0,1,0,0,0,0,194,3
194104,3,0,1,0,0,0,0,194,3
194104,3,0,1,1,0,0,0,194,3
194104,3,0,1,1,0,0,0,194,3
194104,3,0,1,0,0,0,0,194,3
194105,1,0,1,0,0,0,0,194,3
194105,2,0,1,1,0,0,0,194,3
194105,3,0,1,0,0,0,0,194,3
194105,2,1,1,1,0,0,0,194,3
194105,2,1,1,1,0,0,0,194,3
194105,2,1,1,1,0,0,0,194,3
194105,3,0,1,1,0,0,0,194,3
194105,3,1,1,0,0,0,0,194,3
194105,3,0,1,1,0,0,0,194,3
194105,3,0,1,0,0,0,0,194,3
194105,2,0,1,1,0,0,0,194,3
194105,2,1,1,1,0,0,0,194,3
194105,1,1,1,0,0,0,0,194,3
194105,3,0,1,0,0,0,0,194,3
194105,1,0,1,1,0,0,0,194,3
194106,2,1,1,0,0,0,0,194,3
194106,1,1,1,1,0,0,0,194,3
194106,2,0,1,0,0,0,0,194,3
194106,3,0,1,0,0,0,0,194,3
194106,1,1,1,0,0,0,0,194,3
194106,3,0,1,1,0,0,0,194,3
194106,3,0,1,0,0,0,0,194,3
194106,1,1,1,1,0,0,0,194,3
194106,2,1,1,0,0,0,0,194,3
194106,3,0,1,1,0,0,0,194,3
194106,1,1,1,1,0,0,0,194,3
194106,2,1,1,0,0,0,0,194,3
194106,1,0,1,0,0,0,0,194,3
194106,2,1,1,1,0,0,0,194,3
194106,1,1,1,1,0,0,0,194,3
196101,3,1,1,1,1,0,0,196,3
196101,3,1,1,1,1,0,0,196,3
196101,3,0,1,1,1,0,0,196,3
196101,2,1,1,0,1,0,0,196,3
196101,3,0,1,0,1,0,0,196,3
196101,3,0,1,1,1,0,0,196,3
196101,2,1,1,0,1,0,0,196,3
196101,1,1,1,1,1,0,0,196,3
196101,2,0,1,0,1,0,0,196,3
196101,3,0,1,1,1,0,0,196,3
196101,3,0,1,1,1,0,0,196,3
196101,3,0,1,1,1,0,0,196,3
196101,1,1,1,0,1,0,0,196,3
196101,2,1,1,0,1,0,0,196,3
196101,3,1,1,0,1,0,0,196,3
196101,3,1,1,0,1,0,0,196,3
196102,1,1,1,1,1,0,0,196,3
196102,3,1,1,1,1,0,0,196,3
196102,3,0,1,1,1,0,0,196,3
196102,1,0,1,0,1,0,0,196,3
196102,1,1,1,1,1,0,0,196,3
196102,3,1,1,1,1,0,0,196,3
196102,3,0,1,0,1,0,0,196,3
196102,2,1,1,1,1,0,0,196,3
197101,1,1,1,0,0,0,0,197,3
197101,3,0,1,0,0,0,0,197,3
197102,3,0,1,0,0,0,0,197,3
197102,1,1,1,0,0,0,0,197,3
197102,3,0,1,1,0,0,0,197,3
197102,3,0,1,1,0,0,0,197,3
197102,3,0,1,0,0,0,0,197,3
197102,2,0,1,1,0,0,0,197,3
197104,3,0,1,0,0,0,0,197,3
197104,2,1,1,0,0,0,0,197,3
197104,2,0,1,0,0,0,0,197,3
197104,3,0,1,0,0,0,0,197,3
197104,1,1,1,1,0,0,0,197,3
198101,3,0,1,0,1,1,1,198,3
198101,3,0,1,0,1,1,1,198,3
198101,2,0,1,0,1,1,1,198,3
198101,1,0,1,1,1,1,1,198,3
198101,3,0,1,0,1,1,1,198,3
198101,3,0,1,1,1,1,1,198,3
198101,3,0,1,0,1,1,1,198,3
198101,1,1,1,1,1,1,1,198,3
198101,3,0,1,1,1,1,1,198,3
198101,2,0,1,0,1,1,1,198,3
198101,1,1,1,1,1,1,1,198,3
198101,2,1,1,0,1,1,1,198,3
198101,1,0,1,0,1,1,1,198,3
198102,3,1,1,1,1,1,1,198,3
198102,3,0,1,0,1,1,1,198,3
198102,3,0,1,1,1,1,1,198,3
198102,1,1,1,0,1,1,1,198,3
198102,1,1,1,0,1,1,1,198,3
198102,1,1,1,1,1,1,1,198,3
198102,1,1,1,0,1,1,1,198,3
198102,1,1,1,0,1,1,1,198,3
198103,3,0,1,1,1,1,1,198,3
198103,1,1,1,1,1,1,1,198,3
198103,2,1,1,0,1,1,1,198,3
198103,3,0,1,0,1,1,1,198,3
198103,3,0,1,0,1,1,1,198,3
198103,1,0,1,0,1,1,1,198,3
198103,1,0,1,0,1,1,1,198,3
198103,3,0,1,1,1,1,1,198,3
199101,2,0,1,1,0,1,0,199,3
199101,1,1,1,1,0,1,0,199,3
199101,3,0,1,0,0,1,0,199,3
199101,1,0,1,0,0,1,0,199,3
199101,3,0,1,0,0,1,0,199,3
199101,2,0,1,1,0,1,0,199,3
199101,1,1,1,0,0,1,0,199,3
199101,3,1,1,1,0,1,0,199,3
199101,3,0,1,0,0,1,0,199,3
199101,1,0,1,1,0,1,0,199,3
199101,2,1,1,1,0,1,0,199,3
199101,1,1,1,1,0,1,0,199,3
199101,1,0,1,0,0,1,0,199,3
199101,3,0,1,0,0,1,0,199,3
199102,3,1,1,1,0,1,0,199,3
199102,3,0,1,0,0,1,0,199,3
199102,3,0,1,0,0,1,0,199,3
199102,3,1,1,0,0,1,0,199,3
199102,2,0,1,1,0,1,0,199,3
199102,1,1,1,0,0,1,0,199,3
199102,2,0,1,1,0,1,0,199,3
199102,2,0,1,1,0,1,0,199,3
199102,3,0,1,0,0,1,0,199,3
199102,3,0,1,0,0,1,0,199,3
199102,2,0,1,0,0,1,0,199,3
199103,1,0,1,0,0,1,0,199,3
199103,1,0,1,0,0,1,0,199,3
199103,2,1,1,1,0,1,0,199,3
199103,2,1,1,1,0,1,0,199,3
199103,1,1,1,0,0,1,0,199,3
199103,2,0,1,1,0,1,0,199,3
199103,2,1,1,1,0,1,0,199,3
199103,3,0,1,0,0,1,0,199,3
199103,3,0,1,1,0,1,0,199,3
199103,1,0,1,1,0,1,0,199,3
199103,3,0,1,0,0,1,0,199,3
199103,2,1,1,1,0,1,0,199,3
199103,2,0,1,1,0,1,0,199,3
199103,3,0,1,1,0,1,0,199,3
199103,3,0,1,0,0,1,0,199,3
199103,3,1,1,1,0,1,0,199,3
199103,3,0,1,0,0,1,0,199,3
199103,3,0,1,0,0,1,0,199,3
199103,2,0,1,0,0,1,0,199,3
199104,2,1,1,1,0,1,0,199,3
199104,3,0,1,1,0,1,0,199,3
199104,3,0,1,1,0,1,0,199,3
199104,2,0,1,1,0,1,0,199,3
199104,1,1,1,1,0,1,0,199,3
199104,3,0,1,1,0,1,0,199,3
199104,3,1,1,1,0,1,0,199,3
199104,3,0,1,0,0,1,0,199,3
199104,3,0,1,1,0,1,0,199,3
199104,3,0,1,1,0,1,0,199,3
199104,3,0,1,1,0,1,0,199,3
199104,3,1,1,1,0,1,0,199,3
199104,3,0,1,0,0,1,0,199,3
199105,1,1,1,0,0,1,0,199,3
199105,2,0,1,1,0,1,0,199,3
199105,1,0,1,0,0,1,0,199,3
199105,1,1,1,0,0,1,0,199,3
199106,2,0,1,1,0,1,0,199,3
199106,1,1,1,0,0,1,0,199,3
199106,3,0,1,1,0,1,0,199,3
