school,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,cito,isi,ses,gender,v24
1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,-1.4224,-1.8009,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.8412,-1.8009,0,
1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,-1.1206,-1.8009,0,
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.3885,-1.8009,0,
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,-0.8188,-1.8009,0,
1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,-1.4224,-1.8009,1,
1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,-2.1769,-1.8009,1,
1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,-1.7242,1.8155,1,
1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,-1.1206,-1.8009,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0484,-1.8009,1,
1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,-0.9697,-0.4447,1,
1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,-1.8751,-1.8009,0,
1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0.6903,0.4594,0,
1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,-0.6679,-1.8009,0,
1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,-1.5733,-1.8009,1,
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-0.6679,-0.294,1,
1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,-0.2152,-1.8009,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,-0.517,-0.8968,1,
1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,-0.2152,-1.8009,1,
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-0.6679,-1.5748,0,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5011,1.2128,0,
1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,-0.6679,0.3087,0,
1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-0.0643,-1.8009,0,
2,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0.5394,0.6854,1,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8412,-0.294,0,
2,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,2.0484,0.9114,1,
2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5394,0.6101,1,
2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-0.0643,1.8155,1,
2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1.143,1.3635,1,
2,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0.6903,0.9114,1,
2,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0.9921,1.2128,1,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.143,1.2128,0,
2,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0.3885,0.9114,0,
2,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0.5394,0.6101,1,
2,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-0.3661,1.8155,1,
2,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,-0.8188,0.6854,1,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9921,1.5895,1,
2,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0.5394,0.4594,1,
3,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,-1.5733,-1.8009,1,
3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,-0.0643,-1.8009,1,
3,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0.9921,0.0073,1,
3,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-0.0643,1.2128,1,
3,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1.143,1.1375,1,
3,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0.2376,1.3635,1,
