subj,rfn,rfc,rfi,rcn,rcc,rci,dependent
1,191,206,219,176,182,196,0
2,175,183,186,148,156,161,0
3,166,165,161,138,146,150,0
4,206,190,212,174,178,184,0
5,179,187,171,182,185,210,0
6,183,175,171,182,185,210,0
7,174,168,187,167,160,178,0
8,185,186,185,153,159,169,0
9,182,189,201,173,177,183,0
10,191,192,208,168,169,187,0
11,162,163,168,135,141,145,0
12,162,162,170,142,147,151,0
13,277,267,322,205,231,255,1
14,235,216,271,161,183,187,1
15,150,150,165,140,140,156,1
16,400,404,379,214,223,216,1
17,183,165,187,140,146,163,1
18,162,215,184,144,156,165,1
19,163,179,172,170,189,192,1
20,163,159,159,143,150,148,1
21,237,233,238,207,225,228,1
22,205,177,217,205,208,230,1
23,178,190,211,144,155,177,1
24,164,186,187,139,151,163,1
