schid,stid,girl,written,coursework
20920,16,0,23.0,-1.0
20920,25,1,-1.0,71.2
20920,27,1,39.0,76.8
20920,31,1,36.0,87.9
20920,42,0,16.0,44.4
20920,62,1,36.0,-1.0
20920,101,1,49.0,89.8
20920,113,0,25.0,17.5
20920,146,0,-1.0,32.4
22520,1,1,48.0,84.2
22520,7,0,46.0,66.6
22520,9,1,28.0,47.2
22520,15,1,43.0,80.5
22520,16,0,29.0,57.4
22520,18,1,25.0,42.5
22520,21,0,30.0,36.1
22520,24,1,44.0,58.3
22520,25,0,30.0,37.9
22520,27,1,26.0,74.0
22520,29,0,30.0,41.6
22520,34,1,39.0,76.8
22520,37,1,41.0,34.2
22520,41,1,44.0,86.1
22520,42,0,36.0,56.4
22520,43,1,45.0,42.5
22520,45,1,41.0,63.8
22520,47,1,28.0,20.3
22520,52,1,31.0,51.8
22520,53,1,33.0,-1.0
22520,55,1,51.0,76.8
22520,57,0,51.0,65.7
22520,60,1,38.0,56.4
22520,63,0,44.0,75.9
22520,64,1,41.0,76.8
22520,66,1,32.0,66.6
22520,67,0,41.0,31.4
22520,69,0,36.0,51.8
22520,73,0,41.0,-1.0
22520,74,0,36.0,-1.0
22520,78,1,13.0,28.7
22520,83,0,34.0,46.2
22520,84,1,23.0,51.8
22520,85,1,26.0,66.6
22520,87,1,36.0,79.6
22520,90,1,25.0,39.8
22520,91,0,33.0,47.2
22520,97,1,64.0,-1.0
22520,104,0,31.0,62.9
22520,106,0,33.0,40.7
22520,108,1,57.0,90.7
22520,110,0,26.0,51.8
22520,111,1,33.0,54.6
22520,112,1,45.0,95.3
22520,115,0,3.1,9.25
22520,116,1,25.0,-1.0
22520,121,1,27.0,26.8
22520,128,0,23.0,50.0
22520,131,0,39.0,44.4
22520,134,0,64.0,59.2
22520,137,1,-1.0,41.6
22520,141,1,38.0,-1.0
22520,143,1,53.0,87.9
22520,144,1,46.0,93.5
22520,146,1,40.0,75.9
22520,153,0,28.0,26.8
22520,156,1,-1.0,25.0
22520,157,1,27.0,61.1
22520,163,1,40.0,54.6
22520,164,1,39.0,76.8
22520,165,1,-1.0,46.2
22520,170,1,30.0,80.5
22520,177,1,32.0,41.6
22520,178,1,26.0,60.1
22520,181,1,35.0,53.7
22710,5,1,-1.0,93.5
22710,11,0,41.0,91.6
22710,44,0,20.0,-1.0
22710,46,0,36.0,94.4
22710,49,0,55.0,94.4
22710,50,1,-1.0,94.4
22710,53,1,-1.0,80.5
22710,54,1,40.0,-1.0
22710,57,1,11.0,73.1
22710,58,0,33.0,80.5
22710,77,1,0.6,41.6
22710,79,1,31.0,93.5
22710,84,1,41.0,90.7
22710,90,0,21.0,60.1
22710,102,1,26.0,82.4
22710,103,1,30.0,82.4
22710,109,0,35.0,78.7
22710,169,1,55.0,94.4
22738,7,1,43.0,75.0
22738,32,0,53.0,58.3
22738,87,0,51.0,82.4
22738,106,1,59.0,75.0
22738,119,0,58.0,80.5
22738,127,1,48.0,-1.0
22738,159,1,50.0,82.4
22738,173,0,63.0,60.1
22738,180,0,51.0,-1.0
22738,203,0,49.0,69.4
22908,6,1,55.0,62.0
22908,17,0,61.0,83.3
