county,cornhec,soyhec,cornpix,soypix,segment,name,mn_cornpix,mn_soypix
1,165.76,8.09,374,55,1,Cerro Gordo,295.29,189.7
2,96.32,106.03,209,218,2,Hamilton,300.4,196.65
3,76.08,103.6,253,250,3,Worth,289.6,205.28
4,185.35,6.47,432,96,4,Humboldt,290.74,220.22
4,116.43,63.82,367,178,5,Humboldt,290.74,220.22
5,162.08,43.5,361,137,6,Franklin,318.21,188.06
5,152.04,71.43,288,206,7,Franklin,318.21,188.06
5,161.75,42.49,369,165,8,Franklin,318.21,188.06
6,92.88,105.26,206,218,9,Pocahontas,257.17,247.13
6,149.94,76.49,316,221,10,Pocahontas,257.17,247.13
6,64.75,174.34,145,338,11,Pocahontas,257.17,247.13
7,127.07,95.67,355,128,12,Winnebago,291.77,185.37
7,133.55,76.57,295,147,13,Winnebago,291.77,185.37
7,77.7,93.48,223,204,14,Winnebago,291.77,185.37
8,206.39,37.84,459,77,15,Wright,301.26,221.36
8,108.33,131.12,290,217,16,Wright,301.26,221.36
8,118.17,124.44,307,258,17,Wright,301.26,221.36
9,99.96,144.15,252,303,18,Webster,262.17,247.09
9,140.43,103.6,293,221,19,Webster,262.17,247.09
9,98.95,88.59,206,222,20,Webster,262.17,247.09
9,131.04,115.58,302,274,21,Webster,262.17,247.09
10,114.12,99.15,313,190,22,Hancock,314.28,198.66
10,100.6,124.56,246,270,23,Hancock,314.28,198.66
10,127.88,110.88,353,172,24,Hancock,314.28,198.66
10,116.9,109.14,271,228,25,Hancock,314.28,198.66
10,87.41,143.66,237,297,26,Hancock,314.28,198.66
11,93.48,91.05,221,167,27,Kossuth,298.65,204.61
11,121.0,132.33,369,191,28,Kossuth,298.65,204.61
11,109.91,143.14,343,249,29,Kossuth,298.65,204.61
11,122.66,104.13,342,182,30,Kossuth,298.65,204.61
11,104.21,118.57,294,179,31,Kossuth,298.65,204.61
12,88.59,102.59,220,262,32,Hardin,325.99,177.05
12,165.35,69.28,355,160,34,Hardin,325.99,177.05
12,104.0,99.15,261,221,35,Hardin,325.99,177.05
12,88.63,143.66,187,345,36,Hardin,325.99,177.05
12,153.7,94.49,350,190,37,Hardin,325.99,177.05
