region,herd,cow,obs,lact,cfs,lncfs,fscr,heifer,ai
1,24,649,1,1,60,4.0943446,0,1,0
1,24,649,2,2,92,4.5217886,1,0,0
1,24,650,3,3,58,4.060443,1,0,0
1,24,650,4,4,46,3.8286414,0,0,1
1,24,651,5,5,86,4.454347,0,0,1
1,24,652,6,6,148,4.9972124,1,0,1
1,24,653,7,3,47,3.8501475,1,0,1
1,24,653,8,4,51,3.9318256,1,0,0
1,24,653,9,5,68,4.2195077,1,0,0
1,24,653,10,6,32,3.465736,1,0,0
1,24,654,11,6,40,3.6888795,0,0,1
1,24,654,12,7,40,3.6888795,1,0,0
1,24,654,13,8,86,4.454347,0,0,1
1,24,655,14,6,42,3.7376697,0,0,1
1,24,655,15,7,62,4.1271343,0,0,1
1,24,655,16,8,61,4.1108737,1,0,0
1,24,656,17,3,38,3.637586,1,0,0
1,24,656,18,4,42,3.7376697,0,0,0
1,24,656,19,5,30,3.4011974,0,0,0
1,24,657,20,1,32,3.465736,1,1,0
1,24,657,21,3,56,4.0253515,1,0,1
1,24,657,22,4,44,3.7841897,1,0,0
1,24,657,23,5,71,4.26268,1,0,1
1,24,658,24,1,38,3.637586,1,1,0
1,24,658,25,2,38,3.637586,1,0,0
1,24,658,26,3,106,4.6634393,0,0,0
1,24,659,27,4,57,4.0430512,1,0,1
1,24,659,28,5,70,4.248495,1,0,1
1,24,660,29,5,32,3.465736,0,0,0
1,24,660,30,6,89,4.4886365,0,0,0
1,24,661,31,7,51,3.9318256,0,0,1
1,24,662,32,5,52,3.9512436,1,0,0
1,24,662,33,6,51,3.9318256,1,0,1
1,24,662,34,7,36,3.583519,1,0,0
1,24,662,35,8,88,4.477337,0,0,1
1,24,663,36,5,45,3.8066626,1,0,1
1,24,663,37,6,42,3.7376697,1,0,1
1,24,663,38,7,35,3.5553482,1,0,0
1,24,664,39,5,50,3.912023,1,0,0
1,24,664,40,7,34,3.5263605,0,0,0
1,24,664,41,8,42,3.7376697,0,0,1
1,24,665,42,3,60,4.0943446,0,0,0
1,24,665,43,4,55,4.0073333,0,0,1
1,24,665,44,5,58,4.060443,0,0,0
1,24,665,45,6,75,4.317488,0,0,1
1,24,666,46,4,62,4.1271343,1,0,1
1,24,666,47,5,36,3.583519,1,0,0
1,24,666,48,6,44,3.7841897,0,0,1
1,24,666,49,7,85,4.4426513,1,0,1
1,24,667,50,3,46,3.8286414,0,0,1
1,24,668,51,5,45,3.8066626,0,0,0
1,24,668,52,6,48,3.871201,1,0,0
1,24,668,53,7,58,4.060443,0,0,0
1,24,669,54,2,59,4.0775375,0,0,0
1,24,669,55,3,87,4.465908,0,0,0
1,24,669,56,4,154,5.0369525,1,0,0
1,24,670,57,1,58,4.060443,1,1,0
1,24,670,58,2,66,4.189655,1,0,0
1,24,670,59,3,65,4.1743875,1,0,0
1,24,670,60,4,45,3.8066626,1,0,0
1,24,671,61,1,59,4.0775375,1,1,1
1,24,671,62,2,63,4.1431346,1,0,0
1,24,671,63,3,45,3.8066626,1,0,0
1,24,671,64,4,52,3.9512436,1,0,1
1,24,672,65,1,62,4.1271343,1,1,0
1,24,672,66,2,78,4.356709,0,0,0
1,24,673,67,1,45,3.8066626,0,1,1
1,24,674,68,2,78,4.356709,1,0,1
1,24,675,69,1,44,3.7841897,0,1,0
1,24,675,70,2,51,3.9318256,0,0,1
1,24,676,71,1,37,3.6109178,1,1,0
1,25,677,72,3,63,4.1431346,0,0,1
1,25,677,73,4,59,4.0775375,0,0,1
1,25,677,74,5,95,4.553877,0,0,1
1,25,678,75,1,53,3.9702919,1,1,1
1,25,678,76,2,50,3.912023,1,0,1
1,25,679,77,4,48,3.871201,0,0,1
1,25,679,78,5,59,4.0775375,1,0,1
1,25,680,79,2,75,4.317488,0,0,1
1,25,681,80,4,72,4.276666,1,0,0
1,25,681,81,5,62,4.1271343,0,0,1
1,25,681,82,6,56,4.0253515,1,0,1
1,25,681,83,7,50,3.912023,1,0,1
1,25,682,84,4,154,5.0369525,0,0,1
1,25,682,85,6,32,3.465736,0,0,1
1,25,682,86,7,50,3.912023,1,0,1
1,25,683,87,2,41,3.713572,1,0,1
1,25,683,88,4,81,4.394449,1,0,1
1,25,683,89,5,53,3.9702919,0,0,1
1,25,684,90,5,42,3.7376697,0,0,1
1,25,684,91,7,52,3.9512436,0,0,1
1,25,685,92,4,56,4.0253515,0,0,1
1,25,686,93,6,63,4.1431346,1,0,1
1,25,687,94,4,94,4.543295,1,0,1
1,25,687,95,5,59,4.0775375,0,0,1
1,25,688,96,4,56,4.0253515,1,0,1
1,25,688,97,5,64,4.158883,1,0,1
1,25,688,98,7,67,4.204693,0,0,1
1,25,689,99,3,46,3.8286414,1,0,0
1,25,689,100,4,50,3.912023,0,0,1
1,25,689,101,5,59,4.0775375,1,0,1
1,25,689,102,6,31,3.4339871,0,0,1
1,25,690,103,1,36,3.583519,0,1,1
1,25,690,104,2,82,4.406719,0,0,1
1,25,690,105,3,66,4.189655,0,0,1
1,25,691,106,1,48,3.871201,0,1,1
1,25,691,107,2,73,4.2904596,1,0,1
1,25,691,108,3,54,3.988984,0,0,1
1,25,692,109,2,55,4.0073333,0,0,1
1,25,692,110,3,47,3.8501475,1,0,1
1,25,692,111,4,56,4.0253515,0,0,1
1,25,692,112,5,53,3.9702919,1,0,1
1,25,693,113,2,44,3.7841897,1,0,1
1,25,693,114,3,50,3.912023,1,0,1
1,25,693,115,4,50,3.912023,1,0,1
1,25,694,116,4,86,4.454347,1,0,1
1,25,694,117,5,101,4.6151204,0,0,1
1,25,695,118,2,104,4.644391,1,0,1
1,25,695,119,3,73,4.2904596,0,0,1
1,25,695,120,4,99,4.59512,0,0,1
1,25,696,121,3,61,4.1108737,1,0,1
1,25,697,122,1,96,4.564348,1,1,0
1,25,697,123,2,42,3.7376697,0,0,1
