id,weight,lower,upper,hiseduc,hereduc,heblack,sheblack,agediff,dur,divorce
9,23,10.546,10.546,12,12,0,0,1.013,10.546,0
11,23,34.943,34.943,3,3,0,0,0.687,34.943,0
13,23,2.793,2.875,8,8,0,0,2.352,2.870226,1
15,23,15.012,20.052,7,7,0,0,2.352,18.184032,1
33,17,1.418,1.418,12,10,0,0,0.83,1.418,0
36,23,48.033,48.033,8,13,0,0,-0.999,48.033,0
43,23,16.706,16.706,16,16,0,0,0.162,16.706,0
47,24,24.999,24.999,5,9,0,0,4.0,24.999,0
50,24,24.999,24.999,5,9,0,0,4.0,24.999,0
56,3,3.869,3.869,11,12,1,1,5.084,3.869,0
63,3,7.732,7.732,15,14,1,1,2.166,7.732,0
66,26,4.882,5.539,12,12,0,0,2.352,5.2349052,1
70,26,15.444,15.444,13,17,0,0,1.999,15.444,0
77,26,4.085,4.085,16,16,0,0,2.352,4.085,0
80,26,17.333,17.333,8,8,0,0,2.352,17.333,0
84,26,16.331,16.331,12,10,0,0,4.085,16.331,0
87,26,35.335,35.335,12,12,0,0,2.352,35.335,0
90,26,37.67,37.67,8,12,0,0,2.42,37.67,0
91,26,18.754,19.619,12,10,0,0,-1.421,19.379963,1
94,26,22.697,22.697,12,12,0,0,0.586,22.697,0
109,23,50.776,50.776,8,8,0,0,5.979,50.776,0
111,23,37.495,37.495,8,8,0,0,2.352,37.495,0
114,28,30.738,30.738,10,9,0,0,17.832,30.738,0
116,25,48.654,48.654,9,14,0,0,-0.35,48.654,0
118,23,33.024,33.024,8,8,0,0,2.352,33.024,0
120,17,36.668,36.668,7,12,0,0,7.329,36.668,0
122,23,27.992,27.992,16,16,0,0,-0.162,27.992,0
124,23,27.789,27.789,16,16,0,0,2.502,27.789,0
128,23,3.214,3.291,12,10,0,0,1.331,3.2583435,1
129,23,5.629,5.711,14,14,0,0,2.352,5.6803875,1
137,7,17.999,17.999,8,12,0,0,6.982,17.999,0
139,17,0.339,14.856,1,1,0,0,2.352,13.639806,1
141,17,1.791,1.791,9,12,0,0,4.747,1.791,0
145,17,2.475,2.475,9,10,0,0,3.354,2.475,0
148,26,35.959,35.959,14,13,0,0,1.749,35.959,0
153,26,13.136,13.136,12,12,0,0,-0.252,13.136,0
160,23,5.717,5.717,12,16,0,0,0.583,5.717,0
162,23,5.717,5.717,12,16,0,0,0.583,5.717,0
164,23,26.278,26.278,12,12,0,0,1.328,26.278,0
165,23,4.29,4.372,13,10,0,0,2.251,4.353849,1
166,21,8.893,8.893,8,13,0,0,-3.962,8.893,0
170,21,15.743,15.743,12,12,0,0,0.085,15.743,0
183,21,4.63,4.712,11,12,0,0,6.834,4.6713524,1
194,25,48.356,48.356,3,3,0,0,5.684,48.356,0
196,25,39.332,39.332,11,11,0,0,3.411,39.332,0
199,25,39.332,39.332,11,11,0,0,3.411,39.332,0
212,24,61.525,61.525,12,9,0,0,3.833,61.525,0
214,24,12.999,12.999,12,12,0,0,2.352,12.999,0
219,23,14.817,14.817,12,12,0,0,0.69,14.817,0
221,23,13.5,54.01,4,4,0,0,2.352,14.0754175,1
223,23,56.999,56.999,10,8,0,0,1.96,56.999,0
226,23,3.606,3.606,12,10,0,0,8.331,3.606,0
228,23,3.606,3.606,7,12,0,0,9.331,3.606,0
230,28,16.999,16.999,10,10,1,1,2.352,16.999,0
232,28,40.016,44.014,11,11,1,1,2.352,42.275875,1
234,26,37.837,37.837,13,13,0,0,2.352,37.837,0
237,24,18.16,18.16,12,12,1,1,2.352,18.16,0
245,24,18.018,18.018,12,12,0,0,0.83,18.018,0
254,25,13.322,14.012,12,12,0,0,4.586,13.862927,1
258,25,3.543,3.625,12,11,0,0,3.581,3.5523841,1
264,25,2.461,2.543,10,10,0,0,2.352,2.5384996,1
268,25,14.218,15.209,16,16,0,0,2.352,14.264182,1
271,29,35.932,35.932,11,12,0,0,5.503,35.932,0
275,29,13.864,13.864,17,13,0,0,2.746,13.864,0
280,25,25.467,26.136,14,12,0,0,3.874,25.870684,1
287,25,5.739,22.96,10,10,0,0,2.352,11.768192,1
289,22,57.506,57.506,6,6,0,0,2.352,57.506,0
293,23,7.877,7.953,12,12,0,0,2.352,7.9291577,1
295,23,7.162,7.162,9,8,0,0,3.828,7.162,0
298,25,41.971,41.971,16,12,0,0,-1.582,41.971,0
300,25,12.991,12.991,16,17,0,0,0.83,12.991,0
302,23,18.297,18.374,12,12,0,0,0.799,18.331633,1
305,23,18.809,18.809,14,12,0,0,2.853,18.809,0
310,23,1.864,1.864,10,15,0,0,1.749,1.864,0
312,23,53.084,53.084,12,8,0,0,2.754,53.084,0
315,23,8.649,25.93,12,12,0,0,2.352,22.194313,1
320,23,32.126,32.208,13,13,0,0,2.352,32.20748,1
325,24,18.338,18.338,12,12,0,0,1.914,18.338,0
329,24,23.469,23.469,12,12,0,0,0.917,23.469,0
331,15,34.762,34.762,16,16,0,0,0.504,34.762,0
333,17,2.22,6.645,12,12,0,0,2.352,3.7828014,1
336,22,19.081,19.081,12,12,0,0,-0.747,19.081,0
339,22,35.132,36.561,10,10,0,0,2.352,35.75023,1
341,26,7.206,7.288,13,13,0,0,2.352,7.2322345,1
342,19,28.151,28.151,14,12,0,0,6.505,28.151,0
344,25,8.003,23.992,14,14,0,0,2.352,12.322811,1
346,22,1.717,2.708,8,8,0,0,2.352,2.4830437,1
350,22,8.789,8.789,16,10,0,0,3.581,8.789,0
351,22,8.789,8.789,16,13,0,0,3.581,8.789,0
353,22,17.999,17.999,19,19,0,0,2.352,17.999,0
357,24,14.084,14.084,17,16,0,0,3.499,14.084,0
362,31,27.009,27.009,6,6,0,0,2.352,27.009,0
364,31,42.313,42.313,11,11,1,1,-9.164,42.313,0
370,19,9.002,9.002,7,9,0,0,7.138,9.002,0
372,31,35.001,35.001,10,10,0,0,2.352,35.001,0
375,31,35.001,35.001,10,10,0,0,2.352,35.001,0
377,19,4.507,5.498,9,9,0,0,2.352,4.5772343,1
385,24,37.248,37.248,12,12,0,0,0.586,37.248,0
390,24,34.653,34.653,5,5,0,0,2.352,34.653,0
392,24,16.605,16.605,12,11,0,0,1.665,16.605,0
394,24,44.841,44.841,8,8,0,0,2.352,44.841,0
398,23,11.671,11.671,12,12,0,0,-3.756,11.671,0
399,23,20.504,20.504,12,12,0,0,2.418,20.504,0
405,23,6.913,6.913,17,17,0,0,3.751,6.913,0
408,17,22.404,22.404,8,11,0,0,1.013,22.404,0
410,26,31.485,31.485,8,12,0,0,-2.765,31.485,0
