id,weight,lower,upper,hiseduc,hereduc,heblack,sheblack,agediff,dur,divorce,numkids,kids
9,23,10.546,10.546,12,12,0,0,1.013,3.734,0,0,1
9,23,10.546,10.546,12,12,0,0,1.013,10.546,0,1,1
11,23,34.943,34.943,3,3,0,0,0.687,0.767,0,0,1
11,23,34.943,34.943,3,3,0,0,0.687,32.512,0,1,1
11,23,34.943,34.943,3,3,0,0,0.687,34.943,0,2,1
13,23,2.793,2.875,8,8,0,0,2.352,2.585,0,0,1
13,23,2.793,2.875,8,8,0,0,2.352,2.870226,1,1,1
15,23,15.012,20.052,7,7,0,0,2.352,18.184032,1,0,0
33,17,1.418,1.418,12,10,0,0,0.83,1.418,0,0,0
36,23,48.033,48.033,8,13,0,0,-0.999,1.081,0,0,1
36,23,48.033,48.033,8,13,0,0,-0.999,2.839,0,1,1
36,23,48.033,48.033,8,13,0,0,-0.999,5.21,0,2,1
36,23,48.033,48.033,8,13,0,0,-0.999,8.838,0,3,1
36,23,48.033,48.033,8,13,0,0,-0.999,48.033,0,4,1
43,23,16.706,16.706,16,16,0,0,0.162,3.083,0,0,1
43,23,16.706,16.706,16,16,0,0,0.162,4.578,0,1,1
43,23,16.706,16.706,16,16,0,0,0.162,6.664,0,2,1
43,23,16.706,16.706,16,16,0,0,0.162,16.706,0,3,1
47,24,24.999,24.999,5,9,0,0,4.0,0.999,0,0,1
47,24,24.999,24.999,5,9,0,0,4.0,17.489,0,1,1
47,24,24.999,24.999,5,9,0,0,4.0,24.999,0,2,1
50,24,24.999,24.999,5,9,0,0,4.0,0.999,0,0,1
50,24,24.999,24.999,5,9,0,0,4.0,17.489,0,1,1
50,24,24.999,24.999,5,9,0,0,4.0,24.999,0,2,1
56,3,3.869,3.869,11,12,1,1,5.084,0.663,0,0,1
56,3,3.869,3.869,11,12,1,1,5.084,3.869,0,1,1
63,3,7.732,7.732,15,14,1,1,2.166,0.58,0,0,1
63,3,7.732,7.732,15,14,1,1,2.166,3.833,0,1,1
63,3,7.732,7.732,15,14,1,1,2.166,7.732,0,2,1
66,26,4.882,5.539,12,12,0,0,2.352,5.2349052,1,0,0
70,26,15.444,15.444,13,17,0,0,1.999,15.444,0,0,0
77,26,4.085,4.085,16,16,0,0,2.352,3.833,0,0,1
77,26,4.085,4.085,16,16,0,0,2.352,4.085,0,1,1
80,26,17.333,17.333,8,8,0,0,2.352,2.828,0,0,1
80,26,17.333,17.333,8,8,0,0,2.352,5.166,0,1,1
80,26,17.333,17.333,8,8,0,0,2.352,6.995,0,2,1
80,26,17.333,17.333,8,8,0,0,2.352,17.333,0,3,1
84,26,16.331,16.331,12,10,0,0,4.085,2.084,0,0,1
84,26,16.331,16.331,12,10,0,0,4.085,5.667,0,1,1
84,26,16.331,16.331,12,10,0,0,4.085,16.331,0,2,1
87,26,35.335,35.335,12,12,0,0,2.352,2.33,0,0,1
87,26,35.335,35.335,12,12,0,0,2.352,4.912,0,1,1
87,26,35.335,35.335,12,12,0,0,2.352,10.081,0,2,1
87,26,35.335,35.335,12,12,0,0,2.352,35.335,0,3,1
90,26,37.67,37.67,8,12,0,0,2.42,0.747,0,0,1
90,26,37.67,37.67,8,12,0,0,2.42,6.916,0,1,1
90,26,37.67,37.67,8,12,0,0,2.42,7.915,0,2,1
90,26,37.67,37.67,8,12,0,0,2.42,10.253,0,3,1
90,26,37.67,37.67,8,12,0,0,2.42,37.67,0,4,1
91,26,18.754,19.619,12,10,0,0,-1.421,5.585,0,0,1
91,26,18.754,19.619,12,10,0,0,-1.421,10.834,0,1,1
91,26,18.754,19.619,12,10,0,0,-1.421,19.379963,1,2,1
94,26,22.697,22.697,12,12,0,0,0.586,0.583,0,0,1
94,26,22.697,22.697,12,12,0,0,0.586,2.834,0,1,1
94,26,22.697,22.697,12,12,0,0,0.586,8.416,0,2,1
94,26,22.697,22.697,12,12,0,0,0.586,22.697,0,3,1
109,23,50.776,50.776,8,8,0,0,5.979,50.776,0,0,0
111,23,37.495,37.495,8,8,0,0,2.352,4.411,0,0,1
111,23,37.495,37.495,8,8,0,0,2.352,7.663,0,1,1
111,23,37.495,37.495,8,8,0,0,2.352,37.495,0,2,1
114,28,30.738,30.738,10,9,0,0,17.832,6.787,0,0,1
