id,spans,weight,marnum,censor,lower,upper,hiseduc,hereduc,heblack,sheblack,age,agediff,time1,numkid1,time2,numkid2,time3,numkid3,time4,numkid4,time5,numkid5,time6,numkid6,time7,numkid7,time8,numkid8,time9,numkid9,time10,numkid10,time11,numkid11,time12,numkid12,time13,numkid13,time14,numkid14,time15,numkid15,time16,numkid16,time17,numkid17
9,2,23,1,1,10.546,10.546,12,12,0,0,20.953,1.013,3.734,0,10.546,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,23,1,1,34.943,34.943,3,3,0,0,24.498,0.687,0.767,0,32.512,1,34.943,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,23,1,0,2.793,2.875,8,8,0,0,31.001,2.352,2.585,0,2.875,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,23,1,0,15.012,20.052,7,7,0,0,19.499,2.352,20.052,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,23,2,1,13.944,13.944,7,3,0,0,68.29,15.064,13.944,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,17,1,1,1.418,1.418,12,10,0,0,18.166,0.83,1.418,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,5,23,1,1,48.033,48.033,8,13,0,0,23.581,-0.999,1.081,0,2.839,1,5.21,2,8.838,3,48.033,4,,,,,,,,,,,,,,,,,,,,,,,,
43,4,23,1,1,16.706,16.706,16,16,0,0,22.5,0.162,3.083,0,4.578,1,6.664,2,16.706,3,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3,24,1,1,24.999,24.999,5,9,0,0,23.499,4.0,0.999,0,17.489,1,24.999,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3,24,1,1,24.999,24.999,5,9,0,0,19.499,4.0,0.999,0,17.489,1,24.999,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2,3,1,1,3.869,3.869,11,12,1,1,30.585,5.084,0.663,0,3.869,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3,3,1,1,7.732,7.732,15,14,1,1,25.166,2.166,0.58,0,3.833,1,7.732,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1,26,1,0,4.882,5.539,12,12,0,0,24.085,2.352,5.539,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3,26,2,1,46.188,46.188,12,12,0,0,29.837,6.582,1.667,0,3.833,1,46.188,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,26,1,1,15.444,15.444,13,17,0,0,25.832,1.999,15.444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2,26,1,1,4.085,4.085,16,16,0,0,24.835,2.352,3.833,0,4.085,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2,26,2,0,6.557,6.634,16,16,0,0,31.819,2.352,3.428,0,6.634,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,26,3,0,0.709,0.786,16,16,0,0,38.5,2.352,0.786,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,4,26,1,1,17.333,17.333,8,8,0,0,20.753,2.352,2.828,0,5.166,1,6.995,2,17.333,3,,,,,,,,,,,,,,,,,,,,,,,,,,
84,3,26,1,1,16.331,16.331,12,10,0,0,16.331,4.085,2.084,0,5.667,1,16.331,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4,26,1,1,35.335,35.335,12,12,0,0,19.337,2.352,2.33,0,4.912,1,10.081,2,35.335,3,,,,,,,,,,,,,,,,,,,,,,,,,,
90,5,26,1,1,37.67,37.67,8,12,0,0,24.498,2.42,0.747,0,6.916,1,7.915,2,10.253,3,37.67,4,,,,,,,,,,,,,,,,,,,,,,,,
91,3,26,1,0,18.754,19.619,12,10,0,0,19.836,-1.421,5.585,0,10.834,1,19.619,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4,26,1,1,22.697,22.697,12,12,0,0,17.916,0.586,0.583,0,2.834,1,8.416,2,22.697,3,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1,23,1,1,50.776,50.776,8,8,0,0,32.501,5.979,50.776,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,3,23,1,1,37.495,37.495,8,8,0,0,25.752,2.352,4.411,0,7.663,1,37.495,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2,28,1,1,30.738,30.738,10,9,0,0,28.627,17.832,6.787,0,30.738,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,3,25,1,1,48.654,48.654,9,14,0,0,18.5,-0.35,1.068,0,3.403,1,48.654,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1,23,1,1,33.024,33.024,8,8,0,0,16.498,2.352,33.024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2,17,1,1,36.668,36.668,7,12,0,0,24.498,7.329,31.236,0,36.668,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,3,23,1,1,27.992,27.992,16,16,0,0,19.17,-0.162,5.667,0,11.335,1,27.992,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,3,23,1,1,27.789,27.789,16,16,0,0,21.421,2.502,0.663,0,3.745,1,27.789,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1,23,1,0,3.214,3.291,12,10,0,0,18.168,1.331,3.291,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1,23,2,1,4.211,4.211,14,10,0,0,22.919,4.917,4.211,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2,23,1,0,5.629,5.711,14,14,0,0,19.918,2.352,0.249,0,5.711,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1,23,2,1,4.211,4.211,14,12,0,0,27.836,4.917,4.211,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1,7,1,1,17.999,17.999,8,12,0,0,19.499,6.982,17.999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,8,17,1,0,0.339,14.856,1,1,0,0,16.545,2.352,4.624,0,5.955,1,8.29,2,9.29,3,10.793,4,12.205,5,13.29,6,14.856,7,,,,,,,,,,,,,,,,,,
139,5,17,2,1,7.264,7.264,1,1,0,0,31.403,2.352,0.263,0,2.346,1,4.345,2,5.936,3,7.264,4,,,,,,,,,,,,,,,,,,,,,,,,
139,1,17,3,1,23.335,23.335,12,1,0,0,50.836,6.418,23.335,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1,17,1,1,1.791,1.791,9,12,0,0,15.151,4.747,1.791,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
