childid,s4_id,w1sesl,numrisks,profmath,s4pupri,male,prof45
0001010C,0002,1.39,0,4,1,0,1
0002003C,0002,-1.25,2,4,1,1,1
0002004C,0002,0.62,0,4,1,0,1
0002008C,0002,-0.37,1,3,1,0,0
0002012C,0002,-0.82,2,4,1,0,1
0002018C,0002,-0.33,0,4,1,0,1
0002024C,0002,-0.19,0,4,1,0,1
0006003C,0006,0.92,0,5,1,1,1
0006005C,0006,0.41,0,5,1,1,1
0006007C,0006,0.01,1,3,1,1,0
0006011C,0006,-0.65,0,3,1,1,0
0006012C,0006,0.09,0,3,1,0,0
0006017C,0006,-0.15,0,4,1,0,1
0006022C,0006,-1.38,3,4,1,1,1
0006023C,0006,-1.74,3,3,1,1,0
0009002C,0009,-0.81,1,3,1,1,0
0009003C,0009,0.77,0,4,1,0,1
0009005C,0009,-0.6,0,5,1,0,1
0009007C,0009,-0.62,1,3,1,0,0
0009008C,0009,-0.5,0,4,1,0,1
0009009C,0009,-0.5,0,4,1,0,1
0009010C,0009,-0.5,0,4,1,1,1
0009012C,0009,0.13,0,4,1,1,1
0009013C,0009,0.13,0,5,1,0,1
0009014C,0009,-0.01,0,3,1,0,0
0009019C,0009,-0.27,0,1,1,1,0
0009022C,0009,1.21,0,5,1,1,1
0009024C,0009,-0.09,0,4,1,1,1
0009025C,0009,-0.81,1,3,1,0,0
0009026C,0009,0.77,0,2,1,0,0
0010003C,0010,0.11,0,4,1,1,1
0010006C,0010,-0.71,1,3,1,0,0
0010007C,0010,-0.72,0,4,1,0,1
0010009C,0010,-1.25,2,4,1,1,1
0010010C,0010,-1.38,2,2,1,0,0
0010012C,0010,0.01,0,4,1,0,1
0010016C,0010,-0.24,0,3,1,0,0
0010017C,0010,0.68,0,3,1,1,0
0010018C,0010,1.31,0,4,1,0,1
0010019C,0010,-0.15,0,3,1,1,0
0010020C,0010,-0.51,0,3,1,1,0
0010022C,0010,-0.12,1,4,1,0,1
0011001C,0011,-0.2,0,3,1,0,0
0011002C,0011,0.2,0,5,1,0,1
0011003C,0011,-0.35,0,5,1,1,1
0011004C,0011,1.05,0,5,1,0,1
0011006C,0011,-0.3,0,4,1,0,1
0011007C,0011,-0.42,0,4,1,1,1
0011008C,0011,-0.2,0,3,1,1,0
0011010C,0011,-0.23,0,3,1,1,0
0011011C,0011,0.06,0,4,1,1,1
0011013C,0011,-0.42,0,5,1,1,1
0011014C,0011,-0.1,0,4,1,1,1
0011017C,0011,0.05,0,3,1,0,0
0011018C,0011,-0.54,1,3,1,1,0
0011019C,0011,0.28,0,4,1,0,1
0011020C,0011,-0.46,0,5,1,1,1
0011021C,0011,0.33,0,3,1,0,0
0011023C,0011,-0.19,0,4,1,0,1
0011024C,0011,0.31,0,4,1,1,1
0015001C,0015,-0.31,0,4,1,1,1
0015003C,0015,0.02,0,5,1,1,1
0015004C,0015,-0.55,1,3,1,1,0
0015006C,0015,-0.29,0,4,1,1,1
0015009C,0015,-0.81,1,3,1,0,0
0015010C,0015,-0.66,0,4,1,1,1
0015014C,0015,0.2,0,4,1,0,1
0015019C,0015,-0.3,0,4,1,0,1
