s4_id,w1sesl_m,nbhoodcl,nbhclim2,pubpriv2
0002,-0.25,4,5,0
0006,-0.61833334,0,0,0
0009,-0.2082353,2,2,0
0010,-0.44705883,0,0,0
0011,-0.09368421,0,0,0
0015,-0.28,4,4,0
0020,-0.0465,0,0,0
0023,-0.061875,0,0,0
0026,0.38214287,0,0,0
0033,0.30052632,0,0,0
0034,-0.431,0,0,0
0039,1.1211112,0,0,1
0043,-0.5364286,0,0,0
0045,0.85952383,0,0,0
0046,-0.5871429,5,5,0
0047,0.290625,0,0,0
0051,0.17222223,6,6,1
0052,0.14785714,5,5,1
0053,1.263,0,0,0
0055,0.1535,0,0,0
0056,0.67470586,0,0,0
0057,0.992,0,0,0
0058,-0.33,3,4,1
0066,0.1561111,0,0,0
0067,0.43,0,0,1
0073,1.0688889,0,0,0
0075,0.5765,0,0,0
0077,0.53933334,0,0,1
0078,0.5425,0,0,0
0081,0.8066667,0,0,0
0084,0.69285715,0,0,0
0089,0.3968421,0,0,0
0093,0.60875,0,0,0
0095,0.56875,0,0,0
0102,-0.5971429,7,8,0
0104,0.2,2,2,1
0113,0.2888889,1,2,1
0116,0.6911765,1,1,0
0122,0.3252941,0,1,1
0131,0.179375,1,1,0
0132,1.0183333,0,0,0
0133,0.39,1,1,0
0134,0.094545454,1,1,0
0136,0.012941176,0,0,0
0143,0.40176472,0,0,0
0147,-0.14166667,0,0,0
0149,1.3082353,0,0,1
0150,-0.118,1,1,1
0151,-1.0211111,10,10,0
0154,0.13294117,0,0,0
0162,0.7335714,0,0,0
0164,0.13,5,5,0
0167,0.4475,0,0,0
0171,-0.338,1,1,0
0174,-0.85833335,7,7,0
0175,0.3670588,0,0,1
0176,0.645,0,0,0
0178,0.19842105,1,1,1
0180,-0.09117647,4,5,0
0183,0.43,1,1,1
0184,-0.1525,2,3,0
0185,-0.511,3,4,0
0187,0.6117647,3,4,0
0189,0.4226316,2,3,1
0194,-0.2642857,3,3,0
0196,0.3311111,3,3,1
0197,0.166,4,4,1
0204,-0.29,0,0,0
0213,-0.16272727,0,0,0
0214,-0.32190475,2,2,0
0215,0.081875,0,0,0
0216,-0.42217392,0,0,0
0220,0.21818182,0,0,1
0223,0.31142858,1,2,0
0227,0.00045454546,2,2,0
0228,0.085384615,0,0,1
0239,-0.62333333,8,8,0
0241,-0.9316667,7,,0
0242,1.0131578,0,0,1
0245,0.15666667,0,0,0
0246,-0.0035714286,0,0,0
