occ,serialno,year,constit,wt14,male,age87,manual,fv,right,inflation,rl,party,rank,age,rldist,yr87,yr92
1,2,87,101,0.7495732,1,30,1,3,3.75,5,4.626119,3,1,3.0,0.76758474,1,0
1,2,87,101,0.7495732,1,30,1,3,3.75,5,2.648171,2,2,3.0,1.2140273,1,0
1,2,87,101,0.7495732,1,30,1,3,3.75,5,8.031557,1,3,3.0,18.331732,1,0
2,2,92,101,0.7495732,1,30,1,3,4.75,5,4.477668,3,1,3.5,0.07416482,0,1
2,2,92,101,0.7495732,1,30,1,3,4.75,5,7.790695,1,2,3.5,9.245828,0,1
2,2,92,101,0.7495732,1,30,1,3,4.75,5,3.011912,2,3,3.5,3.0209496,0,1
3,11,87,101,0.8350758,1,39,1,1,3.5,5,8.031557,1,1,3.9,20.53501,1,0
3,11,87,101,0.8350758,1,39,1,1,3.5,5,4.626119,3,2,3.9,1.2681444,1,0
3,11,87,101,0.8350758,1,39,1,1,3.5,5,2.648171,2,2,3.9,0.72561276,1,0
4,11,92,101,0.8350758,1,39,1,1,8.5,5,7.790695,1,1,4.4,0.5031133,0,1
4,11,92,101,0.8350758,1,39,1,1,8.5,5,4.477668,3,2,4.4,16.179155,0,1
4,11,92,101,0.8350758,1,39,1,1,8.5,5,3.011912,2,3,4.4,30.119108,0,1
5,13,87,101,0.8236852,1,68,1,2,3.25,5,2.648171,2,1,6.8,0.3621982,1,0
5,13,87,101,0.8236852,1,68,1,2,3.25,5,4.626119,3,2,6.8,1.8937039,1,0
5,13,87,101,0.8236852,1,68,1,2,3.25,5,8.031557,1,3,6.8,22.863289,1,0
6,13,92,101,0.8236852,1,68,1,2,3.25,4,3.011912,2,1,7.3,0.056685846,0,1
6,13,92,101,0.8236852,1,68,1,2,3.25,4,7.790695,1,2,7.3,20.617912,0,1
6,13,92,101,0.8236852,1,68,1,2,3.25,4,4.477668,3,2,7.3,1.5071683,0,1
7,15,87,101,0.7495732,1,61,1,3,3.0,5,4.626119,3,1,6.1,2.6442635,1,0
7,15,87,101,0.7495732,1,61,1,3,3.0,5,2.648171,2,2,6.1,0.123783685,1,0
7,15,87,101,0.7495732,1,61,1,3,3.0,5,8.031557,1,3,6.1,25.316566,1,0
8,15,92,101,0.7495732,1,61,1,3,4.75,5,4.477668,3,1,6.6,0.07416482,0,1
8,15,92,101,0.7495732,1,61,1,3,4.75,5,3.011912,2,2,6.6,3.0209496,0,1
8,15,92,101,0.7495732,1,61,1,3,4.75,5,7.790695,1,3,6.6,9.245828,0,1
9,18,87,101,0.8236852,0,60,1,2,4.0,5,2.648171,2,1,6.0,1.8274418,1,0
9,18,87,101,0.8236852,0,60,1,2,4.0,5,4.626119,3,2,6.0,0.39202517,1,0
9,18,87,101,0.8236852,0,60,1,2,4.0,5,8.031557,1,3,6.0,16.253452,1,0
10,18,92,101,0.8236852,0,60,1,2,4.75,5,3.011912,2,1,6.5,3.0209496,0,1
10,18,92,101,0.8236852,0,60,1,2,4.75,5,4.477668,3,2,6.5,0.07416482,0,1
10,18,92,101,0.8236852,0,60,1,2,4.75,5,7.790695,1,3,6.5,9.245828,0,1
11,19,87,101,0.8236852,0,40,1,2,4.0,5,2.648171,2,1,4.0,1.8274418,1,0
11,19,87,101,0.8236852,0,40,1,2,4.0,5,4.626119,3,2,4.0,0.39202517,1,0
11,19,87,101,0.8236852,0,40,1,2,4.0,5,8.031557,1,3,4.0,16.253452,1,0
12,19,92,101,0.8236852,0,40,1,2,2.25,5,3.011912,2,1,4.5,0.5805101,0,1
12,19,92,101,0.8236852,0,40,1,2,2.25,5,4.477668,3,2,4.5,4.962504,0,1
12,19,92,101,0.8236852,0,40,1,2,2.25,5,7.790695,1,3,4.5,30.699303,0,1
13,20,87,101,0.8236852,1,39,1,2,2.5,5,2.648171,2,1,3.9,0.02195463,1,0
13,20,87,101,0.8236852,1,39,1,2,2.5,5,4.626119,3,2,3.9,4.5203824,1,0
13,20,87,101,0.8236852,1,39,1,2,2.5,5,8.031557,1,3,3.9,30.598124,1,0
14,20,92,101,0.8236852,1,39,1,2,4.5,5,3.011912,2,1,4.4,2.2144055,0,1
14,20,92,101,0.8236852,1,39,1,2,4.5,5,4.477668,3,2,4.4,0.0004987268,0,1
14,20,92,101,0.8236852,1,39,1,2,4.5,5,7.790695,1,2,4.4,10.828675,0,1
