y,price,contract,local,known,tod,seasonal,experiment,id
0,7,5,0,1,0,0,1,1
0,9,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1
1,0,5,0,1,1,0,1,1
0,7,0,0,1,0,0,2,1
0,9,5,0,1,0,0,2,1
1,0,1,1,0,1,0,2,1
0,0,5,0,0,0,1,2,1
0,9,5,0,0,0,0,3,1
0,7,1,0,1,0,0,3,1
0,0,0,0,1,1,0,3,1
1,0,0,1,0,0,1,3,1
0,0,1,0,1,0,1,4,1
0,9,1,0,0,0,0,4,1
0,7,0,1,0,0,0,4,1
1,0,5,0,1,1,0,4,1
1,0,0,1,0,1,0,5,1
0,9,1,0,1,0,0,5,1
0,0,0,0,0,0,1,5,1
0,7,5,0,1,0,0,5,1
0,0,0,0,0,0,1,6,1
0,9,0,0,0,0,0,6,1
0,0,1,1,0,1,0,6,1
1,7,5,0,1,0,0,6,1
1,0,5,0,1,0,1,7,1
0,9,0,0,0,0,0,7,1
0,0,1,0,0,1,0,7,1
0,7,5,1,0,0,0,7,1
0,9,0,0,1,0,0,8,1
0,7,1,0,0,0,0,8,1
1,0,1,1,0,0,1,8,1
0,0,5,0,0,1,0,8,1
1,0,5,0,1,0,1,9,1
0,0,5,0,0,1,0,9,1
0,9,0,0,1,0,0,9,1
0,7,1,0,0,0,0,9,1
0,0,1,0,1,0,1,10,1
1,0,5,1,0,1,0,10,1
0,7,0,0,0,0,0,10,1
0,9,0,0,1,0,0,10,1
0,9,5,0,1,0,0,11,1
0,0,0,0,1,1,0,11,1
1,0,5,1,0,0,1,11,1
0,7,1,0,0,0,0,11,1
0,0,1,0,1,1,0,12,1
0,7,5,0,0,0,0,12,1
0,9,5,1,0,0,0,12,1
1,0,0,0,1,0,1,12,1
0,0,0,1,0,0,1,13,2
0,7,5,0,1,0,0,13,2
0,0,1,0,0,1,0,13,2
1,9,1,0,1,0,0,13,2
0,7,5,0,0,0,0,14,2
0,0,1,0,1,1,0,14,2
0,0,0,0,1,0,1,14,2
1,9,5,1,0,0,0,14,2
0,9,1,0,0,0,0,15,2
0,0,1,0,0,1,0,15,2
1,7,5,0,1,0,0,15,2
0,0,0,1,0,0,1,15,2
0,7,5,0,1,0,0,16,2
0,9,1,0,0,0,0,16,2
1,0,0,0,1,1,0,16,2
0,0,1,1,0,0,1,16,2
1,7,5,0,1,0,0,17,2
0,9,1,1,0,0,0,17,2
0,0,0,0,0,0,1,17,2
0,0,5,0,1,1,0,17,2
1,7,0,0,1,0,0,18,2
0,9,5,0,1,0,0,18,2
0,0,1,1,0,1,0,18,2
0,0,5,0,0,0,1,18,2
0,9,5,0,0,0,0,19,2
1,7,1,0,1,0,0,19,2
0,0,0,0,1,1,0,19,2
0,0,0,1,0,0,1,19,2
0,0,1,0,1,0,1,20,2
0,9,1,0,0,0,0,20,2
1,7,0,1,0,0,0,20,2
0,0,5,0,1,1,0,20,2
0,0,0,1,0,1,0,21,2
0,9,1,0,1,0,0,21,2
0,0,0,0,0,0,1,21,2
1,7,5,0,1,0,0,21,2
0,0,0,0,0,0,1,22,2
0,9,0,0,0,0,0,22,2
0,0,1,1,0,1,0,22,2
1,7,5,0,1,0,0,22,2
0,0,5,0,1,0,1,23,2
0,9,0,0,0,0,0,23,2
0,0,1,0,0,1,0,23,2
1,7,5,1,0,0,0,23,2
0,9,0,0,1,0,0,24,2
1,7,1,0,0,0,0,24,2
0,0,1,1,0,0,1,24,2
0,0,5,0,0,1,0,24,2
0,0,0,1,0,1,0,25,3
1,7,1,0,0,0,0,25,3
0,9,5,0,1,0,0,25,3
0,0,5,0,1,0,1,25,3
0,9,5,0,1,0,0,26,3
0,0,0,0,0,0,1,26,3
1,7,1,0,0,0,0,26,3
0,0,0,1,0,1,0,26,3
1,7,0,0,0,0,0,27,3
0,0,0,0,1,1,0,27,3
0,0,5,0,1,0,1,27,3
0,9,1,0,0,0,0,27,3
0,7,5,1,0,0,0,28,3
0,0,1,0,0,0,1,28,3
0,0,5,0,0,1,0,28,3
1,9,0,0,1,0,0,28,3
0,0,0,0,1,0,1,29,3
0,0,1,0,0,1,0,29,3
0,9,0,0,1,0,0,29,3
1,7,5,1,0,0,0,29,3
0,0,5,0,0,0,1,30,3
0,0,1,0,0,1,0,30,3
0,9,5,1,0,0,0,30,3
1,7,0,0,1,0,0,30,3
0,9,5,0,1,0,0,31,3
0,0,0,0,1,1,0,31,3
0,0,5,1,0,0,1,31,3
1,7,1,0,0,0,0,31,3
1,9,1,0,1,0,0,32,3
0,7,0,1,0,0,0,32,3
0,0,5,0,1,1,0,32,3
0,0,0,0,0,0,1,32,3
0,0,0,0,0,1,0,33,3
1,9,1,0,0,0,0,33,3
0,0,5,0,0,0,1,33,3
0,0,5,0,1,0,1,33,3
0,9,5,0,1,0,0,34,3
0,0,5,0,0,0,1,34,3
1,7,1,0,0,0,0,34,3
0,0,0,0,0,1,0,34,3
1,7,1,0,0,0,0,35,3
