essay,grader,grade,rating,cons,wordlength,sqrtwords,commas,errors,prepos,sentlength
1,1,8,8,1,4.76,15.46,5.6,5.549,8.0,19.527
2,1,7,7,1,4.244,9.055,3.6,1.269,9.5,16.376
3,1,2,2,1,4.087,16.186,1.1,2.608,14.0,18.433
4,1,5,5,1,4.355,7.55,1.8,1.808,0.0,14.648
5,1,7,7,1,4.306,9.644,2.3,0.0,10.0,18.721
6,1,8,10,1,4.508,11.916,1.3,0.0,11.1,20.002
7,1,5,5,1,3.938,8.544,2.8,0.0,13.8,23.749
8,1,2,2,1,4.043,7.211,0.0,0.0,5.9,25.429
9,1,5,5,1,4.238,7.681,5.3,1.724,14.0,28.253
10,1,7,7,1,4.314,8.832,1.3,1.269,14.7,19.278
11,1,5,5,1,4.313,8.775,0.0,1.298,8.0,10.716
12,1,7,7,1,4.689,8.888,3.8,1.309,8.0,13.375
13,1,5,5,1,4.099,8.66,0.0,1.405,5.5,23.707
14,1,6,6,1,4.798,9.695,3.2,7.441,10.9,15.192
15,1,3,3,1,4.06,10.1,1.0,4.081,13.0,24.717
16,1,6,6,1,4.334,13.82,2.1,1.613,11.6,24.052
17,1,5,5,1,4.132,7.55,3.6,0.0,9.0,28.744
18,1,4,4,1,4.068,6.928,2.1,0.0,4.3,15.375
19,1,2,2,1,4.978,6.403,5.2,7.735,12.7,12.74
20,1,8,9,1,4.329,13.379,3.5,0.568,9.9,13.078
21,1,7,7,1,4.682,9.165,3.7,5.87,8.6,11.79
22,1,8,8,1,4.542,9.487,0.0,4.462,6.7,10.978
23,1,8,8,1,4.42,16.793,4.1,2.193,8.8,16.86
24,1,5,5,1,4.185,7.746,3.4,1.708,5.3,19.723
25,1,6,6,1,4.082,7.348,0.0,1.954,11.2,10.598
26,1,5,5,1,4.609,7.937,0.0,0.0,8.2,12.328
27,1,1,1,1,5.118,5.831,0.0,0.0,3.2,15.483
28,1,4,4,1,4.614,10.344,4.6,0.917,7.4,18.043
29,1,1,1,1,4.512,6.245,0.0,2.795,8.2,12.142
30,1,5,5,1,3.888,7.746,5.2,1.709,7.1,11.729
31,1,8,9,1,4.435,12.329,2.0,0.68,11.9,24.045
32,1,8,9,1,4.28,11.045,5.7,3.331,6.4,8.481
33,1,5,5,1,5.008,4.796,0.0,0.0,8.8,10.956
34,1,7,7,1,3.969,12.247,2.6,0.0,9.9,17.129
35,1,8,8,1,4.333,10.77,5.3,1.716,12.9,12.664
