year,uclms,ez,d81,d82,d83,d84,d85,d86,d87,d88,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,luclms,guclms,cez,guclms_1,guclms_2,t,ezt,city
1980,166746,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.024227,,,,,1,0,1
1981,83561,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.333332,-0.6908951,0,,,2,0,1
1982,158146,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.971274,0.6379423,0,-0.6908951,,3,0,1
1983,83572,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.333464,-0.6378107,0,0.6379423,-0.6908951,4,0,1
1984,45949,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.735288,-0.598176,1,-0.6378107,0.6379423,5,5,1
1985,48848,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.796469,0.06118107,0,-0.598176,-0.6378107,6,6,1
1986,46570,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.748712,-0.04775715,0,0.06118107,-0.598176,7,7,1
1987,47205,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.762255,0.013543129,0,-0.04775715,0.06118107,8,8,1
1988,37953,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.544104,-0.21815109,0,0.013543129,-0.04775715,9,9,1
1980,115279,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.65511,,,,,1,0,2
