salary,exprior,yearsbg,yearsrank,market,termdeg,admin,yearsdg,rank,male
38361.746,0,14,2,0.72,1,0,14,2,0
68906.0,2,29,20,1.0,1,0,31,3,1
55979.0,0,14,3,1.04,1,0,14,3,1
61008.0,0,3,3,1.24,1,0,2,1,1
42977.0,5,7,1,0.99,1,0,12,2,1
51640.0,4,13,5,0.99,1,0,17,3,0
42034.0,1,8,4,0.79,1,0,9,2,0
31000.0,0,0,0,0.88,1,0,0,1,1
45584.0,0,25,5,0.96,1,0,23,2,1
35782.0,0,2,1,0.99,1,0,1,1,1
63167.0,0,26,17,0.96,1,0,22,2,1
66032.0,0,29,16,0.89,1,0,27,3,1
48168.0,2,16,11,0.84,1,0,18,2,1
38935.0,15,3,3,0.91,1,0,18,1,0
75353.0,0,25,12,1.24,1,0,21,3,1
64794.598,0,21,11,0.92,1,0,20,3,1
79002.0,1,30,24,0.99,1,0,31,3,1
63155.0,0,6,0,1.33,1,0,6,2,1
54701.0,19,2,1,0.99,1,0,21,2,1
44319.0,4,26,22,0.78,1,0,30,2,1
30001.0,5,3,3,0.77,1,0,8,1,0
54464.0,0,10,1,0.99,1,0,10,3,1
47344.0,0,3,3,1.21,1,0,3,1,0
65704.0,1,21,11,0.76,1,0,22,3,1
48681.0,0,19,12,1.05,1,0,19,2,0
53248.0,0,23,13,0.74,1,0,22,3,1
39461.0,3,2,2,0.85,1,0,5,1,0
43958.0,4,12,6,0.81,1,0,16,2,0
96156.0,20,12,12,1.19,1,0,32,3,1
37000.0,7,7,4,0.78,1,0,14,2,1
41563.0,7,2,2,0.92,1,0,9,1,1
32000.0,2,0,0,0.85,1,0,2,1,0
46292.0,0,2,2,1.14,1,0,2,1,0
37000.0,3,0,0,1.0,1,0,3,1,1
68894.0,16,7,7,0.99,1,1,23,3,1
53103.0,3,10,10,1.23,1,0,13,2,1
56289.0,5,21,15,0.78,1,0,26,3,1
53187.0,19,7,6,0.78,1,0,26,3,0
33680.0,1,3,3,0.85,1,0,4,1,1
52996.0,5,8,8,0.84,1,1,13,2,1
55978.195,7,8,8,0.76,1,0,15,2,1
36869.0,0,7,1,0.85,1,0,6,2,0
37242.0,8,4,1,0.99,1,0,12,2,1
56252.0,0,17,14,0.73,1,0,17,2,1
59835.0,1,24,9,0.8,1,0,25,3,1
56419.0,0,23,18,1.0,1,0,23,3,1
66746.0,1,25,16,1.09,1,0,26,3,1
45669.0,2,18,5,0.73,1,0,20,2,0
36833.0,8,2,2,0.89,1,0,10,1,0
30927.0,1,6,6,0.79,1,0,7,1,1
54296.0,7,17,4,1.02,1,0,24,3,1
43695.0,17,4,4,0.93,0,0,21,1,1
48065.0,0,13,13,1.21,1,0,13,1,0
57965.117,12,13,13,1.13,1,1,25,3,1
30000.0,3,0,0,0.78,0,0,3,1,1
52009.0,0,23,1,0.85,1,0,21,3,0
55227.0,0,3,3,1.23,1,0,2,1,1
53665.0,0,25,12,0.92,1,0,23,3,1
54423.0,13,24,18,1.09,1,0,37,3,1
36833.0,0,3,3,0.84,1,0,3,1,0
61812.0,6,19,8,1.02,1,0,25,3,1
33680.0,0,2,1,0.92,1,0,1,1,0
40356.0,0,4,0,0.78,1,0,4,2,0
37359.0,6,3,3,0.85,1,0,9,1,0
75365.0,0,25,17,1.14,1,0,24,3,1
40465.0,4,5,0,0.91,1,0,9,2,1
38410.0,10,1,1,0.92,1,0,11,2,0
51199.0,0,21,10,0.93,1,0,19,3,1
52034.0,0,24,15,0.85,1,0,22,2,1
36515.0,2,7,1,0.81,1,0,9,2,0
56687.0,0,21,10,0.85,1,0,20,3,1
34000.0,1,9,3,0.78,1,0,10,2,1
33680.0,0,2,1,0.85,1,0,1,1,1
35257.0,3,4,4,0.85,1,0,7,1,1
50729.0,0,20,7,0.85,1,0,19,3,0
40957.0,0,14,13,0.92,1,0,13,1,1
61218.0,0,27,18,1.02,1,0,27,3,1
70101.78,0,23,16,0.89,1,0,22,3,1
44463.0,5,6,3,1.0,1,0,11,2,1
30000.0,0,0,0,0.81,1,0,0,1,0
36308.0,0,1,0,0.87,1,0,1,1,0
62276.0,6,23,11,0.77,1,0,29,3,1
56055.0,0,18,6,0.93,1,0,18,3,1
34468.0,0,3,3,0.85,1,0,3,1,1
48473.0,0,19,15,0.84,1,0,19,2,1
40512.0,4,1,1,1.0,1,0,5,1,1
49252.0,0,22,17,0.89,1,0,22,2,1
40066.0,0,4,4,0.88,1,0,4,1,1
60892.0,12,14,11,0.95,1,0,26,3,1
51126.0,0,27,0,0.91,1,0,25,3,1
40512.0,0,3,3,1.04,1,0,3,1,1
53010.0,2,16,8,0.85,1,0,18,3,1
51943.0,19,0,0,0.87,1,1,19,3,1
41045.0,21,5,5,0.92,1,0,26,2,1
61453.0,0,15,0,1.21,1,0,15,2,1
67339.0,0,28,15,1.14,1,0,24,3,1
56000.0,1,0,0,1.19,1,0,1,1,1
44813.0,0,8,2,1.0,1,0,8,2,1
55923.0,0,26,9,0.78,1,0,26,3,1
29500.0,6,0,0,0.79,1,0,6,1,1
34731.0,0,2,2,0.91,1,0,2,1,1
33680.0,0,1,1,0.88,1,0,1,1,0
63357.0,3,26,17,0.92,1,0,29,3,1
62173.0,1,24,4,1.13,1,0,25,3,1
45032.0,0,13,0,0.85,1,0,13,3,1
39771.16,0,11,5,0.81,1,0,9,2,1
53003.0,5,29,24,0.77,0,0,34,2,1
35317.0,0,7,7,0.86,1,0,6,1,1
33154.0,2,2,2,0.79,1,0,4,1,1
45831.0,0,20,7,0.79,1,0,13,2,1
58949.0,0,12,6,1.23,1,0,10,2,1
55039.0,0,25,9,0.85,1,0,22,3,1
34206.0,1,4,4,0.88,1,0,5,1,0
48531.0,0,13,0,0.81,1,0,13,3,0
61988.0,0,11,3,1.21,1,0,11,2,1
54686.0,0,28,7,0.91,1,0,23,3,1
64918.0,0,27,16,0.91,1,0,27,3,1
37615.0,4,7,7,0.92,1,0,11,1,0
57779.0,0,13,7,1.19,1,0,11,2,1
29000.0,6,0,0,0.78,0,0,6,1,1
39924.0,6,5,2,0.93,1,0,11,2,1
37500.0,0,7,1,0.73,1,0,5,2,1
51954.0,0,27,18,0.74,1,0,27,3,1
36833.0,2,3,3,0.92,1,0,5,1,1
44225.0,13,8,8,1.05,1,0,21,1,1
41037.0,2,1,1,1.13,1,0,3,1,1
37733.0,0,8,0,0.92,1,0,8,2,0
74246.0,0,28,21,0.99,1,0,28,3,1
63500.0,10,0,0,1.24,1,0,10,2,0
58000.0,1,0,0,1.24,1,0,1,1,1
48921.0,8,2,2,0.99,1,0,10,2,1
43641.0,0,8,3,0.99,1,0,8,2,1
62091.0,0,23,14,1.13,1,0,23,3,1
66166.0,4,13,3,1.21,1,0,17,3,1
55121.0,2,1,1,1.18,1,0,3,1,1
35980.0,2,4,4,0.99,1,0,6,1,1
44190.0,19,4,4,0.78,1,0,23,2,1
61008.0,0,2,2,1.33,1,0,1,1,1
48099.0,1,21,15,0.85,1,0,22,2,1
70546.0,0,14,8,1.24,1,0,11,2,1
48941.0,0,12,0,0.85,1,0,12,3,1
34206.0,1,5,5,0.94,1,0,6,1,0
38810.01,0,10,5,0.73,1,0,8,2,1
38600.0,1,3,1,0.93,1,0,4,1,1
41106.0,8,9,9,0.85,1,0,17,2,1
54177.0,0,20,5,0.82,1,0,18,2,1
46416.0,1,15,15,0.86,1,0,16,1,0
59000.0,0,0,0,1.24,1,0,0,1,0
34157.0,0,5,5,1.0,1,0,5,1,1
49667.0,0,12,4,0.88,1,0,11,2,1
34206.0,2,4,4,0.93,1,0,6,1,0
37410.0,0,4,3,0.88,1,0,3,1,1
56436.0,4,16,5,0.94,1,0,20,3,1
46551.0,1,17,12,0.94,1,0,18,2,1
45229.0,0,27,0,0.91,1,0,26,3,1
35682.0,4,7,1,0.8,1,0,11,2,1
38265.0,2,4,1,0.83,1,0,6,2,1
36583.0,0,4,4,0.81,1,0,4,1,0
80760.0,13,7,7,0.92,1,0,20,3,1
60725.867,2,11,2,1.0,1,0,13,2,1
48000.0,3,0,0,1.14,1,0,3,1,1
54222.0,4,20,5,1.13,1,0,24,3,1
62164.727,21,3,3,0.85,1,1,24,3,1
38000.0,4,0,0,0.91,1,0,4,1,1
50683.0,0,17,11,0.88,1,0,17,2,0
58875.55,20,4,4,0.85,1,1,24,3,1
63231.0,0,29,15,1.22,1,0,22,3,1
64161.0,20,2,2,0.86,1,0,22,3,1
46573.65,0,16,3,0.91,1,0,15,3,1
60402.0,6,19,7,0.86,1,0,25,3,0
58530.0,0,19,9,0.93,1,0,19,3,0
64109.0,0,41,28,0.91,1,0,37,3,1
45838.0,0,15,10,0.9,1,0,15,2,0
64854.312,0,22,12,1.0,1,0,22,3,1
39574.0,1,15,9,0.8,1,0,16,2,0
42088.0,6,1,1,0.82,1,0,7,2,1
43277.0,2,13,9,0.89,1,0,15,2,1
37363.0,2,4,4,0.93,1,0,6,1,1
48378.0,3,6,0,0.91,1,0,9,2,1
60653.062,8,14,12,0.85,1,0,22,3,1
46843.0,0,23,13,0.81,1,0,23,2,0
56884.0,1,23,14,0.81,1,0,24,3,1
82508.0,0,32,23,0.93,1,0,31,3,1
34206.0,1,2,2,0.73,1,0,3,1,0
49923.0,0,15,2,1.15,1,0,15,3,1
56933.0,7,14,11,0.88,1,0,21,3,1
31577.0,0,3,2,0.86,1,0,3,1,0
78660.0,8,17,15,1.04,1,0,25,3,1
69374.0,0,26,15,1.14,1,0,23,3,1
91405.0,0,23,14,1.18,1,0,23,3,1
46292.0,1,2,2,1.14,1,0,3,1,1
54000.0,3,13,6,0.87,1,0,16,3,1
36000.0,0,11,5,0.74,1,0,11,2,1
44678.0,0,8,3,0.83,1,0,8,2,1
57573.0,0,23,10,1.0,1,0,23,3,1
36308.0,0,2,1,0.85,1,0,1,1,1
48765.0,10,11,4,0.94,1,0,21,3,0
65533.0,0,24,1,1.04,1,0,24,3,1
82878.0,0,29,21,0.91,1,1,28,3,1
46520.0,0,15,8,0.95,1,0,15,2,1
65836.73,0,25,14,0.77,1,0,25,3,1
62211.0,0,21,11,1.14,1,0,21,3,1
56433.0,0,24,12,0.99,1,0,23,3,1
39986.0,1,3,3,0.96,1,0,4,1,1
90082.0,10,22,22,1.0,1,0,32,3,1
42388.0,6,11,8,0.81,1,0,17,2,1
44454.0,5,16,10,1.02,1,0,21,2,1
34914.0,1,7,0,0.86,1,0,8,2,1
37905.3,0,10,5,0.78,1,0,4,2,1
44539.0,0,15,8,0.77,1,0,15,2,1
66570.0,0,20,9,0.76,1,0,19,3,1
47148.0,3,19,7,0.74,1,0,22,3,1
49826.0,5,12,9,0.93,1,0,17,2,1
63997.0,0,28,15,0.79,1,0,28,3,1
34731.0,6,3,3,0.85,1,0,9,1,1
44410.855,7,12,10,0.72,1,0,19,2,0
47820.0,0,18,10,0.88,1,0,14,2,1
53543.0,9,4,4,1.17,1,0,13,2,1
61008.0,0,2,2,1.33,1,0,2,1,1
41073.0,0,11,0,0.8,1,0,11,3,1
56000.0,1,0,0,1.19,1,0,1,1,0
69709.0,3,28,21,1.0,1,0,31,3,1
41121.0,0,9,5,0.73,1,0,9,2,1
74265.4,22,2,2,1.14,1,1,24,3,1
55549.562,0,23,2,0.91,1,0,21,3,1
65852.0,0,26,18,0.99,1,0,25,3,1
34731.0,0,2,1,0.95,1,0,1,1,0
63144.0,14,27,20,0.73,1,0,41,3,1
69827.75,0,30,21,0.79,1,0,30,3,1
52446.0,5,14,6,0.81,1,0,19,3,0
54238.0,0,15,4,1.14,1,0,15,3,1
44045.0,10,6,6,1.0,1,0,16,2,0
47396.0,5,11,7,0.86,1,0,16,2,0
36487.0,1,5,1,0.82,1,0,6,2,0
71573.0,8,22,20,0.92,1,0,30,3,1
68651.0,0,23,12,0.91,1,0,23,3,1
59110.0,0,4,4,1.33,1,0,4,1,1
53274.0,0,22,10,0.85,1,0,22,3,1
39156.0,0,8,2,0.88,1,0,8,2,1
39024.0,2,7,0,0.99,1,0,9,2,1
44413.0,3,21,13,0.91,1,0,24,2,1
39000.0,4,0,0,1.22,1,0,4,1,1
60153.0,3,15,13,1.24,1,0,18,1,1
33680.0,0,3,3,0.92,1,0,3,1,0
42614.0,0,2,2,0.88,1,0,2,1,1
61210.0,0,24,16,1.17,1,0,23,3,1
49499.0,2,10,4,1.02,1,0,12,2,0
47573.0,0,15,11,0.87,1,0,15,2,1
58118.0,0,5,5,1.33,1,0,5,1,1
41425.0,5,6,3,0.91,1,0,11,2,1
39611.0,6,6,0,0.81,1,0,12,2,0
41915.0,0,10,4,0.82,1,0,8,2,0
72533.0,15,21,21,1.04,1,0,36,3,1
40615.0,4,6,2,1.07,1,0,10,2,1
32000.0,1,5,5,0.74,1,0,6,1,1
69654.336,0,17,12,1.21,1,0,17,2,0
71142.0,1,20,16,1.21,1,0,21,2,1
41015.0,0,10,10,0.79,1,0,10,1,0
76098.0,0,18,10,1.24,1,0,17,3,1
48543.0,0,25,17,0.79,1,0,23,2,1
40636.0,0,12,11,0.88,1,0,11,1,0
41639.0,1,6,0,1.09,1,0,7,2,1
34731.0,1,1,1,0.85,1,0,2,1,1
56182.0,0,7,1,1.21,1,0,6,2,0
