vrq,attain,pid,sex,sc,sid,fed,choice,med,cons,pupil
111,10,1,0,0,9,0,1,0,1,1
100,3,1,1,0,9,0,1,0,1,2
86,2,1,0,0,9,0,1,0,1,3
94,3,1,0,20,9,0,1,0,1,4
70,2,1,1,0,9,0,1,0,1,5
83,2,1,1,0,9,1,1,0,1,6
83,4,1,1,0,1,0,2,0,1,7
89,6,1,0,0,1,0,1,1,1,8
91,4,1,0,0,9,1,1,0,1,9
81,2,1,0,0,9,0,1,0,1,10
83,3,1,0,0,9,0,1,0,1,11
98,6,1,1,0,9,1,1,1,1,12
76,2,1,1,0,9,0,1,0,1,13
70,3,1,0,0,9,0,1,0,1,14
94,6,1,1,0,9,1,1,0,1,15
78,2,1,1,0,9,0,1,0,1,16
101,9,1,1,20,1,0,1,1,1,17
93,10,1,0,0,9,0,1,0,1,18
83,2,1,0,20,9,0,1,0,1,19
70,3,1,0,0,9,0,1,0,1,20
91,6,1,1,0,9,0,4,0,1,21
70,2,1,0,0,9,1,1,0,1,22
75,2,1,1,0,9,0,1,0,1,23
86,3,1,1,0,9,0,1,1,1,24
105,4,1,1,0,9,0,1,0,1,25
96,4,1,1,31,9,1,1,0,1,26
81,2,1,1,0,9,0,1,0,1,27
90,5,1,1,0,9,1,1,1,1,28
95,3,1,0,0,9,1,1,1,1,29
121,10,1,0,0,9,0,1,0,1,30
96,4,1,1,0,9,0,1,0,1,31
92,5,1,1,0,9,0,1,0,1,32
70,1,1,0,0,9,0,2,0,1,33
98,4,1,0,0,9,0,1,0,1,34
92,4,1,1,1,9,1,1,0,1,35
85,2,1,1,0,9,0,1,0,1,36
101,8,1,0,31,1,0,4,0,1,37
70,1,1,0,0,18,0,1,0,1,38
76,2,1,1,0,1,0,4,0,1,39
88,2,1,0,0,9,0,1,0,1,40
83,6,1,1,0,1,0,1,0,1,41
102,10,1,0,20,9,0,1,0,1,42
107,9,1,1,0,9,1,1,0,1,43
109,8,1,1,20,9,0,1,0,1,44
100,6,1,0,0,9,0,1,1,1,45
81,3,1,0,0,9,0,1,0,1,46
103,10,1,0,0,9,0,1,0,1,47
103,6,1,1,0,1,0,2,1,1,48
112,9,1,0,0,9,0,1,0,1,49
71,2,1,1,0,1,0,1,0,1,50
89,3,1,1,0,9,0,1,0,1,51
96,3,1,1,31,9,0,1,0,1,52
101,4,1,1,31,9,1,1,0,1,53
74,2,1,1,0,9,0,1,0,1,54
114,10,2,1,0,7,1,1,1,1,1
84,2,2,0,0,7,0,1,0,1,2
95,4,2,0,0,7,0,4,1,1,3
89,7,2,1,20,7,0,1,0,1,4
102,2,2,0,0,7,0,1,0,1,5
72,2,2,1,0,7,1,2,1,1,6
120,10,2,1,0,7,1,1,1,1,7
99,10,3,1,1,5,1,1,1,1,1
127,10,3,0,0,5,0,1,1,1,2
100,6,3,1,0,5,1,1,1,1,3
84,2,4,1,31,9,1,1,1,1,1
101,6,4,1,0,9,0,1,0,1,2
80,3,4,1,0,9,0,1,0,1,3
103,7,4,0,20,9,0,1,0,1,4
117,9,4,0,0,9,0,1,0,1,5
102,7,4,1,0,9,0,1,1,1,6
107,10,4,1,20,6,0,2,0,1,7
81,1,5,0,0,1,0,4,0,1,1
85,2,5,1,0,1,0,1,0,1,2
81,1,5,0,0,1,0,1,0,1,3
75,2,5,0,0,1,1,1,0,1,4
84,3,5,0,0,1,0,1,0,1,5
90,4,5,1,0,1,0,1,0,1,6
112,5,5,0,0,1,0,1,0,1,7
102,7,5,1,0,1,0,1,0,1,8
80,2,5,1,0,1,0,1,0,1,9
83,2,5,1,0,1,0,1,0,1,10
106,8,5,1,0,1,0,1,0,1,11
106,9,5,1,0,1,1,1,1,1,12
104,6,5,0,0,1,0,1,0,1,13
96,2,5,0,0,1,0,1,0,1,14
96,4,5,1,0,1,0,1,0,1,15
83,2,5,0,0,1,0,1,0,1,16
90,2,5,0,0,1,1,1,1,1,17
102,10,5,1,0,1,0,1,1,1,18
93,7,5,1,1,1,1,1,0,1,19
93,7,5,1,0,1,0,1,0,1,20
100,4,5,0,20,1,0,1,0,1,21
84,2,5,1,0,1,1,1,1,1,22
92,2,5,0,0,1,0,1,0,1,23
108,5,5,0,31,1,0,1,0,1,24
96,7,5,1,31,1,0,1,0,1,25
101,10,5,1,31,1,1,1,0,1,26
120,10,5,1,20,1,0,1,0,1,27
70,1,5,1,0,1,0,1,1,1,28
93,5,5,1,0,1,0,1,0,1,29
101,9,5,0,0,1,0,1,0,1,30
88,3,5,0,0,1,0,1,1,1,31
81,6,5,1,0,1,0,4,0,1,32
89,2,5,1,0,1,0,1,0,1,33
100,9,5,0,0,1,0,1,0,1,34
96,3,5,0,0,1,0,1,0,1,35
101,10,5,0,0,1,0,1,0,1,36
75,3,5,0,0,1,1,1,0,1,37
92,3,5,1,0,1,0,1,0,1,38
91,3,5,0,0,1,0,1,0,1,39
70,2,5,0,0,1,0,1,0,1,40
111,8,5,1,0,1,0,1,0,1,41
116,9,5,0,20,1,0,1,0,1,42
74,2,5,0,0,1,1,1,1,1,43
84,2,5,1,0,1,0,1,0,1,44
106,6,5,1,0,1,0,1,0,1,45
112,10,5,1,31,1,0,1,0,1,46
77,3,5,0,0,1,1,1,1,1,47
81,3,5,0,0,1,0,1,0,1,48
81,2,5,1,0,1,1,1,1,1,49
107,9,5,0,20,1,0,1,1,1,50
84,1,5,0,0,1,0,1,0,1,51
96,5,5,1,0,1,0,1,0,1,52
107,3,5,1,0,1,0,1,0,1,53
85,9,6,0,1,5,1,1,1,1,1
103,2,6,1,0,5,1,1,1,1,2
95,4,6,0,31,5,0,1,0,1,3
110,10,6,0,20,5,1,1,1,1,4
108,9,6,0,20,5,0,1,1,1,5
98,6,6,0,0,5,0,1,1,1,6
108,7,6,1,0,5,0,1,0,1,7
96,9,6,1,20,5,0,2,0,1,8
80,4,6,0,0,5,0,1,0,1,9
93,10,6,1,0,5,0,1,0,1,10
99,7,6,1,0,5,1,1,1,1,11
82,4,6,0,20,5,0,1,0,1,12
96,10,6,0,20,5,0,1,0,1,13
79,2,6,0,0,5,0,4,0,1,14
89,4,6,0,0,5,0,1,0,1,15
98,9,6,1,0,5,1,1,0,1,16
85,2,6,0,0,5,0,1,0,1,17
93,3,6,0,0,5,0,1,0,1,18
107,6,6,0,31,3,0,1,0,1,19
92,4,6,1,0,5,1,1,0,1,20
96,5,6,1,0,5,0,1,0,1,21
81,2,6,0,0,5,1,1,1,1,22
92,5,6,0,0,5,0,1,0,1,23
103,6,6,1,20,5,0,1,0,1,24
94,2,6,0,0,5,0,1,0,1,25
78,3,6,0,0,5,0,1,1,1,26
78,3,6,0,0,5,0,4,0,1,27
96,2,6,0,0,5,0,1,0,1,28
105,10,6,0,0,5,0,1,0,1,29
127,10,6,0,20,5,0,1,1,1,30
92,6,6,0,0,5,0,1,0,1,31
99,6,6,1,20,5,0,1,0,1,32
84,4,6,0,0,5,0,1,0,1,33
70,2,6,0,0,5,0,4,0,1,34
70,2,6,0,0,5,0,1,0,1,35
99,8,6,0,20,5,0,1,1,1,36
118,10,6,1,20,5,0,1,0,1,37
95,6,6,1,0,5,0,1,1,1,38
86,2,6,1,0,5,0,1,0,1,39
88,2,6,1,31,5,0,1,0,1,40
89,9,6,1,0,5,0,1,0,1,41
98,3,6,1,0,5,0,1,0,1,42
107,10,6,1,0,5,0,1,0,1,43
99,8,6,0,31,5,0,1,0,1,44
99,9,6,1,20,5,1,1,1,1,45
83,2,6,1,0,5,1,1,1,1,46
114,9,6,0,1,1,0,1,0,1,47
89,3,6,1,20,11,0,1,0,1,48
98,10,6,0,20,5,0,1,0,1,49
96,8,6,0,20,5,0,1,0,1,50
89,8,6,0,20,5,1,1,1,1,51
106,8,6,0,1,5,0,1,0,1,52
99,2,6,1,0,5,0,1,0,1,53
107,10,6,1,20,5,1,1,1,1,54
118,10,6,1,0,5,0,1,0,1,55
85,2,7,0,0,19,0,1,0,1,1
79,2,7,1,0,4,0,4,0,1,2
77,2,7,1,0,19,0,1,1,1,3
100,4,7,1,0,19,0,1,0,1,4
95,5,7,0,0,19,0,1,0,1,5
106,8,7,1,0,19,0,1,1,1,6
116,5,7,1,0,18,0,2,0,1,7
99,2,7,1,0,19,0,1,1,1,8
132,10,7,0,0,6,0,2,1,1,9
110,10,7,0,0,18,0,1,1,1,10
101,9,7,0,20,6,0,2,0,1,11
78,3,7,1,0,19,1,1,1,1,12
102,4,7,0,20,19,0,1,0,1,13
94,2,7,0,0,19,0,1,0,1,14
89,7,7,1,0,6,0,1,1,1,15
80,3,7,1,0,19,0,1,1,1,16
89,4,7,1,0,19,1,1,1,1,17
84,4,7,1,20,6,0,2,0,1,18
105,6,7,1,0,19,0,1,1,1,19
117,10,7,1,0,19,0,1,0,1,20
102,7,7,0,20,19,0,1,0,1,21
111,5,7,1,31,18,0,2,0,1,22
77,2,8,0,0,9,0,1,0,1,1
84,4,8,1,31,9,1,1,0,1,2
96,3,8,0,20,9,0,1,0,1,3
84,2,8,0,0,9,0,1,0,1,4
88,1,8,1,0,9,1,1,0,1,5
95,5,8,0,0,1,0,1,1,1,6
72,2,8,0,0,9,0,1,1,1,7
86,4,8,1,20,9,1,1,1,1,8
102,9,8,0,31,9,1,1,1,1,9
100,2,8,1,31,9,0,1,0,1,10
96,6,8,1,0,9,0,1,0,1,11
105,2,8,1,0,9,0,1,0,1,12
81,1,8,1,0,19,1,1,1,1,13
105,9,8,1,0,9,1,1,1,1,14
76,2,8,0,0,9,0,1,0,1,15
99,8,9,1,0,19,1,1,1,1,1
75,2,9,1,1,6,1,1,1,1,2
78,2,9,1,0,19,0,1,0,1,3
77,2,9,0,0,19,0,1,0,1,4
108,8,9,1,0,19,0,1,1,1,5
104,8,9,1,0,19,0,1,0,1,6
105,7,9,1,0,19,0,1,0,1,7
