id,time,censor,pt,pas
1,9,0,0,1.9788666
2,12,1,1,-0.54549164
3,12,1,0,-1.4049801
5,12,0,1,0.9741806
6,11,0,0,-0.6356313
7,9,0,1,-0.24288566
9,12,1,0,-0.8685001
10,11,0,0,0.45359474
11,12,1,1,0.8017636
12,11,0,1,-0.74594605
13,12,1,0,-0.9002126
14,11,0,1,0.61279374
15,9,0,1,-1.4212117
16,12,0,1,1.2013565
17,10,0,1,1.7230235
18,12,0,1,-0.83552325
19,7,0,0,-0.73872197
20,12,1,0,-0.18923827
21,10,0,1,0.039810687
22,12,0,1,-0.64964825
23,11,0,1,0.6315929
24,12,1,0,-1.0072114
25,11,0,0,-1.1695281
26,12,1,0,0.37127873
28,11,0,1,-0.27478722
29,12,1,1,-0.28100163
30,11,0,1,0.67956233
31,9,0,0,-0.50669366
32,12,0,1,1.0989598
33,11,0,1,-0.50964195
34,11,0,0,-0.7942539
35,8,0,0,0.17231637
36,7,0,1,-0.49872306
37,9,0,0,-0.77186686
38,12,0,1,-1.0091624
39,10,0,1,0.33337423
40,12,1,0,-0.8734301
41,12,1,1,-0.044328496
42,7,0,1,1.944432
44,9,0,1,-0.18268292
45,12,1,0,0.40236264
46,7,0,1,-0.25265726
47,12,1,0,0.1270647
49,9,0,0,-0.497675
50,10,0,1,-1.2641854
51,11,0,1,0.78643864
53,11,0,1,1.301857
54,8,0,0,-0.930881
55,12,1,0,-0.6345588
56,12,1,0,-0.45678467
59,7,0,1,-0.8956472
60,12,1,1,0.46067175
61,10,0,1,-0.14687979
62,12,1,0,-0.93403435
64,10,0,1,0.53439575
65,10,0,1,0.51252323
66,9,0,1,0.07635197
67,12,0,1,2.2746518
68,12,1,1,-0.03894202
69,12,1,0,-0.20460768
70,12,0,0,1.1015164
72,7,0,1,0.5754864
74,12,1,1,-0.61677206
75,10,0,1,1.2740976
76,12,1,1,-1.0928895
77,9,0,0,-0.4979846
78,9,0,1,2.2815187
79,12,1,0,-0.47364312
82,12,1,0,-0.56018907
83,11,0,0,-0.11741949
85,10,0,1,0.29284644
87,7,0,1,2.6779008
88,9,0,1,0.78565526
89,11,0,0,-0.075157195
90,12,1,1,0.7027546
93,7,0,1,1.1623755
94,7,0,0,0.1685257
95,12,0,1,-1.1536903
96,12,1,1,1.1890997
97,12,1,1,-0.16902073
98,7,0,1,1.3368618
99,10,0,1,-0.24794357
100,12,1,1,0.106680624
101,12,1,0,-1.1763713
102,8,0,1,0.6049317
103,12,0,1,-0.46097806
104,10,0,1,0.85506266
105,12,1,1,0.6395391
106,9,0,0,-0.880625
107,12,0,1,0.11976882
109,11,0,1,0.6249543
110,12,0,0,-0.665511
111,10,0,1,-0.10198441
112,12,1,1,-0.66093105
113,12,0,0,-0.7733677
115,10,0,0,0.2893802
116,12,1,0,-0.7309951
117,10,0,0,0.98528045
118,12,1,1,-0.20983219
119,9,0,1,0.11930431
120,11,0,0,-0.5831446
121,10,0,0,-0.59798557
123,12,0,1,1.3178816
124,9,0,1,-0.6843978
125,10,0,0,-0.6205077
126,12,1,1,0.9816106
127,9,0,1,-0.1956909
128,9,0,1,-0.3016481
129,9,0,0,0.27699745
130,12,0,1,-0.6679434
131,7,0,1,1.7051005
132,12,1,0,1.1364126
133,12,0,0,-0.87422925
134,12,0,0,-0.5185313
135,12,1,0,-0.9534058
137,12,1,0,-0.4808165
138,12,0,1,-0.24189822
141,11,0,1,0.74411976
142,9,0,1,-0.57150275
144,7,0,1,0.32295573
145,10,0,0,-0.5222309
147,10,0,0,-1.0145833
148,12,0,0,-0.55440664
149,12,1,1,-0.29630256
150,11,0,1,0.50398433
151,12,0,1,-0.4998838
152,8,0,1,-0.7078002
153,12,1,0,-0.541869
154,11,0,1,-0.93505377
155,9,0,1,-0.54126877
156,12,0,0,-0.44685966
157,12,1,0,-0.7951416
158,12,0,1,-1.2907882
160,10,0,1,-0.6088968
161,12,1,0,-0.70047045
163,11,0,0,-0.41823733
164,10,0,1,-0.21819896
166,11,0,1,2.7814126
167,10,0,1,0.4216718
168,12,1,0,-0.65215683
169,10,0,1,0.3223755
170,9,0,1,0.16114624
171,10,0,1,0.10023978
172,12,1,0,-0.2660595
173,7,0,1,-0.08350572
175,10,0,1,0.4819848
178,9,0,1,1.1849031
179,12,1,0,0.33631667
180,12,1,1,-0.35787052
181,12,0,1,-0.22973317
182,7,0,1,1.4989283
184,12,1,0,-1.0044789
185,10,0,1,1.6395437
186,12,1,0,-0.7791641
187,10,0,0,-1.7161802
188,12,0,1,0.96244437
190,8,0,1,1.9131244
191,9,0,1,-0.37311164
192,8,0,1,-0.565405
193,12,1,0,-1.2001646
195,12,1,1,-0.24402934
196,11,0,1,1.52794
197,12,0,0,-0.5037777
198,12,1,0,-0.85611975
199,11,0,0,0.2155128
200,12,1,0,-0.87259
201,10,0,0,-0.9065702
202,11,0,1,0.83042955
203,11,0,0,-0.48629653
206,12,0,1,1.9065377
207,12,1,0,-0.87778556
208,10,0,1,0.66427416
209,10,0,1,0.20299326
210,12,1,1,0.24877442
211,7,0,1,0.9183559
212,12,1,0,-0.96179116
213,9,0,1,-0.658018
214,8,0,1,2.28189
215,12,1,0,-0.4141729
216,9,0,0,-0.32064447
