annearn,hrearn,exper,age,depends,married,tenure,educ,nrtheast,nrthcen,south,male,white,union,office,annhrs,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,vacdays,sicklve,insur,pension,annbens,hrbens,annhrssq,beratio,lannhrs,tenuresq,expersq,lannearn,peratio,vserat
15000.0,7.81,14,36,2,1,15.0,18,1,0,0,1,1,0,1,1920.0,1,0,0,0,0,0,0,0,0,974.8,421.0,617.81,1367.8,3381.4102,1.76,3.6864e6,0.22542734,7.5600805,225.0,196,9.615806,0.09118667,0.09305333
6500.0,5.0,7,23,0,0,8.0,10,0,0,1,1,1,0,0,1300.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.69e6,0.0,7.17012,64.0,49,8.779557,0.0,0.0
6908.99,2.35,22,38,3,1,0.5,6,0,0,1,1,1,0,0,2940.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.6436e6,0.0,7.986165,0.25,484,8.840579,0.0,0.0
5512.5,4.5,2,18,0,0,0.5,12,0,0,1,1,1,0,0,1225.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.500625e6,0.0,7.1106963,0.25,4,8.614774,0.0,0.0
7800.0,3.75,19,35,0,0,2.0,12,0,0,1,1,0,0,0,2080.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.3264e6,0.0,7.6401234,4.0,361,8.961879,0.0,0.0
9187.5,3.75,24,40,3,1,8.0,13,1,0,0,1,1,0,0,2450.0,0,1,0,0,0,0,0,0,0,343.3,107.93,473.31,503.96,1428.5,0.58,6.0025e6,0.15548299,7.8038435,64.0,576,9.125599,0.054852787,0.049113467
8880.0,4.63,42,58,0,1,8.0,12,1,0,0,1,1,1,0,1920.0,0,1,0,0,0,0,0,0,0,343.3,107.93,473.31,503.96,1428.5,0.74,3.6864e6,0.16086711,7.5600805,64.0,1764,9.091557,0.05675225,0.05081419
8532.69,3.72,21,37,1,1,0.5,13,0,1,0,1,1,0,0,2295.0,0,1,0,0,0,0,0,0,0,343.3,107.93,473.31,503.96,1428.5,0.62,5.267025e6,0.16741496,7.738488,0.25,441,9.05166,0.05906226,0.0528825
8225.0,5.0,22,37,5,0,15.0,10,1,0,0,1,1,1,0,1645.0,0,1,0,0,0,0,0,0,0,203.4,84.01,261.99,0.0,549.39996,0.33,2.706025e6,0.06679635,7.4054956,225.0,484,9.014934,0.0,0.034943465
8916.0,4.55,40,59,0,1,8.0,6,0,0,1,1,1,1,0,1960.0,0,1,0,0,0,0,0,0,0,30.93,0.0,465.29,494.64,990.86005,0.51,3.8416e6,0.1111328,7.5807,64.0,1600,9.095603,0.055477794,0.0034690443
8064.0,4.0,8,24,1,0,0.5,12,0,1,0,1,1,0,0,2016.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.064256e6,0.0,7.6088705,0.25,64,8.995165,0.0,0.0
11232.0,4.5,19,39,3,1,2.0,10,0,0,1,1,1,0,0,2496.0,0,1,0,0,0,0,0,0,0,0.0,0.0,494.75,0.0,494.75,0.2,6.230016e6,0.044048253,7.822445,4.0,361,9.326522,0.0,0.0
16615.4,8.65,35,52,2,1,25.0,12,0,0,0,1,1,1,0,1920.0,0,1,0,0,0,0,0,0,0,1302.86,760.0,1425.51,1190.8,4679.17,2.44,3.6864e6,0.28161645,7.5600805,625.0,1225,9.718085,0.07166845,0.124153495
12100.0,6.17,30,46,1,1,15.0,10,0,0,1,1,1,1,0,1960.0,0,1,0,0,0,0,0,0,0,485.11,155.11,1300.4,1286.3,3226.9202,1.65,3.8416e6,0.26668763,7.5807,225.0,900,9.400961,0.106305785,0.05291074
18000.0,5.25,7,23,1,0,2.0,13,0,0,1,1,1,0,0,3430.0,0,1,0,0,0,0,0,0,0,485.11,155.11,1300.4,1286.3,3226.9202,0.94,1.17649e7,0.17927334,8.140316,4.0,49,9.798127,0.07146111,0.035567775
12862.5,7.0,40,60,0,1,15.0,10,1,0,0,1,1,1,0,1837.5,0,1,0,0,0,0,0,0,0,485.11,155.11,1300.4,1286.3,3226.9202,1.76,3.3764062e6,0.25087816,7.5161614,225.0,1600,9.462071,0.10000389,0.049774148
13739.6,7.01,20,39,1,1,2.0,6,0,0,1,1,1,1,0,1960.0,0,1,0,0,0,0,0,0,0,485.11,155.11,1300.4,1286.3,3226.9202,1.65,3.8416e6,0.23486274,7.5807,4.0,400,9.528037,0.093619905,0.0465967
14726.2,5.25,5,21,1,1,2.0,12,0,0,1,1,1,0,0,2805.0,0,1,0,0,0,0,0,0,0,430.0,231.0,648.0,0.0,1309.0,0.47,7.868025e6,0.08888919,7.939159,4.0,25,9.5973835,0.0,0.044885986
12524.4,5.68,45,51,0,1,15.0,10,1,0,0,1,1,0,0,2205.0,0,1,0,0,0,0,0,0,0,149.99,0.0,1153.97,1394.1,2698.06,1.22,4.862025e6,0.21542428,7.698483,225.0,2025,9.435434,0.11131071,0.011975823
21168.0,7.2,7,23,2,1,8.0,12,0,1,0,1,1,0,0,2940.0,0,1,0,0,0,0,0,0,0,139.56,0.0,356.26,0.0,495.82,0.17,8.6436e6,0.023423092,7.986165,64.0,49,9.960246,0.0,0.0065929703
16717.3,7.51,40,58,1,1,2.0,12,0,0,1,1,1,1,0,2226.0,0,1,0,0,0,0,0,0,0,0.0,0.0,819.9,888.49,1708.39,0.77,4.955076e6,0.10219293,7.7079616,4.0,1600,9.724199,0.053147934,0.0
21732.5,11.76,14,34,0,1,2.0,13,0,0,0,1,1,1,0,1848.0,0,1,0,0,0,0,0,0,0,0.0,0.0,819.9,888.49,1708.39,0.92,3.415104e6,0.07860991,7.521859,4.0,196,9.986564,0.04088301,0.0
19344.0,12.4,37,55,0,1,0.5,12,0,0,1,1,1,1,0,1560.0,0,1,0,0,0,0,0,0,0,0.0,0.0,819.9,888.49,1708.39,1.1,2.4336e6,0.08831628,7.3524413,0.25,1369,9.870137,0.045931038,0.0
24200.0,12.1,35,51,2,0,0.5,13,0,1,0,1,1,1,0,2000.0,0,1,0,0,0,0,0,0,0,0.0,0.0,819.9,888.49,1708.39,0.85,4.0e6,0.07059463,7.6009026,0.25,1225,10.094108,0.03671446,0.0
16524.0,6.0,11,27,4,1,0.5,12,0,1,0,1,1,0,0,2754.0,0,1,0,0,0,0,0,0,0,0.0,0.0,138.75,0.0,138.75,0.05,7.584516e6,0.008396877,7.9208097,0.25,121,9.712569,0.0,0.0
19408.0,12.13,9,25,1,1,0.5,13,0,1,0,1,1,1,0,1600.0,0,1,0,0,0,0,0,0,0,0.0,0.0,138.75,0.0,138.75,0.09,2.56e6,0.007149114,7.377759,0.25,81,9.873441,0.0,0.0
9600.0,4.71,4,20,0,1,0.5,12,1,0,0,1,1,0,1,2040.0,0,1,0,0,0,0,0,0,0,356.11,184.08,464.82,0.0,1005.01,0.49,4.1616e6,0.10468854,7.620705,0.25,16,9.169518,0.0,0.05626979
15576.9,7.79,18,47,1,1,0.5,13,0,0,1,1,1,0,1,2000.0,0,1,0,0,0,0,0,0,0,995.69,408.11,917.51,1452.01,3773.32,1.89,4.0e6,0.24223818,7.6009026,0.25,324,9.653544,0.09321559,0.09012062
15824.4,7.83,43,59,0,1,25.0,12,0,0,1,1,1,0,1,2021.0,0,1,0,0,0,0,0,0,0,995.69,408.11,917.51,1452.01,3773.32,1.87,4.084441e6,0.23844948,7.6113477,625.0,1849,9.669309,0.09175766,0.0887111
18900.0,9.04,24,45,7,1,4.0,16,0,0,0,1,1,0,1,2091.0,0,1,0,0,0,0,0,0,0,995.69,408.11,917.51,1452.01,3773.32,1.8,4.372281e6,0.19964656,7.6453977,16.0,576,9.846917,0.076825924,0.07427513
22000.0,8.16,20,36,4,1,15.0,12,0,1,0,1,1,1,1,2695.0,0,1,0,0,0,0,0,0,0,748.21,349.15,966.18,0.0,2063.54,0.77,7.263025e6,0.093797274,7.8991537,225.0,400,9.998797,0.0,0.04988
19840.0,9.92,24,40,3,1,8.0,6,0,0,1,1,1,0,1,2000.0,0,1,0,0,0,0,0,0,0,748.21,349.15,966.18,0.0,2063.54,1.03,4.0e6,0.10400908,7.6009026,64.0,576,9.895455,0.0,0.055310484
24000.0,12.77,14,35,2,1,8.0,16,0,0,0,1,1,0,1,1880.0,0,1,0,0,0,0,0,0,0,748.21,349.15,966.18,0.0,2063.54,1.1,3.5344e6,0.08598083,7.539027,64.0,196,10.085809,0.0,0.045723334
27000.0,11.72,34,50,2,1,4.0,8,0,1,0,1,1,0,1,2304.0,0,1,0,0,0,0,0,0,0,748.21,349.15,966.18,0.0,2063.54,0.9,5.308416e6,0.07642741,7.742402,16.0,1156,10.203592,0.0,0.04064296
26000.0,13.27,31,51,1,1,15.0,16,0,0,0,1,1,0,1,1960.0,0,1,0,0,0,0,0,0,0,1147.83,357.61,1107.05,1672.83,4285.32,2.19,3.8416e6,0.16482,7.5807,225.0,961,10.165852,0.064339615,0.057901535
6691.2,3.28,3,24,3,0,0.5,10,0,0,1,0,0,0,0,2040.0,0,0,1,0,0,0,0,0,0,147.67,41.05,0.0,0.0,188.72,0.09,4.1616e6,0.028204208,7.620705,0.25,9,8.808549,0.0,0.028204206
