country,year,gdp,oildep,demand,leftpow,organ
2,1966,5.111141,0.000675,51.96369,1.376415,1.798529
2,1967,2.277283,0.00059,36.93912,1.176678,1.807786
2,1968,4.7,0.000662,57.50798,1.176678,1.818176
2,1969,2.8,0.00072,55.31043,0.4331716,1.828545
2,1970,-0.2,0.000773,35.68419,0.4331716,1.833971
2,1971,3.1,0.001063,42.85743,0.4840479,1.85967
2,1972,5.4,0.001325,59.45386,0.4840479,1.843797
2,1973,5.7,0.00226,70.60229,0.4331716,1.797921
2,1974,-0.9,0.007898,11.01804,0.4331716,1.940439
2,1975,-0.8,0.009097,-5.226978,0.6404451,1.973228
2,1976,4.7,0.011098,82.61055,0.6404451,1.965808
2,1977,5.5,0.013843,62.04571,1.363224,1.956074
2,1978,4.7,0.01263,71.91806,1.363224,1.888796
2,1979,2.6,0.01673,58.16291,1.299158,1.883898
2,1980,-0.4,0.022449,23.67942,1.299158,2.031032
2,1981,3.4,0.021138,36.56797,0.4331716,2.002635
2,1982,-3.0,0.01793,-6.161685,0.4331716,1.991231
2,1983,2.9,0.014882,50.13824,0.5443456,1.676164
2,1984,7.2,0.015458,83.73463,0.5443456,1.654078
2,1985,3.8,0.012709,63.10146,0.4765106,2.123474
2,1986,2.8,0.006475,51.61113,0.4765106,2.112881
2,1987,3.7,0.010027,58.58523,0.497238,2.100184
2,1988,4.6,0.00816,82.32381,0.497238,1.943864
2,1989,2.8,0.00816,64.06464,0.497238,1.947034
2,1990,0.9,0.00816,49.53207,0.5386927,2.009244
20,1966,6.802167,0.000891,207.6552,1.338728,2.267743
20,1967,2.923646,0.00088,148.5982,1.338728,2.298137
20,1968,5.6,0.000862,234.0747,1.525275,2.309251
20,1969,5.2,0.000654,226.673,1.525275,2.318574
20,1970,2.6,0.000286,150.1621,1.525275,2.32556
20,1971,7.0,0.000156,166.6296,1.525275,2.322134
20,1972,5.8,-0.00043,226.1941,1.329307,2.319801
20,1973,7.5,-0.00137,263.3083,1.329307,2.133894
20,1974,3.5,-0.00198,37.13234,1.338728,2.227429
20,1975,1.1,0.000524,-15.14799,1.338728,2.039361
20,1976,6.1,0.003198,240.8081,1.338728,2.049015
20,1977,2.2,0.00492,166.038,1.338728,2.066614
20,1978,3.9,0.003832,196.8127,1.338728,1.868348
20,1979,3.4,0.003733,163.925,0.4897008,1.880804
20,1980,1.0,0.006605,65.91844,1.508316,1.873028
20,1981,4.0,0.007575,94.81174,1.508316,1.893197
20,1982,-4.3,-0.00095,-16.2975,1.508316,1.896163
20,1983,2.8,-0.00747,131.1756,1.508316,1.627354
20,1984,5.4,-0.00833,227.4898,0.050658,1.681749
20,1985,4.7,-0.01115,187.3321,0.050658,1.67789
20,1986,3.1,-0.00372,162.9246,0.050658,1.681919
20,1987,4.5,-0.00511,181.7677,0.050658,1.687213
20,1988,5.0,-0.00523,234.7057,0.4520147,1.600037
